COVID19 статистике,2020-03-25,
COVID-19 статистике заражени,Заражено укупно,
Ранк,Територија,Вредност
1,Град Београд,175.0
2,Ваљево,43.0
3,Град Ниш,38.0
4,Ћуприја,25.0
5,Крушевац,12.0
6,Чачак,11.0
7,Нови Сад ,10.0
8,Крагујевац,8.0
8,Врање,8.0
10,Кикинда,6.0
11,Аранђеловац,4.0
11,Ужице,4.0
13,Лесковац ,3.0
13,Пожаревац,3.0
13,Зрењанин,3.0
13,Пирот,3.0
13,Алибунар,3.0
18,Зајечар,2.0
18,Краљево,2.0
18,Панчево,2.0
21,Бачка Топола,1.0
21,Нови Пазар,1.0
21,Јагодина,1.0
21,Лучани,1.0
21,Рума,1.0
21,Велико Градиште,1.0
21,Ивањица,1.0
21,Сомбор,1.0
21,Вршац,1.0
21,Сремска Митровица,1.0
21,Сремски Карловци,1.0
21,Стара Пазова,1.0
21,Суботица,1.0
21,Темерин,1.0
21,Параћин,1.0
21,Врњачка Бања,1.0
21,Велика Плана,1.0
21,Димитровград,1.0
21,Бела Паланка,1.0
40,Мајданпек,0.0
40,Мали Зворник,0.0
40,Мало Црниће,0.0
40,Медвеђа,0.0
40,Мерошина,0.0
40,Мионица,0.0
40,Неготин,0.0
40,Нова Варош,0.0
40,Осечина,0.0
40,Петровац на Млави,0.0
40,Пожега,0.0
40,Прешево,0.0
40,Прибој,0.0
40,Пријепоље,0.0
40,Прокупље,0.0
40,Ражањ,0.0
40,Рача,0.0
40,Рашка,0.0
40,Рековац,0.0
40,Свилајнац,0.0
40,Сврљиг,0.0
40,Сјеница,0.0
40,Смедерево,0.0
40,Смедеревска Паланка,0.0
40,Сокобања,0.0
40,Сурдулица,0.0
40,Топола,0.0
40,Трговиште,0.0
40,Трстеник,0.0
40,Тутин,0.0
40,Ћићевац,0.0
40,Уб,0.0
40,Црна Трава,0.0
40,Чајетина,0.0
40,Шабац,0.0
40,Лапово,0.0
40,Костолац,0.0
40,Врањска Бања,0.0
40,Севојно,0.0
40,Ада,0.0
40,Апатин,0.0
40,Бач,0.0
40,Бачка Паланка,0.0
40,Бачки Петровац,0.0
40,Бела Црква,0.0
40,Беочин,0.0
40,Бечеј,0.0
40,Жабаљ,0.0
40,Житиште,0.0
40,Инђија,0.0
40,Ириг,0.0
40,Кањижа,0.0
40,Ковачица,0.0
40,Ковин,0.0
40,Кула,0.0
40,Мали Иђош,0.0
40,Нова Црња,0.0
40,Нови Бечеј,0.0
40,Нови Кнежевац,0.0
40,Опово,0.0
40,Оџаци,0.0
40,Пећинци,0.0
40,Пландиште,0.0
40,Сента,0.0
40,Сечањ,0.0
40,Србобран,0.0
40,Тител,0.0
40,Врбас,0.0
40,Чока,0.0
40,Шид,0.0
40,Александровац,0.0
40,Петроварадин,0.0
40,Алексинац,0.0
40,Ариље,0.0
40,Бабушница,0.0
40,Бајина Башта,0.0
40,Баточина,0.0
40,Блаце,0.0
40,Богатић,0.0
40,Бојник,0.0
40,Бољевац,0.0
40,Бор,0.0
40,Босилеград,0.0
40,Брус,0.0
40,Бујановац,0.0
40,Варварин,0.0
40,Владимирци,0.0
40,Владичин Хан,0.0
40,Власотинце,0.0
40,Гаџин Хан,0.0
40,Голубац,0.0
40,Горњи Милановац,0.0
40,Деспотовац,0.0
40,Дољевац,0.0
40,Жабари,0.0
40,Жагубица,0.0
40,Житорађа,0.0
40,Кладово,0.0
40,Кнић,0.0
40,Књажевац,0.0
40,Косјерић,0.0
40,Коцељева,0.0
40,Крупањ,0.0
40,Куршумлија,0.0
40,Кучево,0.0
40,Лајковац,0.0
40,Лебане,0.0
40,Лозница,0.0
40,Љиг,0.0
40,Љубовија,0.0
