COVID19 статистике,2020-04-25,
COVID-19 статистике заражени,Заражено укупно,
Ранк,Територија,Вредност
0,Београд,2017
1,Ниш,1139
2,Ћуприја,234
3,Ваљево,173
4,Крушевац,178
5,Лесковац,174
6,Параћин,151
7,Алексинац,141
8,Јагодина,115
9,Нови Сад,105
10,Прокупље,102
11,Смедерево,103
12,Бор,107
13,Крагујевац,83
14,Панчево,85
15,Нови Пазар,78
16,Смедеревска Паланка,75
17,Шабац,74
18,Чачак,74
19,Дољевац,66
20,Врање,64
21,Зајечар,61
22,Мерошина,50
23,Блаце,52
24,Власотинце,67
25,Куршумлија,44
26,Вршац,44
27,Суботица,43
28,Пирот,43
29,Краљево,40
30,Пожаревац,35
31,Сурдулица,38
32,Рашка,43
33,Сомбор,31
34,Лозница,31
35,Стара Пазова,32
36,Ужице,31
37,Горњи Милановац,26
38,Кикинда,27
39,Сврљиг,25
40,Сокобања,32
41,Бољевац,30
42,Варварин,24
43,Владичин Хан,23
44,Сремска Митровица,28
45,Аранђеловац,23
46,Житорађа,25
47,Зрењанин,22
48,Књажевац,23
49,Свилајнац,28
50,Уб,23
51,Алибунар,21
52,Лајковац,30
53,Звечан,20
54,Зубин Поток,19
55,Бабушница,21
56,Кладово,22
57,Косовска Митровица,21
58,Мионица,21
59,Александровац,31
60,Деспотовац,28
61,Велика Плана,19
62,Бачка Паланка,16
63,Бачка Топола,16
64,Кула,16
65,Бајина Башта,16
66,Гаџин Хан,15
67,Инђија,20
68,Ковин,14
69,Врњачка Бања,12
70,Ковачица,12
71,Лепосавић,13
72,Ражањ,12
73,Бела Црква,14
74,Рума,12
75,Србобран,11
76,Бела Паланка,12
77,Бојник,12
78,Осечина,9
79,Пријепоље,9
80,Рековац,16
81,Сјеница,9
82,Ариље,8
83,Врбас,11
84,Лебане,11
85,Неготин,35
86,Нова Варош,9
87,Пећинци,8
88,Прибој,8
89,Рача,8
90,Љиг,11
91,Пожега,7
92,Темерин,9
93,Брус,6
94,Ириг,7
95,Крупањ,6
96,Лучани,7
97,Трстеник,8
98,Ћићевац,7
99,Шид,8
100,Бујановац,5
101,Гњилане,5
102,Липљан,5
103,Опово,5
104,Приштина,6
105,Сента,5
106,Топола,5
107,Владимирци,8
108,Жабаљ,8
109,Жабари,4
110,Клина,4
111,Коцељева,4
112,Петровац на Млави,5
113,Пећ,4
114,Пландиште,6
115,Тител,6
116,Баточина,3
117,Бечеј,3
118,Босилеград,3
119,Ивањица,3
120,Косово Поље,3
121,Косовска Каменица,4
122,Лапово,3
123,Мајданпек,5
124,Мали Зворник,3
125,Прешево,3
126,Призрен,3
127,Беочин,5
128,Богатић,2
129,Велико Градиште,2
130,Глоговац,2
131,Голубац,2
132,Димитровград,2
133,Жагубица,2
134,Исток,2
135,Љубовија,2
136,Нови Бечеј,2
137,Оџаци,2
138,Сечањ,2
139,Сремски Карловци,3
140,Трговиште,3
141,Урошевац,2
142,Чајетина,2
143,Штимље,2
144,Ада,1
145,Апатин,2
146,Бач,1
147,Витина,1
148,Ђаковица,1
149,Кучево,1
150,Медвеђа,2
151,Нова Црња,1
152,Обилић,1
153,Црна Трава,1
154,Чока,1
155,Штрпце,1
