COVID19 статистике,2020-03-21,
COVID-19 статистике заражени,Заражено укупно,
Ранк,Територија,Вредност
1,Град Београд,71.0
2,Град Ниш,29.0
3,Ваљево,22.0
4,Ћуприја,10.0
5,Кикинда,6.0
5,Нови Сад ,6.0
7,Чачак,5.0
8,Врање,4.0
9,Ужице,3.0
10,Крагујевац,2.0
10,Панчево,2.0
10,Крушевац,2.0
13,Бачка Топола,1.0
13,Сремски Карловци,1.0
13,Зрењанин,1.0
13,Аранђеловац,1.0
13,Сомбор,1.0
13,Бела Паланка,1.0
13,Пожаревац,1.0
13,Темерин,1.0
13,Велико Градиште,1.0
22,Голубац,0.0
22,Горњи Милановац,0.0
22,Деспотовац,0.0
22,Димитровград,0.0
22,Дољевац,0.0
22,Жабари,0.0
22,Жагубица,0.0
22,Житорађа,0.0
22,Зајечар,0.0
22,Ивањица,0.0
22,Кладово,0.0
22,Кнић,0.0
22,Књажевац,0.0
22,Косјерић,0.0
22,Коцељева,0.0
22,Краљево,0.0
22,Крупањ,0.0
22,Куршумлија,0.0
22,Кучево,0.0
22,Лајковац,0.0
22,Лебане,0.0
22,Лесковац ,0.0
22,Лозница,0.0
22,Лучани,0.0
22,Љиг,0.0
22,Љубовија,0.0
22,Мајданпек,0.0
22,Мали Зворник,0.0
22,Мало Црниће,0.0
22,Медвеђа,0.0
22,Мерошина,0.0
22,Мионица,0.0
22,Неготин,0.0
22,Нова Варош,0.0
22,Нови Пазар,0.0
22,Осечина,0.0
22,Параћин,0.0
22,Петровац на Млави,0.0
22,Пирот,0.0
22,Пожега,0.0
22,Прешево,0.0
22,Прибој,0.0
22,Пријепоље,0.0
22,Прокупље,0.0
22,Ражањ,0.0
22,Рача,0.0
22,Рашка,0.0
22,Рековац,0.0
22,Јагодина,0.0
22,Свилајнац,0.0
22,Сврљиг,0.0
22,Сјеница,0.0
22,Смедерево,0.0
22,Смедеревска Паланка,0.0
22,Сокобања,0.0
22,Сурдулица,0.0
22,Топола,0.0
22,Трговиште,0.0
22,Трстеник,0.0
22,Тутин,0.0
22,Ћићевац,0.0
22,Уб,0.0
22,Црна Трава,0.0
22,Чајетина,0.0
22,Шабац,0.0
22,Лапово,0.0
22,Костолац,0.0
22,Врањска Бања,0.0
22,Севојно,0.0
22,Ада,0.0
22,Алибунар,0.0
22,Апатин,0.0
22,Бач,0.0
22,Бачка Паланка,0.0
22,Бачки Петровац,0.0
22,Бела Црква,0.0
22,Беочин,0.0
22,Бечеј,0.0
22,Вршац,0.0
22,Жабаљ,0.0
22,Житиште,0.0
22,Инђија,0.0
22,Ириг,0.0
22,Кањижа,0.0
22,Ковачица,0.0
22,Ковин,0.0
22,Кула,0.0
22,Мали Иђош,0.0
22,Нова Црња,0.0
22,Нови Бечеј,0.0
22,Нови Кнежевац,0.0
22,Опово,0.0
22,Оџаци,0.0
22,Пећинци,0.0
22,Пландиште,0.0
22,Рума,0.0
22,Сента,0.0
22,Сечањ,0.0
22,Србобран,0.0
22,Сремска Митровица,0.0
22,Стара Пазова,0.0
22,Суботица,0.0
22,Тител,0.0
22,Врбас,0.0
22,Чока,0.0
22,Шид,0.0
22,Александровац,0.0
22,Петроварадин,0.0
22,Алексинац,0.0
22,Ариље,0.0
22,Бабушница,0.0
22,Бајина Башта,0.0
22,Баточина,0.0
22,Блаце,0.0
22,Богатић,0.0
22,Бојник,0.0
22,Бољевац,0.0
22,Бор,0.0
22,Босилеград,0.0
22,Брус,0.0
22,Бујановац,0.0
22,Варварин,0.0
22,Велика Плана,0.0
22,Владимирци,0.0
22,Владичин Хан,0.0
22,Власотинце,0.0
22,Врњачка Бања,0.0
22,Гаџин Хан,0.0
