COVID19 статистике,2020-04-17,
COVID-19 статистике заражени,Заражено укупно,
Ранк,Територија,Вредност
0,Београд,1536
1,Ниш,890
2,Ћуприја,184
3,Ваљево,144
4,Крушевац,139
5,Лесковац,121
6,Параћин,97
7,Алексинац,48
8,Јагодина,76
9,Нови Сад,92
10,Прокупље,78
11,Смедерево,57
12,Бор,74
13,Крагујевац,58
14,Панчево,60
15,Нови Пазар,40
16,Смедеревска Паланка,52
17,Шабац,66
18,Чачак,52
19,Дољевац,56
20,Врање,53
21,Зајечар,32
22,Мерошина,33
23,Блаце,48
24,Власотинце,28
25,Куршумлија,36
26,Вршац,37
27,Суботица,36
28,Пирот,31
29,Краљево,25
30,Пожаревац,26
31,Сурдулица,30
32,Рашка,28
33,Сомбор,17
34,Лозница,16
35,Стара Пазова,24
36,Ужице,24
37,Горњи Милановац,18
38,Кикинда,23
39,Сврљиг,17
40,Сокобања,10
41,Бољевац,18
42,Варварин,21
43,Владичин Хан,15
44,Сремска Митровица,19
45,Аранђеловац,17
46,Житорађа,15
47,Зрењанин,22
48,Књажевац,19
49,Свилајнац,17
50,Уб,12
51,Алибунар,16
52,Лајковац,4
53,Звечан,16
54,Зубин Поток,13
55,Бабушница,8
56,Кладово,16
57,Косовска Митровица,16
58,Мионица,13
59,Александровац,10
60,Деспотовац,8
61,Велика Плана,7
62,Бачка Паланка,14
63,Бачка Топола,11
64,Кула,10
65,Бајина Башта,12
66,Гаџин Хан,12
67,Инђија,12
68,Ковин,3
69,Врњачка Бања,12
70,Ковачица,9
71,Лепосавић,10
72,Ражањ,8
73,Бела Црква,8
74,Рума,8
75,Србобран,9
76,Бела Паланка,9
77,Бојник,7
78,Осечина,8
79,Пријепоље,9
80,Рековац,5
81,Сјеница,8
82,Ариље,6
83,Врбас,8
84,Лебане,7
85,Неготин,5
86,Нова Варош,7
87,Пећинци,7
88,Прибој,7
89,Рача,3
90,Љиг,1
91,Пожега,7
92,Темерин,6
93,Брус,5
94,Ириг,6
95,Крупањ,6
96,Лучани,4
97,Трстеник,5
98,Ћићевац,6
99,Шид,5
100,Бујановац,4
101,Гњилане,5
102,Липљан,5
103,Опово,2
104,Приштина,4
105,Сента,4
106,Топола,4
107,Владимирци,3
108,Жабаљ,2
109,Жабари,4
110,Клина,1
111,Коцељева,3
112,Петровац на Млави,2
113,Пећ,2
114,Пландиште,3
115,Тител,3
116,Баточина,2
117,Бечеј,2
118,Босилеград,2
119,Ивањица,2
120,Косово Поље,2
121,Косовска Каменица,1
122,Лапово,3
123,Мајданпек,3
124,Мали Зворник,1
125,Прешево,3
126,Призрен,2
127,Беочин,2
128,Богатић,0
129,Велико Градиште,2
130,Глоговац,1
131,Голубац,2
132,Димитровград,1
133,Жагубица,1
134,Исток,1
135,Љубовија,2
136,Нови Бечеј,2
137,Оџаци,0
138,Сечањ,2
139,Сремски Карловци,2
140,Трговиште,0
141,Урошевац,2
142,Чајетина,2
143,Штимље,2
144,Ада,1
145,Апатин,1
146,Бач,0
147,Витина,1
148,Ђаковица,1
149,Кучево,1
150,Медвеђа,0
151,Нова Црња,1
152,Обилић,1
153,Црна Трава,1
154,Чока,1
155,Штрпце,1
