COVID19 статистике,2020-04-21,
COVID-19 статистике заражени,Заражено укупно,
Ранк,Територија,Вредност
0,Београд,1838
1,Ниш,992
2,Ћуприја,218
3,Ваљево,161
4,Крушевац,160
5,Лесковац,149
6,Параћин,132
7,Алексинац,127
8,Јагодина,105
9,Нови Сад,99
10,Прокупље,92
11,Смедерево,97
12,Бор,95
13,Крагујевац,79
14,Панчево,72
15,Нови Пазар,63
16,Смедеревска Паланка,68
17,Шабац,69
18,Чачак,67
19,Дољевац,66
20,Врање,58
21,Зајечар,37
22,Мерошина,42
23,Блаце,52
24,Власотинце,43
25,Куршумлија,42
26,Вршац,38
27,Суботица,41
28,Пирот,34
29,Краљево,34
30,Пожаревац,34
31,Сурдулица,34
32,Рашка,33
33,Сомбор,29
34,Лозница,28
35,Стара Пазова,29
36,Ужице,29
37,Горњи Милановац,26
38,Кикинда,24
39,Сврљиг,23
40,Сокобања,23
41,Бољевац,22
42,Варварин,22
43,Владичин Хан,23
44,Сремска Митровица,23
45,Аранђеловац,22
46,Житорађа,19
47,Зрењанин,22
48,Књажевац,22
49,Свилајнац,19
50,Уб,20
51,Алибунар,17
52,Лајковац,25
53,Звечан,18
54,Зубин Поток,19
55,Бабушница,8
56,Кладово,18
57,Косовска Митровица,18
58,Мионица,15
59,Александровац,17
60,Деспотовац,16
61,Велика Плана,13
62,Бачка Паланка,15
63,Бачка Топола,15
64,Кула,15
65,Бајина Башта,14
66,Гаџин Хан,14
67,Инђија,13
68,Ковин,10
69,Врњачка Бања,12
70,Ковачица,12
71,Лепосавић,12
72,Ражањ,12
73,Бела Црква,11
74,Рума,11
75,Србобран,11
76,Бела Паланка,9
77,Бојник,9
78,Осечина,8
79,Пријепоље,9
80,Рековац,8
81,Сјеница,9
82,Ариље,8
83,Врбас,8
84,Лебане,8
85,Неготин,8
86,Нова Варош,7
87,Пећинци,8
88,Прибој,8
89,Рача,8
90,Љиг,6
91,Пожега,7
92,Темерин,7
93,Брус,6
94,Ириг,6
95,Крупањ,6
96,Лучани,5
97,Трстеник,6
98,Ћићевац,6
99,Шид,6
100,Бујановац,4
101,Гњилане,5
102,Липљан,5
103,Опово,5
104,Приштина,5
105,Сента,4
106,Топола,5
107,Владимирци,3
108,Жабаљ,4
109,Жабари,4
110,Клина,4
111,Коцељева,4
112,Петровац на Млави,4
113,Пећ,3
114,Пландиште,3
115,Тител,3
116,Баточина,3
117,Бечеј,3
118,Босилеград,3
119,Ивањица,3
120,Косово Поље,3
121,Косовска Каменица,3
122,Лапово,3
123,Мајданпек,3
124,Мали Зворник,3
125,Прешево,3
126,Призрен,3
127,Беочин,2
128,Богатић,2
129,Велико Градиште,2
130,Глоговац,2
131,Голубац,2
132,Димитровград,2
133,Жагубица,2
134,Исток,2
135,Љубовија,2
136,Нови Бечеј,2
137,Оџаци,2
138,Сечањ,2
139,Сремски Карловци,2
140,Трговиште,2
141,Урошевац,2
142,Чајетина,2
143,Штимље,2
144,Ада,1
145,Апатин,1
146,Бач,1
147,Витина,1
148,Ђаковица,1
149,Кучево,1
150,Медвеђа,1
151,Нова Црња,1
152,Обилић,1
153,Црна Трава,1
154,Чока,1
155,Штрпце,1
