COVID19 статистике,2020-03-17,
COVID-19 статистике заражени,Заражено укупно,
Ранк,Територија,Вредност
1,Град Београд,33.0
2,Град Ниш,14.0
3,Ваљево,7.0
4,Кикинда,5.0
5,Чачак,3.0
6,Нови Сад ,2.0
6,Панчево,2.0
8,Крагујевац,1.0
8,Зрењанин,1.0
8,Бачка Топола,1.0
8,Темерин,1.0
8,Велико Градиште,1.0
8,Аранђеловац,1.0
14,Брус,0.0
14,Бујановац,0.0
14,Варварин,0.0
14,Велика Плана,0.0
14,Владимирци,0.0
14,Владичин Хан,0.0
14,Власотинце,0.0
14,Врање,0.0
14,Врњачка Бања,0.0
14,Гаџин Хан,0.0
14,Голубац,0.0
14,Горњи Милановац,0.0
14,Деспотовац,0.0
14,Димитровград,0.0
14,Дољевац,0.0
14,Жабари,0.0
14,Жагубица,0.0
14,Житорађа,0.0
14,Зајечар,0.0
14,Ивањица,0.0
14,Кладово,0.0
14,Кнић,0.0
14,Књажевац,0.0
14,Косјерић,0.0
14,Коцељева,0.0
14,Краљево,0.0
14,Крупањ,0.0
14,Крушевац,0.0
14,Куршумлија,0.0
14,Кучево,0.0
14,Лајковац,0.0
14,Лебане,0.0
14,Лесковац ,0.0
14,Лозница,0.0
14,Лучани,0.0
14,Љиг,0.0
14,Љубовија,0.0
14,Мајданпек,0.0
14,Мали Зворник,0.0
14,Мало Црниће,0.0
14,Медвеђа,0.0
14,Мерошина,0.0
14,Мионица,0.0
14,Неготин,0.0
14,Нова Варош,0.0
14,Нови Пазар,0.0
14,Осечина,0.0
14,Параћин,0.0
14,Петровац на Млави,0.0
14,Пирот,0.0
14,Пожаревац,0.0
14,Пожега,0.0
14,Прешево,0.0
14,Прибој,0.0
14,Пријепоље,0.0
14,Прокупље,0.0
14,Ражањ,0.0
14,Рача,0.0
14,Рашка,0.0
14,Рековац,0.0
14,Јагодина,0.0
14,Свилајнац,0.0
14,Сврљиг,0.0
14,Сјеница,0.0
14,Смедерево,0.0
14,Смедеревска Паланка,0.0
14,Сокобања,0.0
14,Сурдулица,0.0
14,Ужице,0.0
14,Топола,0.0
14,Трговиште,0.0
14,Трстеник,0.0
14,Тутин,0.0
14,Ћићевац,0.0
14,Ћуприја,0.0
14,Уб,0.0
14,Црна Трава,0.0
14,Чајетина,0.0
14,Шабац,0.0
14,Лапово,0.0
14,Костолац,0.0
14,Врањска Бања,0.0
14,Севојно,0.0
14,Ада,0.0
14,Алибунар,0.0
14,Апатин,0.0
14,Бач,0.0
14,Бачка Паланка,0.0
14,Бачки Петровац,0.0
14,Бела Црква,0.0
14,Беочин,0.0
14,Бечеј,0.0
14,Вршац,0.0
14,Жабаљ,0.0
14,Житиште,0.0
14,Инђија,0.0
14,Ириг,0.0
14,Кањижа,0.0
14,Ковачица,0.0
14,Ковин,0.0
14,Кула,0.0
14,Мали Иђош,0.0
14,Нова Црња,0.0
14,Нови Бечеј,0.0
14,Нови Кнежевац,0.0
14,Опово,0.0
14,Оџаци,0.0
14,Пећинци,0.0
14,Пландиште,0.0
14,Рума,0.0
14,Сента,0.0
14,Сечањ,0.0
14,Сомбор,0.0
14,Србобран,0.0
14,Сремска Митровица,0.0
14,Сремски Карловци,0.0
14,Стара Пазова,0.0
14,Суботица,0.0
14,Тител,0.0
14,Врбас,0.0
14,Чока,0.0
14,Шид,0.0
14,Александровац,0.0
14,Петроварадин,0.0
14,Алексинац,0.0
14,Ариље,0.0
14,Бабушница,0.0
14,Бајина Башта,0.0
14,Баточина,0.0
14,Бела Паланка,0.0
14,Блаце,0.0
14,Богатић,0.0
14,Бојник,0.0
14,Бољевац,0.0
14,Бор,0.0
14,Босилеград,0.0
