COVID19 статистике,2020-03-29,
COVID-19 статистике заражени,Заражено укупно,
Ранк,Територија,Вредност
1,Град Београд,352.0
2,Град Ниш,58.0
3,Ваљево,50.0
4,Ћуприја,49.0
5,Крагујевац,29.0
6,Крушевац,28.0
7,Врање,16.0
8,Суботица,15.0
9,Чачак,12.0
10,Нови Сад ,10.0
11,Лесковац ,9.0
11,Ужице,9.0
11,Сурдулица,9.0
11,Зајечар,9.0
15,Пирот,7.0
16,Кикинда,6.0
16,Пожаревац,6.0
18,Аранђеловац,4.0
18,Књажевац,4.0
20,Краљево,3.0
20,Алибунар,3.0
20,Параћин,3.0
20,Јагодина,3.0
20,Зрењанин,3.0
20,Прокупље,3.0
26,Варварин,2.0
26,Шабац,2.0
26,Нови Пазар,2.0
26,Владичин Хан,2.0
26,Куршумлија,2.0
26,Врњачка Бања,2.0
26,Сврљиг,2.0
26,Панчево,2.0
26,Бела Паланка,2.0
26,Темерин,2.0
36,Вршац,1.0
36,Смедерево,1.0
36,Бачка Топола,1.0
36,Велико Градиште,1.0
36,Бољевац,1.0
36,Кладово,1.0
36,Рума,1.0
36,Неготин,1.0
36,Велика Плана,1.0
36,Сомбор,1.0
36,Лучани,1.0
36,Сремска Митровица,1.0
36,Сремски Карловци,1.0
36,Стара Пазова,1.0
36,Ивањица,1.0
36,Уб,1.0
36,Рековац,1.0
36,Алексинац,1.0
36,Бујановац,1.0
36,Димитровград,1.0
36,Гаџин Хан,1.0
57,Чајетина,0.0
57,Лапово,0.0
57,Костолац,0.0
57,Врањска Бања,0.0
57,Севојно,0.0
57,Ада,0.0
57,Апатин,0.0
57,Бач,0.0
57,Бачка Паланка,0.0
57,Бачки Петровац,0.0
57,Бела Црква,0.0
57,Беочин,0.0
57,Бечеј,0.0
57,Жабаљ,0.0
57,Житиште,0.0
57,Инђија,0.0
57,Ириг,0.0
57,Кањижа,0.0
57,Ковачица,0.0
57,Ковин,0.0
57,Кула,0.0
57,Мали Иђош,0.0
57,Нова Црња,0.0
57,Нови Бечеј,0.0
57,Нови Кнежевац,0.0
57,Опово,0.0
57,Оџаци,0.0
57,Пећинци,0.0
57,Пландиште,0.0
57,Сента,0.0
57,Сечањ,0.0
57,Србобран,0.0
57,Тител,0.0
57,Врбас,0.0
57,Чока,0.0
57,Шид,0.0
57,Александровац,0.0
57,Петроварадин,0.0
57,Ариље,0.0
57,Бабушница,0.0
57,Бајина Башта,0.0
57,Баточина,0.0
57,Блаце,0.0
57,Богатић,0.0
57,Бојник,0.0
57,Бор,0.0
57,Босилеград,0.0
57,Брус,0.0
57,Владимирци,0.0
57,Власотинце,0.0
57,Голубац,0.0
57,Горњи Милановац,0.0
57,Деспотовац,0.0
57,Дољевац,0.0
57,Жабари,0.0
57,Жагубица,0.0
57,Житорађа,0.0
57,Кнић,0.0
57,Косјерић,0.0
57,Коцељева,0.0
57,Крупањ,0.0
57,Кучево,0.0
57,Лајковац,0.0
57,Лебане,0.0
57,Лозница,0.0
57,Љиг,0.0
57,Љубовија,0.0
57,Мајданпек,0.0
57,Мали Зворник,0.0
57,Мало Црниће,0.0
57,Медвеђа,0.0
57,Мерошина,0.0
57,Мионица,0.0
57,Нова Варош,0.0
57,Осечина,0.0
57,Петровац на Млави,0.0
57,Пожега,0.0
57,Прешево,0.0
57,Прибој,0.0
57,Пријепоље,0.0
57,Ражањ,0.0
57,Рача,0.0
57,Рашка,0.0
57,Свилајнац,0.0
57,Сјеница,0.0
57,Смедеревска Паланка,0.0
57,Сокобања,0.0
57,Топола,0.0
57,Трговиште,0.0
57,Трстеник,0.0
57,Тутин,0.0
57,Ћићевац,0.0
57,Црна Трава,0.0
