COVID19 статистике,2020-04-15,
COVID-19 статистике заражени,Заражено укупно,
Ранк,Територија,Вредност
0,Београд,1354
1,Ниш,749
2,Ћуприја,172
3,Ваљево,125
4,Крушевац,103
5,Лесковац,107
6,Параћин,87
7,Алексинац,7
8,Јагодина,71
9,Нови Сад,86
10,Прокупље,61
11,Смедерево,56
12,Бор,53
13,Крагујевац,51
14,Панчево,55
15,Нови Пазар,31
16,Смедеревска Паланка,48
17,Шабац,60
18,Чачак,49
19,Дољевац,42
20,Врање,51
21,Зајечар,28
22,Мерошина,22
23,Блаце,29
24,Власотинце,21
25,Куршумлија,29
26,Вршац,34
27,Суботица,35
28,Пирот,27
29,Краљево,24
30,Пожаревац,25
31,Сурдулица,29
32,Рашка,23
33,Сомбор,15
34,Лозница,12
35,Стара Пазова,23
36,Ужице,20
37,Горњи Милановац,14
38,Кикинда,22
39,Сврљиг,11
40,Сокобања,10
41,Бољевац,15
42,Варварин,20
43,Владичин Хан,15
44,Сремска Митровица,19
45,Аранђеловац,15
46,Житорађа,6
47,Зрењанин,22
48,Књажевац,12
49,Свилајнац,15
50,Уб,10
51,Алибунар,14
52,Лајковац,0
53,Звечан,13
54,Зубин Поток,9
55,Бабушница,7
56,Кладово,10
57,Косовска Митровица,14
58,Мионица,13
59,Александровац,4
60,Деспотовац,8
61,Велика Плана,5
62,Бачка Паланка,13
63,Бачка Топола,6
64,Кула,9
65,Бајина Башта,9
66,Гаџин Хан,8
67,Инђија,10
68,Ковин,2
69,Врњачка Бања,9
70,Ковачица,7
71,Лепосавић,7
72,Ражањ,6
73,Бела Црква,7
74,Рума,7
75,Србобран,7
76,Бела Паланка,8
77,Бојник,6
78,Осечина,8
79,Пријепоље,9
80,Рековац,4
81,Сјеница,7
82,Ариље,5
83,Врбас,6
84,Лебане,6
85,Неготин,5
86,Нова Варош,6
87,Пећинци,7
88,Прибој,6
89,Рача,2
90,Љиг,0
91,Пожега,5
92,Темерин,5
93,Брус,3
94,Ириг,6
95,Крупањ,5
96,Лучани,2
97,Трстеник,4
98,Ћићевац,3
99,Шид,3
100,Бујановац,4
101,Гњилане,5
102,Липљан,3
103,Опово,2
104,Приштина,4
105,Сента,4
106,Топола,3
107,Владимирци,3
108,Жабаљ,2
109,Жабари,4
110,Клина,1
111,Коцељева,2
112,Петровац на Млави,2
113,Пећ,2
114,Пландиште,3
115,Тител,3
116,Баточина,1
117,Бечеј,2
118,Босилеград,1
119,Ивањица,2
120,Косово Поље,1
121,Косовска Каменица,0
122,Лапово,3
123,Мајданпек,0
124,Мали Зворник,0
125,Прешево,3
126,Призрен,2
127,Беочин,1
128,Богатић,0
129,Велико Градиште,1
130,Глоговац,1
131,Голубац,2
132,Димитровград,1
133,Жагубица,1
134,Исток,1
135,Љубовија,2
136,Нови Бечеј,2
137,Оџаци,0
138,Сечањ,2
139,Сремски Карловци,2
140,Трговиште,0
141,Урошевац,2
142,Чајетина,2
143,Штимље,2
144,Ада,0
145,Апатин,1
146,Бач,0
147,Витина,1
148,Ђаковица,1
149,Кучево,1
150,Медвеђа,0
151,Нова Црња,1
152,Обилић,1
153,Црна Трава,1
154,Чока,1
155,Штрпце,0
