COVID19 статистике,2020-05-02,
COVID-19 статистике заражени,Заражено укупно,
Ранк,Територија,Вредност
0,Београд,2378
1,Ниш,1248
2,Ћуприја,240
3,Ваљево,184
4,Крушевац,214
5,Лесковац,244
6,Параћин,160
7,Алексинац,198
8,Јагодина,128
9,Нови Сад,148
10,Прокупље,132
11,Смедерево,130
12,Бор,146
13,Крагујевац,136
14,Панчево,125
15,Нови Пазар,91
16,Смедеревска Паланка,85
17,Шабац,85
18,Чачак,102
19,Дољевац,76
20,Врање,72
21,Зајечар,85
22,Мерошина,60
23,Блаце,55
24,Власотинце,93
25,Куршумлија,53
26,Вршац,77
27,Суботица,44
28,Пирот,62
29,Краљево,50
30,Пожаревац,50
31,Сурдулица,42
32,Рашка,49
33,Сомбор,32
34,Лозница,38
35,Стара Пазова,33
36,Ужице,47
37,Горњи Милановац,47
38,Кикинда,28
39,Сврљиг,28
40,Сокобања,52
41,Бољевац,37
42,Варварин,25
43,Владичин Хан,26
44,Сремска Митровица,30
45,Аранђеловац,23
46,Житорађа,36
47,Зрењанин,25
48,Књажевац,30
49,Свилајнац,30
50,Уб,24
51,Алибунар,24
52,Лајковац,33
53,Звечан,23
54,Зубин Поток,21
55,Бабушница,24
56,Кладово,31
57,Косовска Митровица,25
58,Мионица,29
59,Александровац,51
60,Деспотовац,32
61,Велика Плана,33
62,Бачка Паланка,19
63,Бачка Топола,17
64,Кула,19
65,Бајина Башта,30
66,Гаџин Хан,18
67,Инђија,21
68,Ковин,24
69,Врњачка Бања,17
70,Ковачица,13
71,Лепосавић,19
72,Ражањ,15
73,Бела Црква,32
74,Рума,13
75,Србобран,15
76,Бела Паланка,15
77,Бојник,25
78,Осечина,9
79,Пријепоље,10
80,Рековац,20
81,Сјеница,10
82,Ариље,19
83,Врбас,14
84,Лебане,16
85,Неготин,55
86,Нова Варош,11
87,Пећинци,10
88,Прибој,14
89,Рача,11
90,Љиг,13
91,Пожега,17
92,Темерин,10
93,Брус,7
94,Ириг,9
95,Крупањ,6
96,Лучани,11
97,Трстеник,12
98,Ћићевац,8
99,Шид,8
100,Бујановац,6
101,Гњилане,5
102,Липљан,5
103,Опово,8
104,Приштина,9
105,Сента,5
106,Топола,6
107,Владимирци,11
108,Жабаљ,11
109,Жабари,5
110,Клина,4
111,Коцељева,4
112,Петровац на Млави,7
113,Пећ,5
114,Пландиште,11
115,Тител,9
116,Баточина,7
117,Бечеј,4
118,Босилеград,4
119,Ивањица,4
120,Косово Поље,5
121,Косовска Каменица,4
122,Лапово,4
123,Мајданпек,6
124,Мали Зворник,4
125,Прешево,3
126,Призрен,5
127,Беочин,7
128,Богатић,2
129,Велико Градиште,4
130,Глоговац,2
131,Голубац,2
132,Димитровград,2
133,Жагубица,2
134,Исток,2
135,Љубовија,2
136,Нови Бечеј,2
137,Оџаци,2
138,Сечањ,3
139,Сремски Карловци,3
140,Трговиште,3
141,Урошевац,2
142,Чајетина,6
143,Штимље,3
144,Ада,1
145,Апатин,3
146,Бач,3
147,Витина,1
148,Ђаковица,1
149,Кучево,1
150,Медвеђа,4
151,Нова Црња,2
152,Обилић,1
153,Црна Трава,1
154,Чока,1
155,Штрпце,1
