COVID19 статистике,2020-03-22,
COVID-19 статистике заражени,Заражено укупно,
Ранк,Територија,Вредност
1,Град Београд,98.0
2,Град Ниш,31.0
3,Ваљево,30.0
4,Ћуприја,10.0
5,Чачак,8.0
6,Крушевац,7.0
7,Нови Сад ,6.0
7,Кикинда,6.0
9,Крагујевац,4.0
9,Врање,4.0
11,Ужице,3.0
12,Зајечар,2.0
12,Панчево,2.0
14,Аранђеловац,1.0
14,Бачка Топола,1.0
14,Димитровград,1.0
14,Велика Плана,1.0
14,Велико Градиште,1.0
14,Бела Паланка,1.0
14,Сомбор,1.0
14,Зрењанин,1.0
14,Сремски Карловци,1.0
14,Темерин,1.0
14,Пожаревац,1.0
25,Жабари,0.0
25,Жагубица,0.0
25,Житорађа,0.0
25,Ивањица,0.0
25,Кладово,0.0
25,Кнић,0.0
25,Књажевац,0.0
25,Косјерић,0.0
25,Коцељева,0.0
25,Краљево,0.0
25,Крупањ,0.0
25,Куршумлија,0.0
25,Кучево,0.0
25,Лајковац,0.0
25,Лебане,0.0
25,Лесковац ,0.0
25,Лозница,0.0
25,Лучани,0.0
25,Љиг,0.0
25,Љубовија,0.0
25,Мајданпек,0.0
25,Мали Зворник,0.0
25,Мало Црниће,0.0
25,Медвеђа,0.0
25,Мерошина,0.0
25,Мионица,0.0
25,Неготин,0.0
25,Нова Варош,0.0
25,Нови Пазар,0.0
25,Осечина,0.0
25,Параћин,0.0
25,Петровац на Млави,0.0
25,Пирот,0.0
25,Пожега,0.0
25,Прешево,0.0
25,Прибој,0.0
25,Пријепоље,0.0
25,Прокупље,0.0
25,Ражањ,0.0
25,Рача,0.0
25,Рашка,0.0
25,Рековац,0.0
25,Јагодина,0.0
25,Свилајнац,0.0
25,Сврљиг,0.0
25,Сјеница,0.0
25,Смедерево,0.0
25,Смедеревска Паланка,0.0
25,Сокобања,0.0
25,Сурдулица,0.0
25,Топола,0.0
25,Трговиште,0.0
25,Трстеник,0.0
25,Тутин,0.0
25,Ћићевац,0.0
25,Уб,0.0
25,Црна Трава,0.0
25,Чајетина,0.0
25,Шабац,0.0
25,Лапово,0.0
25,Костолац,0.0
25,Врањска Бања,0.0
25,Севојно,0.0
25,Ада,0.0
25,Алибунар,0.0
25,Апатин,0.0
25,Бач,0.0
25,Бачка Паланка,0.0
25,Бачки Петровац,0.0
25,Бела Црква,0.0
25,Беочин,0.0
25,Бечеј,0.0
25,Вршац,0.0
25,Жабаљ,0.0
25,Житиште,0.0
25,Инђија,0.0
25,Ириг,0.0
25,Кањижа,0.0
25,Ковачица,0.0
25,Ковин,0.0
25,Кула,0.0
25,Мали Иђош,0.0
25,Нова Црња,0.0
25,Нови Бечеј,0.0
25,Нови Кнежевац,0.0
25,Опово,0.0
25,Оџаци,0.0
25,Пећинци,0.0
25,Пландиште,0.0
25,Рума,0.0
25,Сента,0.0
25,Сечањ,0.0
25,Србобран,0.0
25,Сремска Митровица,0.0
25,Стара Пазова,0.0
25,Суботица,0.0
25,Тител,0.0
25,Врбас,0.0
25,Чока,0.0
25,Шид,0.0
25,Александровац,0.0
25,Петроварадин,0.0
25,Алексинац,0.0
25,Ариље,0.0
25,Бабушница,0.0
25,Бајина Башта,0.0
25,Баточина,0.0
25,Блаце,0.0
25,Богатић,0.0
25,Бојник,0.0
25,Бољевац,0.0
25,Бор,0.0
25,Босилеград,0.0
25,Брус,0.0
25,Бујановац,0.0
25,Варварин,0.0
25,Владимирци,0.0
25,Владичин Хан,0.0
25,Власотинце,0.0
25,Врњачка Бања,0.0
25,Гаџин Хан,0.0
25,Голубац,0.0
25,Горњи Милановац,0.0
25,Деспотовац,0.0
25,Дољевац,0.0
