COVID19 статистике,2020-04-30,
COVID-19 статистике заражени,Заражено укупно,
Ранк,Територија,Вредност
0,Београд,2297
1,Ниш,1228
2,Ћуприја,239
3,Ваљево,184
4,Крушевац,208
5,Лесковац,222
6,Параћин,159
7,Алексинац,185
8,Јагодина,127
9,Нови Сад,128
10,Прокупље,127
11,Смедерево,127
12,Бор,132
13,Крагујевац,126
14,Панчево,117
15,Нови Пазар,84
16,Смедеревска Паланка,83
17,Шабац,82
18,Чачак,98
19,Дољевац,75
20,Врање,71
21,Зајечар,72
22,Мерошина,60
23,Блаце,55
24,Власотинце,84
25,Куршумлија,50
26,Вршац,74
27,Суботица,44
28,Пирот,61
29,Краљево,47
30,Пожаревац,48
31,Сурдулица,41
32,Рашка,49
33,Сомбор,32
34,Лозница,37
35,Стара Пазова,33
36,Ужице,45
37,Горњи Милановац,46
38,Кикинда,28
39,Сврљиг,28
40,Сокобања,49
41,Бољевац,37
42,Варварин,24
43,Владичин Хан,26
44,Сремска Митровица,29
45,Аранђеловац,23
46,Житорађа,34
47,Зрењанин,25
48,Књажевац,26
49,Свилајнац,30
50,Уб,23
51,Алибунар,24
52,Лајковац,32
53,Звечан,22
54,Зубин Поток,21
55,Бабушница,24
56,Кладово,31
57,Косовска Митровица,24
58,Мионица,24
59,Александровац,39
60,Деспотовац,31
61,Велика Плана,31
62,Бачка Паланка,18
63,Бачка Топола,17
64,Кула,18
65,Бајина Башта,29
66,Гаџин Хан,18
67,Инђија,20
68,Ковин,23
69,Врњачка Бања,17
70,Ковачица,13
71,Лепосавић,18
72,Ражањ,14
73,Бела Црква,24
74,Рума,13
75,Србобран,14
76,Бела Паланка,15
77,Бојник,23
78,Осечина,9
79,Пријепоље,10
80,Рековац,19
81,Сјеница,10
82,Ариље,19
83,Врбас,13
84,Лебане,15
85,Неготин,52
86,Нова Варош,11
87,Пећинци,9
88,Прибој,11
89,Рача,9
90,Љиг,12
91,Пожега,17
92,Темерин,10
93,Брус,7
94,Ириг,9
95,Крупањ,6
96,Лучани,9
97,Трстеник,11
98,Ћићевац,8
99,Шид,8
100,Бујановац,5
101,Гњилане,5
102,Липљан,5
103,Опово,7
104,Приштина,8
105,Сента,5
106,Топола,5
107,Владимирци,11
108,Жабаљ,9
109,Жабари,5
110,Клина,4
111,Коцељева,4
112,Петровац на Млави,7
113,Пећ,5
114,Пландиште,11
115,Тител,9
116,Баточина,6
117,Бечеј,4
118,Босилеград,4
119,Ивањица,3
120,Косово Поље,5
121,Косовска Каменица,4
122,Лапово,3
123,Мајданпек,6
124,Мали Зворник,4
125,Прешево,3
126,Призрен,5
127,Беочин,5
128,Богатић,2
129,Велико Градиште,3
130,Глоговац,2
131,Голубац,2
132,Димитровград,2
133,Жагубица,2
134,Исток,2
135,Љубовија,2
136,Нови Бечеј,2
137,Оџаци,2
138,Сечањ,2
139,Сремски Карловци,3
140,Трговиште,3
141,Урошевац,2
142,Чајетина,6
143,Штимље,3
144,Ада,1
145,Апатин,3
146,Бач,2
147,Витина,1
148,Ђаковица,1
149,Кучево,1
150,Медвеђа,4
151,Нова Црња,2
152,Обилић,1
153,Црна Трава,1
154,Чока,1
155,Штрпце,1
