COVID19 статистике,2020-04-16,
COVID-19 статистике заражени,Заражено укупно,
Ранк,Територија,Вредност
0,Београд,1486
1,Ниш,774
2,Ћуприја,179
3,Ваљево,132
4,Крушевац,125
5,Лесковац,114
6,Параћин,91
7,Алексинац,13
8,Јагодина,75
9,Нови Сад,91
10,Прокупље,65
11,Смедерево,57
12,Бор,74
13,Крагујевац,54
14,Панчево,58
15,Нови Пазар,35
16,Смедеревска Паланка,51
17,Шабац,63
18,Чачак,52
19,Дољевац,51
20,Врање,51
21,Зајечар,31
22,Мерошина,31
23,Блаце,48
24,Власотинце,28
25,Куршумлија,34
26,Вршац,34
27,Суботица,35
28,Пирот,30
29,Краљево,24
30,Пожаревац,25
31,Сурдулица,30
32,Рашка,26
33,Сомбор,16
34,Лозница,15
35,Стара Пазова,23
36,Ужице,20
37,Горњи Милановац,17
38,Кикинда,22
39,Сврљиг,15
40,Сокобања,10
41,Бољевац,18
42,Варварин,20
43,Владичин Хан,15
44,Сремска Митровица,19
45,Аранђеловац,15
46,Житорађа,10
47,Зрењанин,22
48,Књажевац,19
49,Свилајнац,15
50,Уб,10
51,Алибунар,15
52,Лајковац,0
53,Звечан,16
54,Зубин Поток,13
55,Бабушница,8
56,Кладово,16
57,Косовска Митровица,15
58,Мионица,13
59,Александровац,7
60,Деспотовац,8
61,Велика Плана,6
62,Бачка Паланка,14
63,Бачка Топола,7
64,Кула,10
65,Бајина Башта,10
66,Гаџин Хан,10
67,Инђија,10
68,Ковин,3
69,Врњачка Бања,12
70,Ковачица,8
71,Лепосавић,9
72,Ражањ,8
73,Бела Црква,7
74,Рума,8
75,Србобран,9
76,Бела Паланка,8
77,Бојник,6
78,Осечина,8
79,Пријепоље,9
80,Рековац,4
81,Сјеница,8
82,Ариље,6
83,Врбас,8
84,Лебане,7
85,Неготин,5
86,Нова Варош,6
87,Пећинци,7
88,Прибој,6
89,Рача,2
90,Љиг,1
91,Пожега,7
92,Темерин,6
93,Брус,5
94,Ириг,6
95,Крупањ,5
96,Лучани,4
97,Трстеник,5
98,Ћићевац,6
99,Шид,4
100,Бујановац,4
101,Гњилане,5
102,Липљан,4
103,Опово,2
104,Приштина,4
105,Сента,4
106,Топола,3
107,Владимирци,3
108,Жабаљ,2
109,Жабари,4
110,Клина,1
111,Коцељева,3
112,Петровац на Млави,2
113,Пећ,2
114,Пландиште,3
115,Тител,3
116,Баточина,1
117,Бечеј,2
118,Босилеград,1
119,Ивањица,2
120,Косово Поље,1
121,Косовска Каменица,0
122,Лапово,3
123,Мајданпек,2
124,Мали Зворник,1
125,Прешево,3
126,Призрен,2
127,Беочин,1
128,Богатић,0
129,Велико Градиште,1
130,Глоговац,1
131,Голубац,2
132,Димитровград,1
133,Жагубица,1
134,Исток,1
135,Љубовија,2
136,Нови Бечеј,2
137,Оџаци,0
138,Сечањ,2
139,Сремски Карловци,2
140,Трговиште,0
141,Урошевац,2
142,Чајетина,2
143,Штимље,2
144,Ада,1
145,Апатин,1
146,Бач,0
147,Витина,1
148,Ђаковица,1
149,Кучево,1
150,Медвеђа,0
151,Нова Црња,1
152,Обилић,1
153,Црна Трава,1
154,Чока,1
155,Штрпце,1
