COVID19 статистике,2020-05-04,
COVID-19 статистике заражени,Заражено укупно,
Ранк,Територија,Вредност
0,Београд,2421
1,Ниш,1263
2,Ћуприја,241
3,Ваљево,184
4,Крушевац,217
5,Лесковац,257
6,Параћин,160
7,Алексинац,201
8,Јагодина,128
9,Нови Сад,152
10,Прокупље,132
11,Смедерево,138
12,Бор,147
13,Крагујевац,136
14,Панчево,131
15,Нови Пазар,91
16,Смедеревска Паланка,87
17,Шабац,86
18,Чачак,103
19,Дољевац,76
20,Врање,79
21,Зајечар,88
22,Мерошина,60
23,Блаце,55
24,Власотинце,97
25,Куршумлија,53
26,Вршац,84
27,Суботица,44
28,Пирот,68
29,Краљево,52
30,Пожаревац,50
31,Сурдулица,44
32,Рашка,50
33,Сомбор,32
34,Лозница,38
35,Стара Пазова,33
36,Ужице,47
37,Горњи Милановац,50
38,Кикинда,28
39,Сврљиг,28
40,Сокобања,55
41,Бољевац,38
42,Варварин,25
43,Владичин Хан,26
44,Сремска Митровица,33
45,Аранђеловац,23
46,Житорађа,38
47,Зрењанин,25
48,Књажевац,30
49,Свилајнац,30
50,Уб,24
51,Алибунар,24
52,Лајковац,35
53,Звечан,24
54,Зубин Поток,21
55,Бабушница,24
56,Кладово,31
57,Косовска Митровица,25
58,Мионица,30
59,Александровац,59
60,Деспотовац,33
61,Велика Плана,34
62,Бачка Паланка,19
63,Бачка Топола,18
64,Кула,19
65,Бајина Башта,30
66,Гаџин Хан,18
67,Инђија,21
68,Ковин,25
69,Врњачка Бања,17
70,Ковачица,18
71,Лепосавић,23
72,Ражањ,15
73,Бела Црква,34
74,Рума,13
75,Србобран,16
76,Бела Паланка,15
77,Бојник,25
78,Осечина,9
79,Пријепоље,10
80,Рековац,20
81,Сјеница,10
82,Ариље,19
83,Врбас,14
84,Лебане,18
85,Неготин,55
86,Нова Варош,12
87,Пећинци,10
88,Прибој,14
89,Рача,12
90,Љиг,13
91,Пожега,18
92,Темерин,11
93,Брус,7
94,Ириг,9
95,Крупањ,6
96,Лучани,12
97,Трстеник,12
98,Ћићевац,8
99,Шид,8
100,Бујановац,6
101,Гњилане,5
102,Липљан,5
103,Опово,12
104,Приштина,9
105,Сента,5
106,Топола,6
107,Владимирци,11
108,Жабаљ,11
109,Жабари,5
110,Клина,4
111,Коцељева,4
112,Петровац на Млави,7
113,Пећ,5
114,Пландиште,11
115,Тител,9
116,Баточина,7
117,Бечеј,4
118,Босилеград,4
119,Ивањица,5
120,Косово Поље,5
121,Косовска Каменица,4
122,Лапово,4
123,Мајданпек,7
124,Мали Зворник,4
125,Прешево,3
126,Призрен,5
127,Беочин,7
128,Богатић,2
129,Велико Градиште,7
130,Глоговац,2
131,Голубац,2
132,Димитровград,2
133,Жагубица,2
134,Исток,2
135,Љубовија,2
136,Нови Бечеј,3
137,Оџаци,2
138,Сечањ,3
139,Сремски Карловци,3
140,Трговиште,3
141,Урошевац,2
142,Чајетина,7
143,Штимље,3
144,Ада,1
145,Апатин,3
146,Бач,3
147,Витина,1
148,Ђаковица,1
149,Кучево,1
150,Медвеђа,4
151,Нова Црња,2
152,Обилић,1
153,Црна Трава,1
154,Чока,1
155,Штрпце,1
