COVID19 статистике,2020-03-24,
COVID-19 статистике заражени,Заражено укупно,
Ранк,Територија,Вредност
1,Град Београд,127.0
2,Ваљево,39.0
3,Град Ниш,36.0
4,Ћуприја,13.0
5,Чачак,11.0
6,Нови Сад ,10.0
6,Крушевац,10.0
8,Крагујевац,7.0
9,Кикинда,6.0
10,Врање,5.0
11,Ужице,4.0
11,Аранђеловац,4.0
13,Зрењанин,3.0
13,Алибунар,3.0
15,Панчево,2.0
15,Зајечар,2.0
15,Пожаревац,2.0
18,Велико Градиште,1.0
18,Вршац,1.0
18,Параћин,1.0
18,Ивањица,1.0
18,Рума,1.0
18,Бела Паланка,1.0
18,Лучани,1.0
18,Сомбор,1.0
18,Врњачка Бања,1.0
18,Сремска Митровица,1.0
18,Сремски Карловци,1.0
18,Стара Пазова,1.0
18,Суботица,1.0
18,Темерин,1.0
18,Бачка Топола,1.0
18,Јагодина,1.0
18,Велика Плана,1.0
18,Димитровград,1.0
18,Лесковац ,1.0
37,Лебане,0.0
37,Лозница,0.0
37,Љиг,0.0
37,Љубовија,0.0
37,Мајданпек,0.0
37,Мали Зворник,0.0
37,Мало Црниће,0.0
37,Медвеђа,0.0
37,Мерошина,0.0
37,Мионица,0.0
37,Неготин,0.0
37,Нова Варош,0.0
37,Нови Пазар,0.0
37,Осечина,0.0
37,Петровац на Млави,0.0
37,Пирот,0.0
37,Пожега,0.0
37,Прешево,0.0
37,Прибој,0.0
37,Пријепоље,0.0
37,Прокупље,0.0
37,Ражањ,0.0
37,Рача,0.0
37,Рашка,0.0
37,Рековац,0.0
37,Свилајнац,0.0
37,Сврљиг,0.0
37,Сјеница,0.0
37,Смедерево,0.0
37,Смедеревска Паланка,0.0
37,Сокобања,0.0
37,Сурдулица,0.0
37,Топола,0.0
37,Трговиште,0.0
37,Трстеник,0.0
37,Тутин,0.0
37,Ћићевац,0.0
37,Уб,0.0
37,Црна Трава,0.0
37,Чајетина,0.0
37,Шабац,0.0
37,Лапово,0.0
37,Костолац,0.0
37,Врањска Бања,0.0
37,Севојно,0.0
37,Ада,0.0
37,Апатин,0.0
37,Бач,0.0
37,Бачка Паланка,0.0
37,Бачки Петровац,0.0
37,Бела Црква,0.0
37,Беочин,0.0
37,Бечеј,0.0
37,Жабаљ,0.0
37,Житиште,0.0
37,Инђија,0.0
37,Ириг,0.0
37,Кањижа,0.0
37,Ковачица,0.0
37,Ковин,0.0
37,Кула,0.0
37,Мали Иђош,0.0
37,Нова Црња,0.0
37,Нови Бечеј,0.0
37,Нови Кнежевац,0.0
37,Опово,0.0
37,Оџаци,0.0
37,Пећинци,0.0
37,Пландиште,0.0
37,Сента,0.0
37,Сечањ,0.0
37,Србобран,0.0
37,Тител,0.0
37,Врбас,0.0
37,Чока,0.0
37,Шид,0.0
37,Александровац,0.0
37,Петроварадин,0.0
37,Алексинац,0.0
37,Ариље,0.0
37,Бабушница,0.0
37,Бајина Башта,0.0
37,Баточина,0.0
37,Блаце,0.0
37,Богатић,0.0
37,Бојник,0.0
37,Бољевац,0.0
37,Бор,0.0
37,Босилеград,0.0
37,Брус,0.0
37,Бујановац,0.0
37,Варварин,0.0
37,Владимирци,0.0
37,Владичин Хан,0.0
37,Власотинце,0.0
37,Гаџин Хан,0.0
37,Голубац,0.0
37,Горњи Милановац,0.0
37,Деспотовац,0.0
37,Дољевац,0.0
37,Жабари,0.0
37,Жагубица,0.0
37,Житорађа,0.0
37,Кладово,0.0
37,Кнић,0.0
37,Књажевац,0.0
37,Косјерић,0.0
37,Коцељева,0.0
37,Краљево,0.0
37,Крупањ,0.0
37,Куршумлија,0.0
37,Кучево,0.0
37,Лајковац,0.0
