COVID19 самоизолације,2020-04-11,
COVID-19 статистике изолације,Број самоизолованих,
Ранк,Територија,Вредност
1,Град Београд,13174.0
2,Нови Сад ,3058.0
3,Лозница,2454.0
4,Град Ниш,2037.0
5,Лесковац ,1630.0
6,Нови Пазар,1275.0
7,Крушевац,1106.0
8,Крагујевац,1083.0
9,Суботица,1028.0
10,Шабац,979.0
11,Врање,926.0
12,Прешево,912.0
12,Прибој,912.0
14,Ваљево,843.0
15,Панчево,781.0
16,Бачка Паланка,770.0
17,Сремска Митровица,732.0
18,Бајина Башта,720.0
19,Зрењанин,665.0
20,Бујановац,663.0
21,Сомбор,626.0
22,Пријепоље,623.0
23,Чачак,622.0
24,Краљево,617.0
25,Смедерево,557.0
26,Бор,548.0
27,Јагодина,535.0
28,Тутин,481.0
29,Ужице,454.0
30,Ћуприја,428.0
31,Рума,410.0
32,Параћин,407.0
33,Мали Зворник,402.0
34,Богатић,395.0
35,Вршац,376.0
36,Пожаревац,373.0
37,Кикинда,369.0
38,Стара Пазова,353.0
39,Зајечар,350.0
39,Пирот,350.0
41,Шид,347.0
42,Кула,297.0
43,Кладово,293.0
44,Алексинац,291.0
45,Љубовија,289.0
46,Смедеревска Паланка,276.0
47,Велика Плана,267.0
48,Прокупље,250.0
49,Сјеница,244.0
50,Неготин,242.0
51,Бачка Топола,234.0
52,Кањижа,232.0
53,Аранђеловац,230.0
54,Инђија,224.0
55,Уб,218.0
56,Трстеник,203.0
57,Горњи Милановац,198.0
58,Петровац на Млави,195.0
59,Врбас,193.0
60,Лебане,191.0
61,Крупањ,185.0
62,Варварин,174.0
63,Апатин,173.0
64,Темерин,172.0
64,Рашка,172.0
66,Александровац,171.0
67,Власотинце,168.0
68,Врњачка Бања,165.0
69,Сурдулица,156.0
70,Бабушница,155.0
71,Чајетина,154.0
71,Сента,154.0
73,Бечеј,144.0
74,Ковачица,138.0
75,Мајданпек,136.0
76,Пожега,132.0
77,Деспотовац,131.0
77,Свилајнац,131.0
79,Жабаљ,130.0
80,Бела Црква,128.0
81,Ада,127.0
82,Књажевац,118.0
83,Топола,116.0
84,Алибунар,115.0
85,Нови Бечеј,114.0
86,Ковин,113.0
87,Владичин Хан,111.0
88,Беочин,109.0
89,Мионица,108.0
90,Велико Градиште,107.0
90,Димитровград,107.0
92,Оџаци,102.0
93,Нова Варош,98.0
94,Кучево,94.0
95,Мали Иђош,92.0
96,Ириг,91.0
96,Дољевац,91.0
98,Жабари,90.0
99,Бач,87.0
100,Србобран,86.0
101,Владимирци,84.0
101,Бачки Петровац,84.0
101,Коцељева,84.0
101,Ивањица,84.0
105,Бољевац,83.0
106,Ариље,81.0
106,Сремски Карловци,81.0
108,Ћићевац,78.0
108,Сокобања,78.0
110,Мерошина,76.0
110,Сечањ,76.0
110,Брус,76.0
110,Куршумлија,76.0
114,Лучани,75.0
115,Чока,73.0
116,Бојник,72.0
117,Нови Кнежевац,70.0
118,Тител,69.0
118,Пећинци,69.0
120,Нова Црња,66.0
121,Рача,63.0
122,Осечина,62.0
122,Житиште,62.0
124,Житорађа,61.0
125,Босилеград,60.0
125,Мало Црниће,60.0
127,Баточина,59.0
127,Рековац,59.0
129,Лајковац,58.0
129,Жагубица,58.0
131,Бела Паланка,57.0
132,Лапово,55.0
133,Кнић,52.0
134,Љиг,49.0
135,Сврљиг,47.0
136,Медвеђа,45.0
137,Пландиште,42.0
137,Голубац,42.0
139,Блаце,40.0
140,Опово,38.0
141,Косјерић,37.0
142,Ражањ,31.0
143,Гаџин Хан,20.0
144,Трговиште,13.0
145,Црна Трава,2.0
