COVID19 самоизолације,2020-04-24,
COVID-19 статистике изолације,Број самоизолованих,
Ранк,Територија,Вредност
1,Град Београд,3289.0
2,Град Ниш,1620.0
3,Лесковац ,853.0
4,Нови Сад ,727.0
5,Крушевац,718.0
6,Крагујевац,474.0
7,Шабац,438.0
8,Ваљево,421.0
9,Нови Пазар,405.0
10,Алексинац,381.0
11,Ћуприја,344.0
12,Панчево,336.0
13,Параћин,307.0
14,Смедерево,295.0
15,Суботица,286.0
16,Бор,285.0
17,Лозница,282.0
18,Сомбор,251.0
19,Прокупље,247.0
20,Краљево,243.0
21,Јагодина,231.0
22,Чачак,220.0
23,Вршац,213.0
23,Смедеревска Паланка,213.0
25,Горњи Милановац,211.0
26,Зрењанин,210.0
27,Власотинце,209.0
28,Врање,188.0
29,Ужице,184.0
30,Зајечар,181.0
31,Кикинда,180.0
32,Блаце,167.0
33,Пирот,165.0
34,Дољевац,156.0
35,Кула,154.0
35,Рашка,154.0
37,Рума,147.0
38,Кладово,146.0
39,Бабушница,138.0
40,Велика Плана,134.0
41,Бачка Паланка,123.0
42,Пожаревац,118.0
43,Сремска Митровица,114.0
44,Варварин,112.0
45,Куршумлија,111.0
46,Лебане,109.0
47,Пријепоље,104.0
47,Сурдулица,104.0
49,Аранђеловац,102.0
50,Стара Пазова,97.0
51,Александровац,95.0
52,Бајина Башта,94.0
53,Уб,88.0
54,Деспотовац,86.0
55,Мерошина,83.0
56,Књажевац,81.0
57,Апатин,80.0
58,Бујановац,73.0
58,Трстеник,73.0
60,Житорађа,72.0
61,Прешево,69.0
62,Врбас,66.0
63,Шид,65.0
63,Мионица,65.0
65,Чајетина,64.0
65,Ковачица,64.0
67,Нови Бечеј,63.0
67,Прибој,63.0
69,Инђија,62.0
70,Србобран,61.0
71,Нова Варош,60.0
71,Пожега,60.0
71,Бојник,60.0
74,Жабаљ,56.0
74,Лајковац,56.0
76,Сјеница,54.0
77,Врњачка Бања,53.0
78,Сврљиг,52.0
79,Бачка Топола,51.0
80,Бољевац,49.0
81,Темерин,48.0
81,Сокобања,48.0
81,Кањижа,48.0
84,Неготин,47.0
85,Ириг,46.0
86,Ћићевац,44.0
87,Ковин,43.0
87,Топола,43.0
87,Мали Зворник,43.0
87,Мајданпек,43.0
91,Бела Црква,41.0
91,Владичин Хан,41.0
91,Алибунар,41.0
94,Петровац на Млави,39.0
94,Брус,39.0
94,Свилајнац,39.0
97,Тутин,38.0
97,Сента,38.0
97,Рача,38.0
97,Љиг,38.0
101,Бечеј,37.0
102,Жагубица,35.0
102,Крупањ,35.0
104,Оџаци,34.0
105,Сремски Карловци,33.0
105,Беочин,33.0
107,Ариље,32.0
108,Пећинци,31.0
108,Коцељева,31.0
108,Ражањ,31.0
111,Бач,30.0
112,Сечањ,29.0
113,Богатић,28.0
113,Бела Паланка,28.0
113,Владимирци,28.0
116,Лапово,26.0
117,Ада,25.0
117,Бачки Петровац,25.0
119,Косовска Митровица,24.0
119,Тител,24.0
119,Мали Иђош,24.0
122,Нова Црња,23.0
122,Осечина,23.0
124,Гаџин Хан,22.0
124,Жабари,22.0
126,Житиште,20.0
126,Кнић,20.0
128,Ивањица,19.0
128,Босилеград,19.0
130,Велико Градиште,18.0
130,Баточина,18.0
132,Опово,17.0
133,Чока,16.0
134,Лучани,15.0
134,Љубовија,15.0
136,Нови Кнежевац,14.0
136,Рековац,14.0
138,Мало Црниће,13.0
139,Звечан,12.0
139,Зубин Поток,12.0
141,Гњилане,11.0
142,Кучево,10.0
142,Медвеђа,10.0
144,Пландиште,9.0
145,Трговиште,8.0
145,Лепосавић,8.0
147,Липљан,7.0
147,Косјерић,7.0
149,Димитровград,6.0
150,Приштина,5.0
150,Косовска Каменица,5.0
150,Голубац,5.0
153,Пећ,4.0
154,Штрпце,3.0
155,Исток,2.0
155,Клина,2.0
155,Косово Поље,2.0
155,Урошевац,2.0
159,Штимље,1.0
159,Подујево,1.0
159,Црна Трава,1.0
162,Витина,0.0
162,Глоговац,0.0
162,Дечани,0.0
162,Ђаковица,0.0
162,Качаник,0.0
162,Ново Брдо,0.0
162,Обилић,0.0
162,Ораховац,0.0
162,Србица,0.0
162,Сува Река,0.0
162,Гора,0.0
162,Вучитрн,0.0
