COVID19 самоизолације,2020-03-29,
COVID-19 статистике изолације,Број самоизолованих,
Ранк,Територија,Вредност
1,Град Београд,14748.0
2,Лозница,3746.0
3,Нови Сад ,3680.0
4,Град Ниш,2180.0
5,Прибој,1824.0
6,Суботица,1705.0
7,Нови Пазар,1704.0
8,Прешево,1600.0
9,Крагујевац,1311.0
10,Шабац,1272.0
11,Лесковац ,1249.0
12,Врање,1121.0
13,Бујановац,1114.0
14,Сремска Митровица,1111.0
15,Бачка Паланка,1018.0
16,Крушевац,958.0
17,Бајина Башта,903.0
18,Чачак,901.0
19,Тутин,846.0
20,Панчево,833.0
21,Пријепоље,809.0
22,Краљево,785.0
23,Зрењанин,763.0
24,Мали Зворник,744.0
25,Сомбор,742.0
26,Ваљево,723.0
27,Богатић,661.0
28,Пожаревац,656.0
29,Кикинда,647.0
30,Смедерево,642.0
31,Шид,598.0
32,Јагодина,556.0
33,Ужице,528.0
34,Бор,517.0
35,Рума,514.0
36,Кладово,422.0
37,Параћин,420.0
38,Стара Пазова,412.0
39,Љубовија,405.0
40,Пирот,401.0
41,Зајечар,369.0
42,Вршац,363.0
43,Сјеница,361.0
44,Неготин,342.0
45,Велика Плана,329.0
46,Аранђеловац,319.0
47,Петровац на Млави,307.0
48,Алексинац,296.0
49,Смедеревска Паланка,283.0
50,Ћуприја,279.0
51,Бачка Топола,272.0
52,Крупањ,271.0
53,Кањижа,266.0
54,Инђија,261.0
55,Кула,254.0
56,Рашка,252.0
57,Врбас,248.0
58,Жабари,242.0
59,Трстеник,234.0
60,Апатин,224.0
61,Сента,220.0
62,Врњачка Бања,212.0
63,Горњи Милановац,210.0
64,Прокупље,202.0
65,Бечеј,198.0
66,Темерин,197.0
67,Александровац,193.0
68,Свилајнац,189.0
69,Деспотовац,188.0
70,Ада,179.0
71,Чајетина,178.0
72,Велико Градиште,166.0
73,Димитровград,163.0
73,Оџаци,163.0
75,Жабаљ,159.0
76,Бела Црква,158.0
77,Власотинце,156.0
78,Ковин,154.0
79,Кучево,153.0
80,Лебане,151.0
81,Беочин,150.0
82,Коцељева,145.0
82,Алибунар,145.0
84,Топола,144.0
85,Ивањица,142.0
86,Уб,141.0
87,Ковачица,139.0
88,Пожега,136.0
89,Варварин,135.0
90,Владимирци,128.0
91,Нови Бечеј,123.0
92,Мало Црниће,121.0
93,Нова Варош,118.0
94,Бач,117.0
95,Мали Иђош,116.0
96,Бабушница,112.0
97,Сурдулица,109.0
98,Владичин Хан,104.0
99,Ириг,102.0
100,Лучани,101.0
101,Баточина,100.0
102,Мајданпек,98.0
103,Нова Црња,94.0
104,Бачки Петровац,92.0
104,Србобран,92.0
106,Сечањ,91.0
106,Чока,91.0
108,Пећинци,89.0
109,Нови Кнежевац,87.0
110,Брус,84.0
111,Ариље,83.0
111,Тител,83.0
113,Житиште,82.0
113,Мерошина,82.0
115,Мионица,81.0
116,Сокобања,80.0
116,Куршумлија,80.0
118,Књажевац,77.0
119,Рековац,74.0
120,Осечина,72.0
121,Дољевац,70.0
122,Кнић,69.0
123,Ћићевац,67.0
123,Жагубица,67.0
123,Рача,67.0
123,Бољевац,67.0
127,Босилеград,64.0
128,Голубац,63.0
128,Житорађа,63.0
130,Бела Паланка,60.0
130,Лапово,60.0
132,Медвеђа,58.0
133,Љиг,57.0
134,Лајковац,55.0
134,Пландиште,55.0
136,Сремски Карловци,53.0
137,Косјерић,50.0
138,Блаце,48.0
139,Бојник,46.0
139,Сврљиг,46.0
141,Ражањ,44.0
142,Опово,38.0
142,Трговиште,38.0
144,Гаџин Хан,28.0
145,Црна Трава,1.0
