COVID19 самоизолације,2020-04-23
COVID-19 статистике изолације,Број самоизолованих,
Ранк,Територија,Вредност
1,Град Београд,3273.0
2,Град Ниш,1540.0
3,Лесковац ,928.0
4,Нови Сад ,743.0
5,Крушевац,720.0
6,Крагујевац,495.0
7,Шабац,441.0
8,Ваљево,414.0
9,Нови Пазар,402.0
10,Алексинац,374.0
11,Ћуприја,354.0
12,Панчево,348.0
13,Смедерево,304.0
14,Бор,292.0
15,Параћин,291.0
16,Суботица,284.0
17,Лозница,280.0
18,Краљево,248.0
19,Сомбор,244.0
20,Јагодина,237.0
21,Прокупље,236.0
22,Чачак,229.0
23,Зрењанин,214.0
23,Вршац,214.0
25,Смедеревска Паланка,208.0
26,Власотинце,196.0
27,Врање,195.0
28,Горњи Милановац,192.0
29,Ужице,184.0
30,Кикинда,178.0
31,Рашка,166.0
32,Блаце,162.0
33,Кула,154.0
34,Дољевац,151.0
35,Рума,150.0
36,Кладово,144.0
37,Бачка Паланка,137.0
38,Бабушница,136.0
39,Пирот,132.0
40,Велика Плана,129.0
41,Зајечар,123.0
42,Пожаревац,122.0
43,Варварин,118.0
44,Сурдулица,115.0
45,Сремска Митровица,111.0
46,Лебане,110.0
46,Пријепоље,110.0
48,Куршумлија,105.0
49,Аранђеловац,101.0
50,Уб,95.0
51,Александровац,92.0
52,Стара Пазова,90.0
52,Бајина Башта,90.0
54,Мионица,83.0
55,Књажевац,81.0
56,Апатин,74.0
57,Трстеник,71.0
58,Пожега,70.0
58,Бујановац,70.0
60,Житорађа,68.0
61,Прибој,67.0
61,Нови Бечеј,67.0
63,Прешево,65.0
64,Ковачица,64.0
64,Врбас,64.0
66,Чајетина,63.0
67,Мерошина,62.0
68,Бојник,61.0
69,Инђија,60.0
70,Шид,59.0
70,Србобран,59.0
70,Нова Варош,59.0
73,Деспотовац,58.0
74,Сјеница,54.0
75,Сврљиг,53.0
75,Жабаљ,53.0
77,Врњачка Бања,52.0
78,Лајковац,51.0
78,Темерин,51.0
80,Сокобања,48.0
81,Бачка Топола,47.0
82,Ириг,46.0
82,Бољевац,46.0
82,Неготин,46.0
85,Кањижа,45.0
86,Топола,44.0
86,Ковин,44.0
88,Ћићевац,43.0
88,Мајданпек,43.0
88,Мали Зворник,43.0
91,Бела Црква,41.0
91,Владичин Хан,41.0
93,Алибунар,40.0
94,Свилајнац,39.0
95,Рача,38.0
95,Петровац на Млави,38.0
97,Брус,37.0
97,Сента,37.0
97,Бечеј,37.0
100,Тутин,36.0
101,Жагубица,35.0
101,Крупањ,35.0
103,Сремски Карловци,33.0
103,Оџаци,33.0
105,Пећинци,32.0
106,Ражањ,31.0
106,Ариље,31.0
108,Бач,30.0
108,Коцељева,30.0
110,Љиг,28.0
110,Сечањ,28.0
110,Богатић,28.0
110,Бела Паланка,28.0
114,Лапово,27.0
114,Осечина,27.0
116,Бачки Петровац,25.0
117,Беочин,24.0
117,Владимирци,24.0
117,Косовска Митровица,24.0
120,Нова Црња,23.0
121,Мали Иђош,22.0
121,Ада,22.0
121,Ивањица,22.0
121,Тител,22.0
121,Гаџин Хан,22.0
121,Жабари,22.0
127,Житиште,20.0
127,Кнић,20.0
127,Босилеград,20.0
130,Опово,19.0
131,Баточина,18.0
131,Чока,18.0
131,Велико Градиште,18.0
134,Лучани,17.0
135,Рековац,16.0
136,Љубовија,13.0
136,Нови Кнежевац,13.0
136,Мало Црниће,13.0
139,Зубин Поток,12.0
139,Медвеђа,12.0
139,Димитровград,12.0
142,Звечан,11.0
142,Кучево,11.0
142,Гњилане,11.0
145,Пландиште,9.0
146,Лепосавић,8.0
146,Косјерић,8.0
148,Трговиште,7.0
149,Липљан,6.0
149,Голубац,6.0
151,Косовска Каменица,5.0
152,Пећ,4.0
152,Приштина,4.0
154,Штрпце,3.0
155,Исток,2.0
155,Клина,2.0
155,Косово Поље,2.0
155,Урошевац,2.0
159,Штимље,1.0
159,Црна Трава,1.0
161,Обилић,0.0
161,Ораховац,0.0
161,Дечани,0.0
161,Подујево,0.0
161,Призрен,0.0
161,Глоговац,0.0
161,Србица,0.0
161,Сува Река,0.0
161,Вучитрн,0.0
161,Витина,0.0
161,Гора,0.0
161,Ђаковица,0.0
161,Качаник,0.0
161,Ново Брдо,0.0
