COVID19 самоизолације,2020-04-12,
COVID-19 статистике изолације,Број самоизолованих,
Ранк,Територија,Вредност
1,Град Београд,8264.0
2,Нови Сад ,1861.0
3,Град Ниш,1663.0
4,Лесковац ,1499.0
5,Крушевац,918.0
6,Крагујевац,851.0
7,Нови Пазар,822.0
8,Ваљево,705.0
9,Суботица,691.0
10,Панчево,545.0
11,Шабац,541.0
12,Врање,493.0
13,Лозница,484.0
14,Зрењанин,482.0
15,Јагодина,477.0
16,Краљево,474.0
17,Бор,440.0
18,Бачка Паланка,439.0
19,Ћуприја,431.0
20,Смедерево,426.0
21,Пријепоље,423.0
22,Чачак,416.0
23,Сомбор,394.0
24,Параћин,363.0
25,Кикинда,311.0
26,Рума,303.0
27,Сремска Митровица,297.0
28,Вршац,292.0
29,Зајечар,287.0
30,Ужице,276.0
31,Пожаревац,274.0
32,Бујановац,268.0
33,Прибој,263.0
34,Тутин,251.0
35,Пирот,247.0
36,Кула,240.0
37,Стара Пазова,233.0
38,Алексинац,230.0
39,Прешево,226.0
40,Прокупље,221.0
41,Кладово,218.0
42,Велика Плана,210.0
43,Смедеревска Паланка,203.0
44,Власотинце,191.0
45,Кањижа,189.0
46,Аранђеловац,187.0
46,Уб,187.0
48,Лебане,179.0
49,Сјеница,171.0
50,Неготин,170.0
51,Рашка,168.0
51,Бачка Топола,168.0
53,Бабушница,167.0
54,Варварин,163.0
55,Бајина Башта,159.0
56,Трстеник,158.0
57,Петровац на Млави,153.0
58,Шид,144.0
59,Горњи Милановац,141.0
60,Инђија,135.0
61,Врбас,134.0
62,Александровац,132.0
63,Врњачка Бања,120.0
64,Сурдулица,117.0
64,Темерин,117.0
66,Ковачица,116.0
66,Деспотовац,116.0
68,Апатин,115.0
69,Сента,114.0
70,Свилајнац,113.0
71,Бечеј,111.0
72,Нови Бечеј,106.0
73,Бела Црква,105.0
74,Чајетина,104.0
74,Књажевац,104.0
76,Мајданпек,101.0
77,Богатић,99.0
78,Пожега,93.0
78,Мали Зворник,93.0
80,Топола,91.0
80,Алибунар,91.0
82,Владичин Хан,87.0
83,Ада,86.0
83,Жабаљ,86.0
85,Ковин,82.0
86,Мали Иђош,79.0
86,Мионица,79.0
88,Велико Градиште,75.0
88,Дољевац,75.0
90,Ириг,73.0
90,Крупањ,73.0
92,Нова Варош,72.0
93,Беочин,71.0
94,Куршумлија,69.0
94,Мерошина,69.0
96,Бојник,68.0
96,Кучево,68.0
98,Оџаци,67.0
98,Србобран,67.0
98,Бољевац,67.0
101,Владимирци,66.0
102,Бач,65.0
103,Ћићевац,64.0
104,Лучани,60.0
104,Брус,60.0
104,Сокобања,60.0
104,Нова Црња,60.0
104,Димитровград,60.0
109,Сечањ,59.0
109,Сремски Карловци,59.0
111,Жабари,58.0
112,Ивањица,56.0
112,Чока,56.0
114,Нови Кнежевац,55.0
114,Тител,55.0
116,Бачки Петровац,54.0
117,Коцељева,53.0
118,Мало Црниће,52.0
119,Рековац,51.0
119,Житиште,51.0
121,Босилеград,50.0
121,Баточина,50.0
121,Житорађа,50.0
124,Рача,49.0
124,Бела Паланка,49.0
126,Ариље,48.0
126,Лајковац,48.0
126,Љубовија,48.0
129,Лапово,45.0
130,Блаце,42.0
131,Пећинци,41.0
131,Жагубица,41.0
133,Сврљиг,36.0
133,Кнић,36.0
135,Пландиште,35.0
136,Љиг,33.0
137,Осечина,32.0
138,Голубац,31.0
139,Ражањ,24.0
139,Опово,24.0
141,Косјерић,23.0
141,Медвеђа,23.0
143,Гаџин Хан,20.0
144,Трговиште,7.0
145,Црна Трава,2.0
