COVID19 самоизолације,2020-04-13,
COVID-19 статистике изолације,Број самоизолованих,
Ранк,Територија,Вредност
1,Град Београд,6262.0
2,Нови Сад ,1387.0
3,Град Ниш,1328.0
4,Лесковац ,1309.0
5,Крушевац,784.0
6,Крагујевац,744.0
7,Ваљево,667.0
8,Нови Пазар,542.0
9,Суботица,505.0
10,Шабац,486.0
11,Панчево,473.0
12,Зрењанин,395.0
13,Врање,393.0
14,Краљево,387.0
15,Ћуприја,374.0
16,Чачак,364.0
17,Сомбор,360.0
18,Јагодина,352.0
18,Лозница,352.0
20,Бор,335.0
21,Смедерево,328.0
22,Параћин,282.0
22,Пријепоље,282.0
24,Кикинда,276.0
25,Рума,261.0
26,Бачка Паланка,252.0
27,Вршац,250.0
28,Зајечар,234.0
29,Ужице,223.0
30,Пожаревац,216.0
31,Сремска Митровица,206.0
32,Кула,199.0
33,Пирот,198.0
34,Прокупље,193.0
35,Прибој,189.0
36,Смедеревска Паланка,185.0
37,Кладово,182.0
38,Власотинце,173.0
39,Алексинац,170.0
40,Бабушница,166.0
41,Стара Пазова,164.0
42,Уб,162.0
43,Велика Плана,160.0
44,Аранђеловац,159.0
45,Бујановац,158.0
45,Лебане,158.0
47,Рашка,155.0
48,Варварин,151.0
49,Тутин,143.0
50,Прешево,136.0
51,Бајина Башта,129.0
51,Трстеник,129.0
53,Бачка Топола,124.0
54,Неготин,121.0
55,Александровац,118.0
56,Кањижа,117.0
57,Горњи Милановац,114.0
58,Сјеница,109.0
59,Сурдулица,108.0
60,Врбас,106.0
60,Инђија,106.0
62,Петровац на Млави,100.0
63,Шид,98.0
63,Апатин,98.0
65,Мајданпек,96.0
65,Чајетина,96.0
67,Нови Бечеј,93.0
68,Сента,92.0
68,Темерин,92.0
70,Врњачка Бања,91.0
70,Књажевац,91.0
72,Свилајнац,88.0
73,Бечеј,83.0
73,Деспотовац,83.0
75,Топола,78.0
75,Пожега,78.0
75,Богатић,78.0
78,Владичин Хан,77.0
79,Алибунар,76.0
80,Ковачица,75.0
81,Жабаљ,72.0
82,Бела Црква,70.0
83,Мионица,69.0
83,Куршумлија,69.0
85,Нова Варош,64.0
86,Дољевац,62.0
86,Мали Зворник,62.0
88,Србобран,61.0
88,Ковин,61.0
88,Крупањ,61.0
91,Ириг,60.0
92,Бољевац,57.0
92,Ћићевац,57.0
94,Лучани,55.0
94,Бојник,55.0
96,Нова Црња,53.0
96,Оџаци,53.0
98,Мали Иђош,51.0
98,Мерошина,51.0
100,Жабари,49.0
100,Сремски Карловци,49.0
102,Сечањ,48.0
102,Ада,48.0
104,Нови Кнежевац,47.0
104,Брус,47.0
104,Блаце,47.0
107,Чока,46.0
107,Ивањица,46.0
109,Беочин,45.0
109,Бач,45.0
109,Лапово,45.0
112,Баточина,44.0
113,Велико Градиште,42.0
113,Кучево,42.0
113,Бачки Петровац,42.0
116,Рековац,41.0
116,Лајковац,41.0
116,Бела Паланка,41.0
119,Тител,40.0
119,Босилеград,40.0
119,Димитровград,40.0
122,Житиште,38.0
122,Рача,38.0
124,Сврљиг,37.0
124,Ариље,37.0
126,Коцељева,36.0
126,Житорађа,36.0
128,Сокобања,35.0
128,Љубовија,35.0
128,Пећинци,35.0
131,Владимирци,31.0
131,Мало Црниће,31.0
133,Осечина,30.0
133,Кнић,30.0
135,Жагубица,28.0
136,Љиг,26.0
137,Ражањ,22.0
138,Опово,20.0
139,Голубац,18.0
140,Медвеђа,17.0
140,Гаџин Хан,17.0
142,Пландиште,16.0
142,Косјерић,16.0
144,Трговиште,6.0
145,Црна Трава,2.0
