COVID19 самоизолације,2020-04-07,
COVID-19 статистике изолације,Број самоизолованих,
Ранк,Територија,Вредност
1,Град Београд,16499.0
2,Нови Сад ,3750.0
3,Лозница,3736.0
4,Град Ниш,2166.0
5,Прибој,1822.0
6,Прешево,1741.0
7,Нови Пазар,1647.0
8,Лесковац ,1577.0
9,Суботица,1468.0
10,Шабац,1304.0
11,Крагујевац,1245.0
12,Врање,1242.0
13,Крушевац,1227.0
14,Сремска Митровица,1147.0
15,Бујановац,1146.0
16,Бачка Паланка,1016.0
17,Ваљево,979.0
18,Бајина Башта,928.0
19,Пријепоље,879.0
20,Панчево,867.0
21,Краљево,832.0
22,Мали Зворник,765.0
23,Сомбор,762.0
24,Чачак,758.0
25,Тутин,750.0
26,Зрењанин,727.0
27,Смедерево,719.0
28,Бор,682.0
29,Богатић,671.0
30,Јагодина,636.0
31,Шид,583.0
32,Ужице,571.0
33,Кикинда,555.0
34,Рума,528.0
35,Кладово,507.0
36,Пожаревац,497.0
37,Пирот,483.0
38,Стара Пазова,455.0
39,Параћин,444.0
40,Ћуприја,431.0
41,Вршац,426.0
42,Љубовија,420.0
42,Зајечар,420.0
44,Неготин,383.0
45,Велика Плана,352.0
46,Алексинац,339.0
47,Сјеница,338.0
48,Смедеревска Паланка,326.0
49,Аранђеловац,313.0
50,Кула,312.0
51,Бачка Топола,283.0
52,Кањижа,281.0
53,Крупањ,280.0
54,Инђија,274.0
55,Трстеник,269.0
56,Петровац на Млави,261.0
57,Горњи Милановац,246.0
58,Апатин,243.0
59,Врњачка Бања,238.0
60,Врбас,235.0
60,Прокупље,235.0
62,Бабушница,217.0
63,Рашка,215.0
64,Сента,210.0
65,Деспотовац,205.0
66,Темерин,201.0
67,Александровац,195.0
68,Лебане,189.0
69,Свилајнац,187.0
70,Чајетина,185.0
71,Бечеј,182.0
71,Уб,182.0
73,Варварин,181.0
74,Власотинце,177.0
75,Димитровград,169.0
76,Сурдулица,166.0
77,Беочин,162.0
78,Жабаљ,156.0
78,Ада,156.0
78,Нова Варош,156.0
81,Мајданпек,149.0
82,Бела Црква,147.0
83,Ковачица,146.0
84,Оџаци,144.0
85,Велико Градиште,139.0
85,Жабари,139.0
87,Алибунар,136.0
88,Ковин,133.0
89,Пожега,130.0
90,Владичин Хан,127.0
91,Мионица,125.0
92,Топола,124.0
93,Нови Бечеј,123.0
94,Бач,122.0
94,Књажевац,122.0
96,Кучево,119.0
97,Владимирци,112.0
98,Ивањица,108.0
99,Бољевац,107.0
100,Ириг,103.0
101,Мали Иђош,102.0
102,Пећинци,100.0
103,Нова Црња,93.0
103,Бачки Петровац,93.0
105,Коцељева,91.0
106,Мало Црниће,90.0
107,Брус,89.0
107,Ариље,89.0
107,Лучани,89.0
110,Мерошина,88.0
110,Сокобања,88.0
110,Ћићевац,88.0
110,Србобран,88.0
114,Осечина,85.0
115,Куршумлија,84.0
116,Баточина,83.0
116,Чока,83.0
116,Дољевац,83.0
119,Нови Кнежевац,81.0
120,Житиште,80.0
121,Тител,78.0
122,Рековац,76.0
122,Бојник,76.0
124,Бела Паланка,75.0
125,Житорађа,73.0
126,Босилеград,72.0
127,Лапово,70.0
128,Сечањ,68.0
129,Жагубица,67.0
130,Љиг,66.0
131,Медвеђа,61.0
132,Лајковац,60.0
133,Пландиште,59.0
134,Сврљиг,58.0
135,Рача,57.0
136,Кнић,56.0
136,Сремски Карловци,56.0
138,Голубац,53.0
139,Ражањ,50.0
140,Блаце,49.0
140,Косјерић,49.0
142,Трговиште,45.0
143,Опово,39.0
144,Гаџин Хан,31.0
145,Црна Трава,2.0
