COVID19 самоизолације,2020-04-15,
COVID-19 статистике изолације,Број самоизолованих,
Ранк,Територија,Вредност
1,Град Београд,4368.0
2,Град Ниш,1359.0
3,Лесковац ,1191.0
4,Нови Сад ,999.0
5,Крушевац,728.0
6,Крагујевац,561.0
7,Ваљево,492.0
8,Шабац,441.0
9,Панчево,366.0
10,Суботица,359.0
11,Нови Пазар,341.0
12,Ћуприја,329.0
13,Зрењанин,309.0
14,Бор,301.0
15,Краљево,293.0
16,Чачак,288.0
16,Врање,288.0
18,Сомбор,283.0
19,Лозница,274.0
20,Јагодина,266.0
21,Смедерево,244.0
22,Вршац,232.0
23,Параћин,230.0
24,Рума,228.0
25,Кикинда,227.0
26,Алексинац,201.0
27,Пријепоље,196.0
28,Ужице,192.0
29,Власотинце,185.0
30,Прокупље,181.0
31,Кула,170.0
31,Пирот,170.0
33,Зајечар,166.0
34,Бабушница,165.0
35,Бачка Паланка,159.0
36,Смедеревска Паланка,150.0
37,Лебане,142.0
37,Пожаревац,142.0
39,Уб,141.0
40,Рашка,133.0
41,Горњи Милановац,131.0
42,Варварин,129.0
42,Сремска Митровица,129.0
44,Кладово,112.0
45,Аранђеловац,110.0
46,Бујановац,105.0
47,Бајина Башта,102.0
48,Књажевац,100.0
49,Сурдулица,97.0
49,Велика Плана,97.0
51,Дољевац,95.0
52,Стара Пазова,93.0
53,Александровац,89.0
54,Бачка Топола,85.0
54,Кањижа,85.0
54,Прешево,85.0
57,Тутин,84.0
57,Прибој,84.0
59,Пожега,83.0
59,Мионица,83.0
59,Врбас,83.0
62,Трстеник,81.0
63,Апатин,80.0
63,Нови Бечеј,80.0
65,Чајетина,77.0
65,Куршумлија,77.0
67,Сјеница,73.0
68,Сента,71.0
69,Инђија,67.0
70,Темерин,65.0
70,Врњачка Бања,65.0
72,Шид,64.0
73,Бечеј,62.0
73,Неготин,62.0
75,Мајданпек,60.0
76,Ковачица,59.0
77,Србобран,57.0
77,Ириг,57.0
79,Жабаљ,56.0
80,Нова Варош,55.0
81,Лучани,52.0
82,Бела Црква,51.0
83,Алибунар,50.0
83,Крупањ,50.0
83,Бојник,50.0
86,Нова Црња,49.0
86,Ковин,49.0
88,Топола,48.0
89,Бољевац,47.0
89,Блаце,47.0
89,Петровац на Млави,47.0
89,Свилајнац,47.0
93,Владичин Хан,46.0
93,Мерошина,46.0
95,Богатић,45.0
96,Ћићевац,44.0
97,Нови Кнежевац,42.0
98,Мали Зворник,41.0
99,Оџаци,40.0
99,Брус,40.0
101,Сечањ,39.0
101,Сремски Карловци,39.0
101,Бач,39.0
104,Ариље,38.0
105,Тител,37.0
106,Мали Иђош,36.0
106,Ивањица,36.0
106,Пећинци,36.0
109,Житиште,35.0
110,Деспотовац,34.0
111,Коцељева,33.0
111,Чока,33.0
113,Лајковац,32.0
113,Бела Паланка,32.0
115,Осечина,31.0
116,Димитровград,30.0
116,Ада,30.0
116,Лапово,30.0
119,Беочин,28.0
119,Рача,28.0
119,Житорађа,28.0
122,Сврљиг,27.0
122,Баточина,27.0
124,Жабари,26.0
125,Рековац,25.0
125,Босилеград,25.0
127,Бачки Петровац,24.0
128,Сокобања,23.0
129,Кнић,22.0
130,Владимирци,21.0
131,Ражањ,20.0
131,Мало Црниће,20.0
133,Жагубица,19.0
133,Гаџин Хан,19.0
135,Велико Градиште,18.0
136,Љубовија,17.0
136,Косјерић,17.0
138,Медвеђа,16.0
139,Кучево,15.0
139,Љиг,15.0
141,Опово,12.0
141,Голубац,12.0
143,Пландиште,11.0
144,Трговиште,4.0
145,Црна Трава,2.0
