COVID19 самоизолације,2020-04-08,
COVID-19 статистике изолације,Број самоизолованих,
Ранк,Територија,Вредност
1,Град Београд,16654.0
2,Лозница,3726.0
3,Нови Сад ,3725.0
4,Град Ниш,2202.0
5,Лесковац ,1783.0
6,Прешево,1743.0
7,Нови Пазар,1604.0
8,Прибој,1592.0
9,Суботица,1460.0
10,Шабац,1316.0
11,Крагујевац,1277.0
12,Врање,1240.0
13,Крушевац,1234.0
14,Бујановац,1147.0
15,Сремска Митровица,1133.0
16,Бачка Паланка,1014.0
17,Бајина Башта,936.0
18,Панчево,877.0
19,Ваљево,875.0
20,Пријепоље,856.0
21,Сомбор,771.0
22,Мали Зворник,765.0
23,Чачак,762.0
24,Краљево,761.0
25,Тутин,748.0
26,Смедерево,724.0
27,Зрењанин,712.0
28,Бор,695.0
29,Богатић,639.0
30,Јагодина,629.0
31,Шид,587.0
32,Ужице,570.0
33,Рума,535.0
34,Кикинда,528.0
35,Кладово,511.0
36,Пожаревац,493.0
37,Пирот,475.0
38,Стара Пазова,463.0
39,Параћин,451.0
40,Вршац,431.0
41,Ћуприја,424.0
42,Зајечар,420.0
43,Љубовија,418.0
44,Неготин,381.0
45,Велика Плана,350.0
46,Алексинац,343.0
47,Сјеница,338.0
48,Смедеревска Паланка,330.0
49,Аранђеловац,314.0
50,Кула,311.0
51,Крупањ,286.0
52,Кањижа,284.0
53,Бачка Топола,283.0
54,Инђија,277.0
55,Петровац на Млави,261.0
56,Трстеник,252.0
57,Апатин,246.0
58,Горњи Милановац,243.0
59,Прокупље,239.0
59,Врбас,239.0
61,Уб,230.0
62,Врњачка Бања,227.0
63,Бабушница,218.0
64,Лебане,206.0
65,Темерин,203.0
65,Сента,203.0
67,Александровац,196.0
68,Рашка,195.0
69,Власотинце,192.0
70,Свилајнац,189.0
71,Чајетина,187.0
72,Бечеј,182.0
73,Варварин,181.0
74,Деспотовац,172.0
75,Сурдулица,167.0
76,Ковачица,163.0
77,Димитровград,162.0
78,Жабаљ,159.0
79,Беочин,157.0
80,Ада,154.0
81,Бела Црква,152.0
82,Нова Варош,151.0
83,Мајданпек,150.0
84,Жабари,144.0
85,Оџаци,143.0
86,Велико Градиште,140.0
86,Мионица,140.0
88,Алибунар,135.0
89,Ковин,134.0
90,Пожега,132.0
91,Владичин Хан,128.0
92,Топола,125.0
93,Књажевац,123.0
94,Бач,121.0
95,Кучево,119.0
95,Нови Бечеј,119.0
97,Владимирци,113.0
98,Ириг,106.0
99,Ивањица,105.0
100,Мали Иђош,102.0
101,Пећинци,100.0
102,Бачки Петровац,97.0
103,Нова Црња,94.0
104,Ћићевац,91.0
104,Лучани,91.0
104,Ариље,91.0
107,Мало Црниће,90.0
107,Коцељева,90.0
109,Сокобања,89.0
110,Мерошина,88.0
110,Србобран,88.0
112,Чока,86.0
112,Брус,86.0
114,Осечина,85.0
114,Бољевац,85.0
116,Дољевац,81.0
116,Баточина,81.0
118,Куршумлија,80.0
119,Нови Кнежевац,79.0
119,Тител,79.0
119,Бојник,79.0
122,Житиште,76.0
122,Рековац,76.0
122,Босилеград,76.0
125,Житорађа,73.0
125,Бела Паланка,73.0
127,Лапово,71.0
128,Љиг,67.0
128,Жагубица,67.0
128,Сечањ,67.0
131,Рача,66.0
132,Лајковац,65.0
133,Медвеђа,61.0
134,Сврљиг,60.0
135,Кнић,58.0
136,Сремски Карловци,57.0
137,Пландиште,55.0
138,Голубац,53.0
139,Косјерић,49.0
139,Ражањ,49.0
141,Блаце,48.0
142,Трговиште,41.0
143,Опово,40.0
144,Гаџин Хан,31.0
145,Црна Трава,2.0
