COVID19 самоизолације,2020-03-25,
COVID-19 статистике изолације,Број самоизолованих,
Ранк,Територија,Вредност
1,Град Београд,8704.0
2,Лозница,2238.0
3,Прибој,1838.0
4,Град Ниш,1756.0
5,Нови Сад ,1727.0
6,Суботица,1390.0
7,Нови Пазар,1388.0
8,Крагујевац,1198.0
9,Шабац,996.0
10,Тутин,841.0
11,Лесковац ,792.0
12,Краљево,750.0
13,Бајина Башта,736.0
14,Чачак,712.0
15,Зрењанин,710.0
16,Крушевац,613.0
17,Богатић,610.0
17,Ваљево,610.0
19,Пријепоље,587.0
19,Панчево,587.0
21,Бујановац,583.0
22,Бачка Паланка,570.0
23,Кикинда,566.0
24,Шид,549.0
25,Сомбор,542.0
26,Врање,537.0
27,Ужице,477.0
28,Смедерево,474.0
29,Пожаревац,450.0
30,Јагодина,418.0
31,Љубовија,393.0
32,Стара Пазова,367.0
33,Сремска Митровица,347.0
34,Сјеница,336.0
35,Мали Зворник,334.0
36,Велика Плана,326.0
37,Рума,317.0
38,Пирот,311.0
39,Вршац,306.0
40,Петровац на Млави,301.0
41,Прешево,291.0
42,Зајечар,278.0
43,Алексинац,272.0
44,Параћин,271.0
45,Кула,267.0
46,Ћуприја,266.0
47,Крупањ,262.0
48,Кањижа,259.0
48,Аранђеловац,259.0
50,Бачка Топола,251.0
51,Врбас,249.0
52,Смедеревска Паланка,240.0
53,Инђија,237.0
54,Апатин,219.0
55,Жабари,217.0
56,Трстеник,210.0
57,Сента,206.0
58,Бечеј,205.0
59,Бор,203.0
60,Врњачка Бања,202.0
60,Кладово,202.0
62,Темерин,197.0
63,Димитровград,192.0
64,Неготин,188.0
64,Александровац,188.0
66,Деспотовац,183.0
67,Свилајнац,170.0
68,Горњи Милановац,168.0
68,Прокупље,168.0
70,Ада,165.0
71,Велико Градиште,163.0
72,Кучево,145.0
73,Лебане,144.0
74,Бела Црква,143.0
75,Жабаљ,141.0
75,Ковин,141.0
77,Ивањица,139.0
77,Коцељева,139.0
79,Беочин,138.0
79,Топола,138.0
81,Власотинце,135.0
81,Алибунар,135.0
83,Рашка,134.0
84,Ковачица,132.0
85,Оџаци,131.0
86,Уб,129.0
87,Пожега,126.0
88,Чајетина,120.0
89,Мало Црниће,118.0
90,Нова Варош,115.0
90,Бабушница,115.0
92,Мали Иђош,112.0
93,Владимирци,111.0
94,Сурдулица,104.0
95,Бач,99.0
95,Нови Бечеј,99.0
97,Србобран,98.0
98,Лучани,97.0
99,Владичин Хан,93.0
100,Бачки Петровац,92.0
101,Баточина,91.0
102,Нова Црња,90.0
103,Пећинци,87.0
104,Сечањ,86.0
104,Мајданпек,86.0
106,Чока,85.0
107,Нови Кнежевац,83.0
108,Ириг,80.0
108,Ариље,80.0
108,Брус,80.0
111,Житиште,79.0
112,Тител,74.0
113,Сокобања,73.0
114,Осечина,72.0
115,Мерошина,71.0
116,Дољевац,68.0
116,Књажевац,68.0
116,Ћићевац,68.0
119,Рековац,65.0
120,Жагубица,64.0
121,Кнић,63.0
122,Босилеград,60.0
122,Житорађа,60.0
122,Бољевац,60.0
122,Рача,60.0
126,Голубац,59.0
126,Мионица,59.0
128,Варварин,58.0
128,Лапово,58.0
130,Пландиште,56.0
131,Љиг,53.0
131,Медвеђа,53.0
133,Сремски Карловци,52.0
134,Лајковац,44.0
134,Ражањ,44.0
136,Косјерић,43.0
137,Бојник,42.0
138,Сврљиг,40.0
139,Трговиште,37.0
139,Бела Паланка,37.0
141,Опово,35.0
142,Куршумлија,31.0
143,Блаце,30.0
144,Гаџин Хан,25.0
145,Црна Трава,1.0
