COVID19 самоизолације,2020-03-28,
COVID-19 статистике изолације,Број самоизолованих,
Ранк,Територија,Вредност
1,Град Београд,14639.0
2,Лозница,3745.0
3,Нови Сад ,3682.0
4,Град Ниш,2164.0
5,Прибој,1824.0
6,Нови Пазар,1703.0
7,Суботица,1672.0
8,Прешево,1537.0
9,Крагујевац,1302.0
10,Шабац,1270.0
11,Лесковац ,1198.0
12,Врање,1120.0
13,Бујановац,1114.0
14,Сремска Митровица,1094.0
15,Бачка Паланка,1018.0
16,Крушевац,950.0
17,Бајина Башта,901.0
18,Чачак,886.0
19,Тутин,845.0
20,Панчево,825.0
21,Пријепоље,809.0
22,Краљево,783.0
23,Зрењанин,762.0
24,Мали Зворник,743.0
25,Сомбор,739.0
26,Ваљево,723.0
27,Богатић,659.0
28,Пожаревац,653.0
29,Кикинда,645.0
30,Смедерево,637.0
31,Шид,597.0
32,Јагодина,553.0
33,Ужице,529.0
34,Бор,514.0
35,Рума,506.0
36,Параћин,418.0
37,Стара Пазова,412.0
38,Љубовија,405.0
39,Пирот,386.0
40,Зајечар,367.0
41,Сјеница,362.0
42,Вршац,361.0
42,Кладово,361.0
44,Неготин,342.0
45,Велика Плана,329.0
46,Аранђеловац,319.0
47,Петровац на Млави,305.0
48,Алексинац,296.0
49,Ћуприја,278.0
50,Смедеревска Паланка,276.0
51,Крупањ,271.0
52,Кањижа,265.0
53,Инђија,260.0
54,Бачка Топола,257.0
55,Кула,254.0
56,Рашка,252.0
57,Врбас,247.0
58,Жабари,242.0
59,Трстеник,233.0
60,Апатин,223.0
61,Сента,220.0
62,Врњачка Бања,210.0
63,Горњи Милановац,207.0
64,Бечеј,198.0
65,Темерин,197.0
66,Прокупље,196.0
67,Александровац,193.0
68,Свилајнац,189.0
69,Деспотовац,188.0
70,Ада,177.0
71,Чајетина,170.0
72,Велико Градиште,164.0
73,Оџаци,163.0
74,Димитровград,162.0
75,Бела Црква,157.0
76,Жабаљ,156.0
76,Власотинце,156.0
78,Ковин,154.0
79,Кучево,153.0
80,Лебане,151.0
81,Беочин,149.0
82,Алибунар,145.0
83,Коцељева,144.0
83,Топола,144.0
85,Ивањица,142.0
86,Уб,141.0
87,Ковачица,139.0
88,Пожега,136.0
89,Варварин,134.0
90,Владимирци,128.0
91,Нови Бечеј,122.0
92,Мало Црниће,121.0
93,Нова Варош,118.0
94,Бач,117.0
95,Мали Иђош,115.0
96,Бабушница,111.0
97,Сурдулица,109.0
98,Владичин Хан,104.0
99,Ириг,102.0
100,Лучани,101.0
101,Баточина,99.0
102,Мајданпек,97.0
103,Нова Црња,95.0
104,Бачки Петровац,92.0
104,Србобран,92.0
106,Сечањ,91.0
106,Чока,91.0
108,Пећинци,89.0
109,Нови Кнежевац,86.0
110,Брус,84.0
111,Ариље,83.0
111,Тител,83.0
113,Житиште,82.0
113,Мерошина,82.0
115,Мионица,81.0
116,Сокобања,80.0
116,Куршумлија,80.0
118,Рековац,74.0
118,Књажевац,74.0
120,Осечина,72.0
121,Дољевац,70.0
122,Кнић,69.0
122,Бољевац,69.0
124,Рача,67.0
125,Ћићевац,65.0
125,Жагубица,65.0
127,Босилеград,64.0
128,Житорађа,63.0
128,Голубац,63.0
130,Бела Паланка,60.0
131,Лапово,59.0
132,Љиг,57.0
133,Медвеђа,56.0
134,Пландиште,55.0
134,Лајковац,55.0
136,Сремски Карловци,53.0
137,Косјерић,49.0
138,Блаце,48.0
139,Бојник,46.0
139,Сврљиг,46.0
141,Ражањ,44.0
142,Опово,38.0
143,Трговиште,37.0
144,Гаџин Хан,28.0
145,Црна Трава,1.0
