COVID19 самоизолације,2020-04-06,
COVID-19 статистике изолације,Број самоизолованих,
Ранк,Територија,Вредност
1,Град Београд,16553.0
2,Нови Сад ,3857.0
3,Лозница,3782.0
4,Град Ниш,2237.0
5,Прибој,1823.0
6,Прешево,1739.0
7,Нови Пазар,1663.0
8,Лесковац ,1544.0
9,Суботица,1472.0
10,Шабац,1314.0
11,Крагујевац,1240.0
12,Врање,1236.0
13,Крушевац,1203.0
14,Сремска Митровица,1149.0
15,Бујановац,1144.0
16,Бачка Паланка,1046.0
17,Ваљево,934.0
18,Бајина Башта,929.0
19,Панчево,865.0
20,Пријепоље,859.0
21,Краљево,850.0
22,Тутин,809.0
23,Сомбор,773.0
24,Мали Зворник,765.0
25,Чачак,746.0
26,Смедерево,734.0
27,Зрењанин,729.0
28,Богатић,672.0
29,Бор,651.0
30,Јагодина,631.0
31,Шид,593.0
32,Кикинда,574.0
33,Ужице,566.0
34,Рума,541.0
35,Кладово,503.0
36,Пожаревац,498.0
37,Пирот,493.0
38,Стара Пазова,459.0
39,Параћин,444.0
40,Ћуприја,430.0
41,Вршац,421.0
42,Љубовија,419.0
43,Зајечар,404.0
44,Неготин,382.0
45,Аранђеловац,372.0
46,Велика Плана,370.0
47,Сјеница,351.0
48,Алексинац,335.0
49,Смедеревска Паланка,313.0
50,Кула,299.0
51,Бачка Топола,282.0
52,Крупањ,279.0
53,Кањижа,278.0
54,Инђија,272.0
55,Трстеник,265.0
56,Петровац на Млави,264.0
57,Горњи Милановац,244.0
58,Врњачка Бања,241.0
59,Апатин,236.0
60,Прокупље,233.0
60,Врбас,233.0
62,Рашка,216.0
63,Бабушница,215.0
64,Темерин,212.0
65,Сента,207.0
65,Деспотовац,207.0
67,Александровац,203.0
68,Варварин,197.0
69,Бечеј,188.0
69,Свилајнац,188.0
71,Лебане,187.0
72,Чајетина,185.0
73,Власотинце,178.0
74,Уб,175.0
75,Димитровград,169.0
76,Сурдулица,165.0
77,Беочин,163.0
78,Жабаљ,159.0
79,Ада,157.0
80,Мајданпек,149.0
81,Нова Варош,147.0
82,Коцељева,146.0
82,Бела Црква,146.0
84,Оџаци,141.0
85,Велико Градиште,140.0
86,Жабари,139.0
87,Ковачица,138.0
88,Алибунар,136.0
89,Пожега,133.0
90,Ковин,131.0
91,Владичин Хан,126.0
92,Мионица,124.0
93,Топола,123.0
94,Бач,122.0
95,Кучево,119.0
96,Нови Бечеј,118.0
97,Владимирци,112.0
98,Ивањица,107.0
99,Ириг,101.0
100,Пећинци,100.0
101,Књажевац,98.0
101,Мали Иђош,98.0
103,Бољевац,95.0
104,Нова Црња,91.0
104,Бачки Петровац,91.0
106,Мало Црниће,90.0
107,Мерошина,89.0
107,Лучани,89.0
109,Ариље,88.0
110,Брус,87.0
110,Србобран,87.0
112,Сокобања,86.0
113,Ћићевац,84.0
114,Осечина,83.0
114,Куршумлија,83.0
116,Баточина,81.0
116,Чока,81.0
116,Нови Кнежевац,81.0
119,Тител,80.0
119,Дољевац,80.0
121,Житиште,78.0
122,Бојник,76.0
122,Рековац,76.0
124,Бела Паланка,75.0
125,Босилеград,71.0
126,Житорађа,69.0
127,Жагубица,68.0
128,Лапово,67.0
128,Сечањ,67.0
130,Љиг,66.0
131,Медвеђа,61.0
132,Лајковац,59.0
133,Пландиште,58.0
134,Сремски Карловци,57.0
135,Рача,56.0
135,Кнић,56.0
135,Сврљиг,56.0
138,Голубац,52.0
139,Косјерић,50.0
140,Ражањ,49.0
141,Трговиште,45.0
142,Блаце,44.0
143,Опово,41.0
144,Гаџин Хан,31.0
145,Црна Трава,2.0
