COVID19 самоизолације,2020-03-24,
COVID-19 статистике изолације,Број самоизолованих,
Ранк,Територија,Вредност
1,Град Београд,6432.0
2,Прибој,1841.0
3,Лозница,1470.0
4,Град Ниш,1451.0
5,Нови Сад ,1345.0
6,Крагујевац,1193.0
7,Суботица,1073.0
8,Нови Пазар,1033.0
9,Шабац,680.0
9,Краљево,680.0
11,Чачак,621.0
12,Лесковац ,568.0
13,Кикинда,561.0
14,Бајина Башта,524.0
15,Панчево,504.0
16,Шид,465.0
17,Сомбор,464.0
18,Крушевац,446.0
19,Тутин,438.0
20,Богатић,425.0
21,Пожаревац,420.0
22,Пријепоље,418.0
23,Ваљево,412.0
24,Бачка Паланка,397.0
25,Зрењанин,385.0
26,Ужице,359.0
27,Смедерево,348.0
28,Стара Пазова,337.0
29,Вршац,326.0
30,Врање,320.0
31,Петровац на Млави,308.0
32,Велика Плана,299.0
33,Јагодина,294.0
34,Љубовија,288.0
34,Сјеница,288.0
36,Бујановац,280.0
37,Кула,270.0
38,Пирот,264.0
39,Кањижа,263.0
40,Ћуприја,261.0
41,Параћин,260.0
42,Сремска Митровица,255.0
43,Бачка Топола,243.0
44,Крупањ,242.0
45,Аранђеловац,240.0
46,Зајечар,237.0
47,Смедеревска Паланка,227.0
48,Врбас,226.0
49,Инђија,211.0
50,Прешево,205.0
51,Сента,201.0
51,Кладово,201.0
53,Алексинац,196.0
53,Темерин,196.0
55,Жабари,189.0
56,Апатин,183.0
56,Бечеј,183.0
56,Врњачка Бања,183.0
59,Деспотовац,182.0
60,Александровац,181.0
61,Рума,176.0
62,Трстеник,175.0
63,Мали Зворник,170.0
64,Бор,156.0
64,Велико Градиште,156.0
66,Ада,153.0
67,Димитровград,150.0
68,Свилајнац,147.0
69,Кучево,142.0
70,Ковин,140.0
71,Оџаци,137.0
72,Жабаљ,136.0
73,Лебане,135.0
74,Ковачица,132.0
75,Беочин,131.0
76,Алибунар,130.0
76,Ивањица,130.0
78,Власотинце,129.0
79,Неготин,128.0
80,Коцељева,126.0
80,Пожега,126.0
82,Прокупље,119.0
83,Топола,117.0
84,Бабушница,116.0
85,Мало Црниће,115.0
85,Чајетина,115.0
87,Мали Иђош,112.0
88,Уб,110.0
89,Бела Црква,109.0
90,Рашка,108.0
91,Сурдулица,103.0
92,Владимирци,96.0
93,Србобран,95.0
94,Нови Бечеј,94.0
95,Бачки Петровац,92.0
96,Горњи Милановац,91.0
96,Бач,91.0
98,Нова Црња,90.0
99,Чока,86.0
99,Пећинци,86.0
101,Сечањ,84.0
101,Лучани,84.0
103,Баточина,81.0
104,Брус,80.0
104,Нова Варош,80.0
106,Ириг,78.0
107,Тител,76.0
107,Ариље,76.0
109,Нови Кнежевац,73.0
110,Сокобања,72.0
111,Осечина,71.0
112,Мерошина,70.0
113,Жагубица,69.0
114,Мајданпек,68.0
114,Дољевац,68.0
116,Ћићевац,65.0
116,Рековац,65.0
118,Књажевац,64.0
118,Житиште,64.0
120,Кнић,63.0
121,Владичин Хан,61.0
122,Босилеград,60.0
123,Бољевац,58.0
124,Голубац,57.0
125,Лапово,55.0
126,Мионица,54.0
126,Љиг,54.0
128,Пландиште,53.0
128,Рача,53.0
128,Варварин,53.0
131,Медвеђа,51.0
132,Сремски Карловци,45.0
133,Ражањ,44.0
134,Лајковац,42.0
135,Сврљиг,41.0
136,Бојник,40.0
137,Бела Паланка,37.0
138,Житорађа,36.0
138,Косјерић,36.0
138,Трговиште,36.0
141,Опово,35.0
142,Куршумлија,26.0
143,Гаџин Хан,25.0
144,Блаце,23.0
145,Црна Трава,1.0
