COVID19 самоизолације,2020-04-20,
COVID-19 статистике изолације,Број самоизолованих,
Ранк,Територија,Вредност
1,Град Београд,3364.0
2,Град Ниш,1147.0
3,Лесковац ,1137.0
4,Нови Сад ,777.0
5,Крушевац,735.0
6,Крагујевац,575.0
7,Ваљево,481.0
8,Шабац,437.0
9,Нови Пазар,374.0
10,Панчево,348.0
11,Ћуприја,342.0
12,Бор,294.0
13,Алексинац,288.0
14,Суботица,267.0
15,Чачак,263.0
16,Смедерево,262.0
17,Краљево,261.0
18,Лозница,255.0
19,Зрењанин,254.0
20,Јагодина,245.0
21,Сомбор,240.0
22,Параћин,236.0
23,Врање,231.0
24,Прокупље,219.0
25,Вршац,204.0
26,Смедеревска Паланка,196.0
27,Ужице,192.0
28,Рума,188.0
29,Власотинце,187.0
30,Кладово,181.0
31,Кикинда,178.0
32,Рашка,166.0
33,Блаце,154.0
34,Пирот,149.0
35,Кула,148.0
35,Бачка Паланка,148.0
37,Горњи Милановац,146.0
38,Варварин,142.0
39,Зајечар,139.0
39,Уб,139.0
41,Пријепоље,133.0
42,Дољевац,132.0
43,Пожаревац,126.0
44,Бабушница,122.0
45,Сремска Митровица,121.0
46,Аранђеловац,114.0
47,Лебане,110.0
48,Велика Плана,106.0
49,Александровац,103.0
50,Сурдулица,100.0
51,Куршумлија,97.0
52,Књажевац,94.0
53,Стара Пазова,93.0
54,Мионица,91.0
55,Бајина Башта,80.0
56,Пожега,76.0
57,Трстеник,75.0
58,Нови Бечеј,72.0
58,Бујановац,72.0
60,Прибој,67.0
61,Ковачица,64.0
62,Врбас,63.0
62,Апатин,63.0
62,Врњачка Бања,63.0
65,Чајетина,62.0
66,Србобран,61.0
67,Бојник,59.0
68,Шид,58.0
69,Мајданпек,57.0
70,Прешево,56.0
70,Сјеница,56.0
72,Инђија,54.0
72,Лајковац,54.0
74,Житорађа,53.0
75,Деспотовац,52.0
75,Ириг,52.0
77,Топола,50.0
77,Бачка Топола,50.0
79,Жабаљ,49.0
80,Бољевац,46.0
80,Бела Црква,46.0
82,Темерин,45.0
82,Ћићевац,45.0
84,Нова Варош,44.0
84,Неготин,44.0
84,Тутин,44.0
87,Мали Зворник,43.0
87,Мерошина,43.0
89,Ковин,41.0
90,Кањижа,39.0
91,Рача,38.0
92,Брус,37.0
93,Бечеј,36.0
94,Сремски Карловци,34.0
94,Сврљиг,34.0
94,Алибунар,34.0
94,Свилајнац,34.0
98,Владичин Хан,33.0
99,Пећинци,32.0
99,Ариље,32.0
99,Сента,32.0
99,Крупањ,32.0
99,Осечина,32.0
104,Сокобања,31.0
104,Оџаци,31.0
106,Петровац на Млави,30.0
106,Коцељева,30.0
108,Бач,29.0
108,Сечањ,29.0
108,Лапово,29.0
111,Баточина,28.0
112,Љиг,27.0
112,Тител,27.0
112,Лучани,27.0
115,Богатић,26.0
116,Ивањица,25.0
116,Бела Паланка,25.0
116,Нова Црња,25.0
116,Косовска Митровица,25.0
120,Беочин,24.0
120,Ражањ,24.0
122,Владимирци,22.0
123,Мали Иђош,21.0
124,Кнић,20.0
124,Житиште,20.0
126,Ада,19.0
126,Жагубица,19.0
128,Бачки Петровац,18.0
128,Чока,18.0
128,Босилеград,18.0
131,Гаџин Хан,16.0
132,Косјерић,14.0
132,Нови Кнежевац,14.0
134,Жабари,13.0
135,Опово,12.0
135,Звечан,12.0
135,Велико Градиште,12.0
135,Гњилане,12.0
135,Димитровград,12.0
140,Рековац,11.0
140,Медвеђа,11.0
140,Мало Црниће,11.0
140,Кучево,11.0
140,Зубин Поток,11.0
145,Пландиште,10.0
145,Љубовија,10.0
147,Трговиште,7.0
148,Липљан,6.0
149,Голубац,5.0
149,Косовска Каменица,5.0
149,Лепосавић,5.0
152,Приштина,4.0
153,Пећ,3.0
153,Штрпце,3.0
155,Клина,2.0
155,Косово Поље,2.0
155,Исток,2.0
158,Урошевац,1.0
158,Црна Трава,1.0
158,Витина,1.0
158,Штимље,1.0
162,Сува Река,0.0
162,Вучитрн,0.0
162,Глоговац,0.0
162,Дечани,0.0
162,Ђаковица,0.0
162,Качаник,0.0
162,Ново Брдо,0.0
162,Обилић,0.0
162,Ораховац,0.0
162,Подујево,0.0
162,Призрен,0.0
162,Србица,0.0
162,Гора,0.0
