COVID19 самоизолације,2020-04-03,
COVID-19 статистике изолације,Број самоизолованих,
Ранк,Територија,Вредност
1,Град Београд,15980.0
2,Нови Сад ,3860.0
3,Лозница,3746.0
4,Град Ниш,2341.0
5,Прибој,1820.0
6,Нови Пазар,1761.0
7,Прешево,1734.0
8,Суботица,1567.0
9,Лесковац ,1452.0
10,Крагујевац,1434.0
11,Шабац,1317.0
12,Врање,1195.0
13,Сремска Митровица,1142.0
14,Бујановац,1136.0
15,Крушевац,1125.0
16,Бачка Паланка,1052.0
17,Чачак,959.0
18,Панчево,922.0
19,Бајина Башта,913.0
20,Краљево,891.0
21,Ваљево,887.0
22,Тутин,866.0
23,Зрењанин,860.0
24,Пријепоље,836.0
25,Сомбор,790.0
26,Мали Зворник,756.0
27,Кикинда,738.0
28,Смедерево,701.0
29,Пожаревац,685.0
30,Богатић,672.0
31,Бор,613.0
32,Шид,602.0
33,Јагодина,590.0
34,Рума,568.0
35,Ужице,556.0
36,Кладово,507.0
37,Пирот,453.0
38,Параћин,442.0
39,Стара Пазова,426.0
40,Љубовија,415.0
41,Зајечар,414.0
42,Вршац,395.0
43,Сјеница,377.0
44,Неготин,369.0
45,Ћуприја,364.0
46,Велика Плана,356.0
47,Аранђеловац,347.0
48,Алексинац,318.0
49,Петровац на Млави,317.0
50,Бачка Топола,305.0
51,Смедеревска Паланка,301.0
52,Кула,289.0
53,Врбас,284.0
53,Кањижа,284.0
55,Рашка,278.0
55,Крупањ,278.0
57,Инђија,274.0
58,Горњи Милановац,253.0
59,Трстеник,248.0
60,Жабари,243.0
61,Прокупље,238.0
61,Сента,238.0
63,Врњачка Бања,237.0
64,Апатин,233.0
65,Чајетина,217.0
66,Темерин,214.0
66,Александровац,214.0
68,Бечеј,213.0
69,Деспотовац,199.0
69,Бабушница,199.0
71,Лебане,187.0
72,Ада,186.0
73,Свилајнац,180.0
74,Варварин,178.0
75,Оџаци,172.0
76,Димитровград,171.0
76,Власотинце,171.0
78,Уб,169.0
79,Велико Градиште,168.0
80,Жабаљ,165.0
81,Бела Црква,163.0
82,Ковин,162.0
83,Беочин,160.0
84,Кучево,156.0
85,Ивањица,150.0
85,Топола,150.0
87,Ковачица,147.0
88,Коцељева,146.0
89,Нови Бечеј,145.0
90,Пожега,142.0
90,Алибунар,142.0
92,Мајданпек,138.0
93,Сурдулица,137.0
94,Нова Варош,134.0
95,Владимирци,128.0
96,Мало Црниће,126.0
97,Мионица,125.0
98,Бач,122.0
98,Владичин Хан,122.0
100,Мали Иђош,119.0
101,Ириг,108.0
102,Куршумлија,107.0
103,Баточина,105.0
104,Лучани,104.0
105,Србобран,103.0
106,Бољевац,98.0
107,Нова Црња,96.0
107,Чока,96.0
109,Сечањ,95.0
110,Бачки Петровац,93.0
111,Нови Кнежевац,91.0
112,Пећинци,90.0
113,Брус,87.0
113,Ариље,87.0
115,Књажевац,86.0
115,Сокобања,86.0
115,Житиште,86.0
118,Тител,84.0
118,Мерошина,84.0
120,Рековац,79.0
120,Осечина,79.0
122,Кнић,77.0
123,Дољевац,74.0
124,Житорађа,73.0
125,Босилеград,72.0
125,Жагубица,72.0
127,Ћићевац,71.0
128,Бела Паланка,69.0
128,Рача,69.0
130,Лапово,66.0
131,Голубац,65.0
132,Љиг,64.0
133,Медвеђа,63.0
134,Бојник,60.0
134,Пландиште,60.0
136,Лајковац,58.0
137,Блаце,56.0
137,Сремски Карловци,56.0
139,Сврљиг,53.0
140,Косјерић,49.0
141,Ражањ,47.0
142,Трговиште,45.0
143,Опово,41.0
144,Гаџин Хан,30.0
145,Црна Трава,2.0
