COVID19 самоизолације,2020-04-04,
COVID-19 статистике изолације,Број самоизолованих,
Ранк,Територија,Вредност
1,Град Београд,16424.0
2,Нови Сад ,3864.0
3,Лозница,3760.0
4,Град Ниш,2407.0
5,Прибој,1820.0
6,Прешево,1734.0
7,Нови Пазар,1685.0
8,Суботица,1505.0
9,Лесковац ,1499.0
10,Шабац,1296.0
11,Врање,1221.0
12,Крагујевац,1211.0
13,Крушевац,1164.0
14,Сремска Митровица,1148.0
15,Бујановац,1139.0
16,Бачка Паланка,1054.0
17,Бајина Башта,927.0
18,Ваљево,922.0
19,Панчево,898.0
20,Тутин,871.0
21,Пријепоље,849.0
22,Краљево,847.0
23,Зрењанин,801.0
24,Сомбор,777.0
25,Чачак,770.0
26,Мали Зворник,762.0
27,Смедерево,719.0
28,Богатић,672.0
29,Кикинда,629.0
30,Јагодина,612.0
30,Бор,612.0
32,Шид,605.0
33,Ужице,565.0
34,Рума,530.0
35,Кладово,503.0
36,Пожаревац,493.0
37,Пирот,461.0
38,Параћин,455.0
39,Стара Пазова,439.0
40,Љубовија,418.0
41,Ћуприја,407.0
42,Зајечар,398.0
43,Вршац,388.0
44,Неготин,376.0
45,Аранђеловац,363.0
46,Велика Плана,360.0
47,Сјеница,350.0
48,Алексинац,327.0
49,Смедеревска Паланка,304.0
50,Кула,295.0
51,Врбас,288.0
52,Кањижа,277.0
53,Бачка Топола,274.0
53,Крупањ,274.0
55,Инђија,269.0
56,Петровац на Млави,261.0
57,Трстеник,254.0
58,Горњи Милановац,242.0
59,Апатин,237.0
60,Врњачка Бања,236.0
61,Бечеј,217.0
62,Рашка,215.0
63,Александровац,214.0
64,Прокупље,213.0
65,Темерин,211.0
66,Бабушница,210.0
67,Сента,209.0
68,Деспотовац,200.0
69,Лебане,186.0
70,Свилајнац,184.0
71,Варварин,182.0
72,Чајетина,180.0
73,Ада,177.0
74,Власотинце,175.0
75,Уб,174.0
76,Димитровград,172.0
77,Жабаљ,170.0
78,Беочин,160.0
79,Нови Бечеј,156.0
80,Ковачица,149.0
81,Бела Црква,148.0
82,Сурдулица,147.0
83,Коцељева,146.0
84,Жабари,145.0
85,Алибунар,144.0
86,Оџаци,142.0
87,Велико Градиште,140.0
88,Мајданпек,138.0
89,Нова Варош,137.0
90,Пожега,132.0
91,Ковин,129.0
92,Владичин Хан,126.0
93,Мионица,124.0
93,Бач,124.0
95,Кучево,119.0
96,Топола,117.0
97,Владимирци,109.0
98,Ивањица,104.0
99,Србобран,103.0
100,Мали Иђош,101.0
101,Ириг,100.0
102,Бољевац,96.0
102,Сечањ,96.0
104,Књажевац,94.0
104,Пећинци,94.0
104,Бачки Петровац,94.0
107,Нова Црња,92.0
108,Нови Кнежевац,91.0
109,Мерошина,90.0
109,Мало Црниће,90.0
111,Лучани,89.0
112,Брус,88.0
112,Тител,88.0
114,Ариље,87.0
115,Сокобања,86.0
116,Куршумлија,83.0
116,Житиште,83.0
118,Осечина,81.0
118,Чока,81.0
120,Баточина,80.0
120,Кнић,80.0
122,Рековац,79.0
123,Ћићевац,78.0
124,Дољевац,77.0
125,Босилеград,72.0
125,Бела Паланка,72.0
127,Житорађа,69.0
128,Жагубица,68.0
129,Лапово,65.0
130,Љиг,64.0
131,Медвеђа,61.0
131,Рача,61.0
131,Бојник,61.0
134,Лајковац,59.0
135,Пландиште,58.0
136,Сремски Карловци,57.0
137,Сврљиг,54.0
138,Голубац,52.0
139,Косјерић,50.0
140,Ражањ,49.0
141,Трговиште,45.0
142,Опово,43.0
143,Блаце,35.0
144,Гаџин Хан,31.0
145,Црна Трава,2.0
