COVID19 самоизолације,2020-04-25,
COVID-19 статистике изолације,Број самоизолованих,
Ранк,Територија,Вредност
1,Град Београд,3233.0
2,Град Ниш,1593.0
3,Лесковац ,814.0
4,Нови Сад ,731.0
5,Крушевац,694.0
6,Крагујевац,462.0
7,Шабац,434.0
8,Ваљево,424.0
9,Нови Пазар,391.0
10,Алексинац,385.0
11,Панчево,342.0
12,Ћуприја,337.0
13,Параћин,299.0
14,Лозница,287.0
15,Смедерево,284.0
16,Суботица,276.0
17,Бор,273.0
18,Прокупље,249.0
19,Сомбор,239.0
20,Краљево,227.0
21,Чачак,221.0
21,Јагодина,221.0
23,Вршац,209.0
24,Горњи Милановац,208.0
24,Зрењанин,208.0
26,Смедеревска Паланка,201.0
27,Ужице,195.0
28,Власотинце,192.0
29,Врање,175.0
29,Зајечар,175.0
31,Кикинда,171.0
32,Блаце,168.0
33,Дољевац,157.0
34,Кула,155.0
35,Рашка,153.0
36,Кладово,147.0
36,Пирот,147.0
38,Рума,145.0
39,Велика Плана,134.0
40,Бачка Паланка,115.0
41,Пожаревац,113.0
42,Варварин,111.0
42,Куршумлија,111.0
42,Сремска Митровица,111.0
45,Бајина Башта,102.0
46,Аранђеловац,101.0
47,Лебане,99.0
48,Пријепоље,98.0
49,Стара Пазова,97.0
50,Александровац,95.0
51,Сурдулица,94.0
52,Деспотовац,88.0
52,Уб,88.0
54,Мерошина,82.0
55,Бујановац,81.0
56,Апатин,79.0
56,Пожега,79.0
58,Књажевац,76.0
59,Житорађа,73.0
60,Врбас,71.0
60,Прешево,71.0
62,Трстеник,70.0
63,Лајковац,68.0
64,Шид,66.0
64,Кањижа,66.0
66,Чајетина,65.0
67,Прибој,62.0
67,Ковачица,62.0
67,Нови Бечеј,62.0
70,Темерин,61.0
70,Србобран,61.0
72,Нова Варош,60.0
72,Инђија,60.0
74,Бојник,59.0
74,Мионица,59.0
76,Сјеница,58.0
77,Жабаљ,57.0
78,Бабушница,53.0
78,Сврљиг,53.0
80,Бачка Топола,52.0
80,Бољевац,52.0
82,Врњачка Бања,51.0
83,Љиг,50.0
84,Алибунар,48.0
85,Неготин,45.0
85,Ћићевац,45.0
85,Владимирци,45.0
88,Сокобања,43.0
88,Ириг,43.0
88,Ариље,43.0
88,Ковин,43.0
92,Мали Зворник,42.0
93,Владичин Хан,41.0
94,Топола,40.0
94,Сента,40.0
94,Брус,40.0
97,Беочин,39.0
97,Мајданпек,39.0
97,Свилајнац,39.0
97,Тутин,39.0
97,Бела Црква,39.0
102,Бечеј,37.0
102,Ражањ,37.0
104,Крупањ,36.0
105,Петровац на Млави,35.0
106,Оџаци,34.0
106,Сремски Карловци,34.0
108,Рача,31.0
109,Коцељева,30.0
109,Бач,30.0
109,Пећинци,30.0
112,Жагубица,29.0
112,Сечањ,29.0
114,Богатић,27.0
115,Бела Паланка,26.0
116,Ада,25.0
116,Лапово,25.0
118,Осечина,24.0
118,Косовска Митровица,24.0
118,Бачки Петровац,24.0
121,Мали Иђош,23.0
121,Нова Црња,23.0
121,Тител,23.0
121,Кнић,23.0
125,Жабари,22.0
125,Гаџин Хан,22.0
127,Ивањица,21.0
128,Лучани,20.0
129,Житиште,19.0
130,Баточина,18.0
130,Велико Градиште,18.0
132,Опово,17.0
133,Чока,16.0
134,Љубовија,15.0
134,Нови Кнежевац,15.0
136,Рековац,14.0
136,Босилеград,14.0
138,Мало Црниће,13.0
139,Звечан,12.0
140,Пландиште,11.0
140,Зубин Поток,11.0
142,Гњилане,10.0
142,Медвеђа,10.0
144,Кучево,9.0
145,Трговиште,8.0
146,Лепосавић,7.0
146,Липљан,7.0
148,Голубац,6.0
149,Димитровград,5.0
149,Косјерић,5.0
149,Приштина,5.0
152,Косовска Каменица,4.0
152,Пећ,4.0
154,Штрпце,3.0
155,Урошевац,2.0
155,Клина,2.0
155,Косово Поље,2.0
158,Црна Трава,1.0
158,Исток,1.0
158,Подујево,1.0
158,Штимље,1.0
162,Ораховац,0.0
162,Качаник,0.0
162,Гора,0.0
162,Призрен,0.0
162,Ђаковица,0.0
162,Србица,0.0
162,Сува Река,0.0
162,Дечани,0.0
162,Глоговац,0.0
162,Витина,0.0
162,Вучитрн,0.0
162,Ново Брдо,0.0
162,Обилић,0.0
