COVID19 самоизолације,2020-04-30,
COVID-19 статистике изолације,Број самоизолованих,
Ранк,Територија,Вредност
1,Град Београд,1631.0
2,Град Ниш,1196.0
3,Крушевац,370.0
4,Лесковац ,295.0
5,Алексинац,269.0
6,Нови Сад ,253.0
7,Крагујевац,190.0
8,Смедерево,180.0
9,Панчево,169.0
10,Лозница,168.0
11,Ћуприја,165.0
12,Нови Пазар,162.0
13,Бор,156.0
14,Ваљево,154.0
15,Прокупље,149.0
16,Власотинце,147.0
17,Шабац,138.0
18,Вршац,137.0
19,Суботица,130.0
20,Смедеревска Паланка,126.0
21,Параћин,122.0
22,Зајечар,108.0
23,Јагодина,107.0
24,Сомбор,100.0
25,Ужице,89.0
26,Дољевац,88.0
27,Чачак,84.0
28,Блаце,82.0
28,Краљево,82.0
30,Велика Плана,81.0
31,Мерошина,75.0
32,Врање,71.0
33,Кикинда,66.0
33,Бајина Башта,66.0
35,Пирот,63.0
36,Ариље,62.0
36,Деспотовац,62.0
38,Бољевац,61.0
39,Житорађа,60.0
40,Сурдулица,59.0
40,Кладово,59.0
40,Зрењанин,59.0
43,Пожаревац,58.0
44,Александровац,57.0
45,Сремска Митровица,56.0
46,Куршумлија,53.0
47,Врбас,51.0
47,Сокобања,51.0
49,Рашка,50.0
50,Рума,49.0
50,Стара Пазова,49.0
50,Кула,49.0
53,Љиг,45.0
53,Пожега,45.0
53,Свилајнац,45.0
56,Владимирци,44.0
57,Прешево,41.0
58,Лебане,40.0
58,Бујановац,40.0
60,Бабушница,37.0
60,Алибунар,37.0
60,Жабаљ,37.0
63,Уб,36.0
63,Сврљиг,36.0
65,Аранђеловац,35.0
66,Бачка Паланка,34.0
67,Пријепоље,33.0
67,Књажевац,33.0
69,Владичин Хан,32.0
70,Апатин,31.0
70,Нови Кнежевац,31.0
70,Прибој,31.0
70,Темерин,31.0
74,Кањижа,30.0
75,Лајковац,29.0
75,Нова Варош,29.0
75,Горњи Милановац,29.0
78,Инђија,28.0
78,Ковачица,28.0
80,Ражањ,27.0
80,Трстеник,27.0
80,Тутин,27.0
80,Велико Градиште,27.0
80,Бачка Топола,27.0
80,Ковин,27.0
86,Сјеница,26.0
86,Неготин,26.0
86,Шид,26.0
89,Беочин,25.0
89,Мајданпек,25.0
89,Бела Црква,25.0
89,Бечеј,25.0
89,Тител,25.0
94,Мали Зворник,24.0
94,Врњачка Бања,24.0
94,Нови Бечеј,24.0
97,Варварин,23.0
98,Ћићевац,22.0
99,Бач,21.0
99,Косјерић,21.0
101,Бојник,20.0
102,Мионица,18.0
102,Ада,18.0
104,Србобран,17.0
105,Мали Иђош,16.0
105,Богатић,16.0
107,Петровац на Млави,15.0
107,Лучани,15.0
107,Жабари,15.0
107,Сента,15.0
111,Бела Паланка,14.0
111,Пландиште,14.0
111,Гаџин Хан,14.0
111,Ириг,14.0
115,Оџаци,13.0
115,Опово,13.0
117,Косовска Митровица,11.0
117,Рековац,11.0
119,Лепосавић,10.0
120,Осечина,9.0
120,Бачки Петровац,9.0
120,Пећинци,9.0
123,Босилеград,8.0
123,Чајетина,8.0
123,Звечан,8.0
123,Ивањица,8.0
123,Зубин Поток,8.0
123,Крупањ,8.0
123,Брус,8.0
123,Баточина,8.0
131,Коцељева,7.0
131,Топола,7.0
131,Липљан,7.0
131,Рача,7.0
131,Кнић,7.0
136,Љубовија,6.0
136,Житиште,6.0
138,Сечањ,5.0
138,Жагубица,5.0
138,Сремски Карловци,5.0
138,Гњилане,5.0
142,Чока,4.0
142,Кучево,4.0
142,Пећ,4.0
142,Мало Црниће,4.0
142,Медвеђа,4.0
142,Димитровград,4.0
148,Приштина,3.0
148,Трговиште,3.0
148,Нова Црња,3.0
148,Лапово,3.0
152,Голубац,2.0
152,Косово Поље,2.0
152,Урошевац,2.0
155,Подујево,1.0
155,Клина,1.0
155,Косовска Каменица,1.0
155,Штимље,1.0
155,Штрпце,1.0
160,Црна Трава,0.0
160,Витина,0.0
160,Вучитрн,0.0
160,Глоговац,0.0
160,Дечани,0.0
160,Ђаковица,0.0
160,Исток,0.0
160,Качаник,0.0
160,Гора,0.0
160,Ново Брдо,0.0
160,Обилић,0.0
160,Ораховац,0.0
160,Призрен,0.0
160,Србица,0.0
160,Сува Река,0.0
