COVID19 самоизолације,2020-05-02,
COVID-19 статистике изолације,Број самоизолованих,
Ранк,Територија,Вредност
1,Град Београд,1361.0
2,Град Ниш,1106.0
3,Крушевац,351.0
4,Лесковац ,294.0
5,Алексинац,267.0
6,Нови Сад ,223.0
7,Бор,168.0
8,Смедерево,156.0
9,Ћуприја,154.0
10,Крагујевац,150.0
11,Панчево,148.0
12,Лозница,138.0
13,Власотинце,135.0
14,Прокупље,134.0
15,Нови Пазар,132.0
16,Вршац,131.0
16,Суботица,131.0
18,Шабац,121.0
19,Смедеревска Паланка,116.0
20,Ваљево,113.0
21,Зајечар,112.0
22,Параћин,106.0
23,Јагодина,99.0
24,Ужице,92.0
24,Сомбор,92.0
26,Дољевац,86.0
27,Мерошина,79.0
28,Краљево,77.0
29,Пирот,76.0
30,Чачак,74.0
31,Неготин,67.0
32,Ариље,66.0
33,Велика Плана,65.0
34,Кикинда,63.0
35,Житорађа,62.0
36,Пожаревац,61.0
36,Врање,61.0
38,Зрењанин,60.0
39,Александровац,59.0
39,Пожега,59.0
41,Деспотовац,58.0
42,Сурдулица,56.0
42,Бајина Башта,56.0
44,Сокобања,55.0
44,Врбас,55.0
44,Блаце,55.0
47,Куршумлија,54.0
48,Кладово,53.0
49,Владимирци,52.0
50,Бољевац,51.0
51,Сремска Митровица,49.0
52,Кула,46.0
53,Рашка,43.0
54,Апатин,42.0
54,Стара Пазова,42.0
56,Лебане,39.0
57,Бабушница,38.0
57,Бујановац,38.0
59,Прешево,37.0
59,Чајетина,37.0
61,Владичин Хан,36.0
61,Алибунар,36.0
63,Бачка Паланка,35.0
63,Нови Кнежевац,35.0
63,Љиг,35.0
63,Лајковац,35.0
67,Рума,34.0
68,Темерин,33.0
68,Сврљиг,33.0
68,Свилајнац,33.0
71,Тутин,32.0
71,Књажевац,32.0
73,Сјеница,29.0
73,Тител,29.0
75,Ражањ,28.0
75,Жабаљ,28.0
75,Бела Црква,28.0
75,Ковин,28.0
79,Ковачица,26.0
79,Велико Градиште,26.0
79,Бачка Топола,26.0
82,Бојник,25.0
82,Нова Варош,25.0
82,Аранђеловац,25.0
82,Горњи Милановац,25.0
86,Беочин,23.0
86,Мали Зворник,23.0
86,Трстеник,23.0
86,Уб,23.0
86,Нови Бечеј,23.0
91,Варварин,22.0
91,Ириг,22.0
91,Бечеј,22.0
91,Пријепоље,22.0
91,Прибој,22.0
91,Шид,22.0
97,Косјерић,21.0
97,Бач,21.0
99,Врњачка Бања,20.0
99,Ћићевац,20.0
99,Ада,20.0
102,Инђија,19.0
102,Мајданпек,19.0
104,Кањижа,18.0
105,Мионица,16.0
105,Богатић,16.0
107,Петровац на Млави,15.0
108,Мали Иђош,14.0
108,Жабари,14.0
108,Пландиште,14.0
111,Гаџин Хан,13.0
111,Сента,13.0
111,Опово,13.0
114,Србобран,12.0
115,Бачки Петровац,11.0
115,Лучани,11.0
117,Оџаци,10.0
118,Бела Паланка,9.0
118,Пећинци,9.0
120,Ивањица,8.0
120,Рековац,8.0
120,Лепосавић,8.0
123,Нова Црња,7.0
123,Осечина,7.0
123,Љубовија,7.0
123,Крупањ,7.0
123,Липљан,7.0
128,Гњилане,6.0
128,Кнић,6.0
128,Коцељева,6.0
128,Баточина,6.0
128,Зубин Поток,6.0
133,Рача,5.0
133,Сечањ,5.0
133,Кучево,5.0
133,Жагубица,5.0
137,Косовска Митровица,4.0
137,Топола,4.0
137,Житиште,4.0
137,Мало Црниће,4.0
137,Медвеђа,4.0
137,Брус,4.0
137,Звечан,4.0
144,Сремски Карловци,3.0
144,Приштина,3.0
144,Трговиште,3.0
144,Пећ,3.0
144,Босилеград,3.0
149,Лапово,2.0
149,Голубац,2.0
149,Косово Поље,2.0
149,Чока,2.0
149,Урошевац,2.0
154,Димитровград,1.0
154,Клина,1.0
154,Косовска Каменица,1.0
154,Подујево,1.0
158,Гора,0.0
158,Исток,0.0
158,Ново Брдо,0.0
158,Обилић,0.0
158,Ораховац,0.0
158,Ђаковица,0.0
158,Црна Трава,0.0
158,Призрен,0.0
158,Дечани,0.0
158,Србица,0.0
158,Сува Река,0.0
158,Глоговац,0.0
158,Вучитрн,0.0
158,Штимље,0.0
158,Витина,0.0
158,Качаник,0.0
158,Штрпце,0.0
