COVID19 самоизолације,2020-04-10,
COVID-19 статистике изолације,Број самоизолованих,
Ранк,Територија,Вредност
1,Град Београд,16613.0
2,Нови Сад ,3796.0
3,Лозница,3735.0
4,Град Ниш,2407.0
5,Лесковац ,1829.0
6,Прешево,1717.0
7,Нови Пазар,1664.0
8,Прибој,1501.0
9,Суботица,1481.0
10,Шабац,1358.0
11,Крагујевац,1289.0
12,Крушевац,1288.0
13,Врање,1284.0
14,Бујановац,1156.0
15,Сремска Митровица,1133.0
16,Бачка Паланка,1030.0
17,Бајина Башта,942.0
18,Панчево,910.0
19,Пријепоље,867.0
20,Ваљево,847.0
21,Сомбор,780.0
22,Чачак,774.0
23,Мали Зворник,765.0
24,Тутин,751.0
25,Зрењанин,747.0
26,Краљево,746.0
27,Смедерево,699.0
28,Бор,671.0
29,Богатић,639.0
30,Јагодина,623.0
31,Ужице,605.0
32,Шид,589.0
33,Кладово,532.0
34,Рума,518.0
35,Параћин,503.0
36,Кикинда,494.0
37,Ћуприја,478.0
38,Пожаревац,475.0
39,Стара Пазова,467.0
40,Пирот,447.0
41,Вршац,441.0
42,Љубовија,418.0
43,Зајечар,414.0
44,Неготин,369.0
45,Кула,345.0
46,Смедеревска Паланка,341.0
47,Велика Плана,340.0
48,Алексинац,339.0
48,Сјеница,339.0
50,Аранђеловац,297.0
51,Крупањ,293.0
52,Бачка Топола,291.0
53,Кањижа,284.0
54,Инђија,276.0
55,Прокупље,270.0
56,Петровац на Млави,260.0
57,Трстеник,257.0
58,Апатин,246.0
59,Уб,245.0
60,Горњи Милановац,243.0
61,Врбас,241.0
62,Врњачка Бања,220.0
63,Лебане,216.0
64,Темерин,208.0
65,Александровац,205.0
66,Сента,202.0
67,Варварин,201.0
68,Чајетина,190.0
68,Сурдулица,190.0
70,Власотинце,187.0
71,Бечеј,181.0
72,Свилајнац,172.0
72,Деспотовац,172.0
74,Ковачица,170.0
75,Рашка,164.0
76,Димитровград,162.0
77,Беочин,161.0
77,Бабушница,161.0
77,Бела Црква,161.0
80,Мајданпек,158.0
81,Жабаљ,157.0
82,Ада,155.0
83,Оџаци,146.0
84,Мионица,145.0
85,Жабари,143.0
86,Ковин,141.0
87,Велико Градиште,140.0
88,Алибунар,139.0
89,Топола,138.0
90,Нова Варош,135.0
91,Владичин Хан,134.0
92,Пожега,133.0
93,Књажевац,131.0
94,Нови Бечеј,128.0
95,Бач,121.0
96,Кучево,118.0
97,Владимирци,116.0
98,Ириг,108.0
99,Ивањица,106.0
100,Мали Иђош,104.0
101,Србобран,102.0
102,Бачки Петровац,99.0
102,Пећинци,99.0
104,Сремски Карловци,97.0
105,Нова Црња,94.0
105,Дољевац,94.0
105,Бољевац,94.0
108,Ариље,93.0
108,Коцељева,93.0
110,Ћићевац,92.0
110,Брус,92.0
112,Сокобања,90.0
113,Мало Црниће,89.0
114,Чока,88.0
114,Лучани,88.0
116,Осечина,86.0
117,Мерошина,83.0
117,Баточина,83.0
119,Куршумлија,81.0
119,Тител,81.0
121,Лајковац,79.0
122,Бојник,78.0
122,Нови Кнежевац,78.0
122,Босилеград,78.0
125,Житиште,76.0
125,Рековац,76.0
127,Житорађа,75.0
128,Лапово,73.0
129,Сечањ,68.0
130,Жагубица,67.0
131,Рача,66.0
132,Бела Паланка,64.0
133,Љиг,63.0
134,Сврљиг,60.0
135,Медвеђа,58.0
136,Блаце,54.0
136,Пландиште,54.0
138,Голубац,53.0
138,Кнић,53.0
140,Ражањ,49.0
140,Косјерић,49.0
142,Трговиште,41.0
143,Опово,40.0
144,Гаџин Хан,29.0
145,Црна Трава,2.0
