COVID19 самоизолације,2020-04-02,
COVID-19 статистике изолације,Број самоизолованих,
Ранк,Територија,Вредност
1,Град Београд,15656.0
2,Нови Сад ,3827.0
3,Лозница,3742.0
4,Град Ниш,2311.0
5,Прибој,1818.0
6,Нови Пазар,1745.0
7,Прешево,1734.0
8,Суботица,1576.0
9,Лесковац ,1429.0
10,Крагујевац,1396.0
11,Шабац,1317.0
12,Врање,1178.0
13,Сремска Митровица,1140.0
14,Бујановац,1135.0
15,Крушевац,1127.0
16,Бачка Паланка,1050.0
17,Чачак,953.0
18,Бајина Башта,911.0
19,Панчево,908.0
20,Ваљево,873.0
21,Краљево,870.0
22,Тутин,865.0
23,Зрењанин,851.0
24,Пријепоље,829.0
25,Сомбор,784.0
26,Мали Зворник,754.0
27,Кикинда,731.0
28,Смедерево,688.0
29,Пожаревац,682.0
30,Богатић,672.0
31,Бор,610.0
32,Шид,600.0
33,Јагодина,579.0
34,Рума,560.0
35,Ужице,555.0
36,Кладово,507.0
37,Параћин,442.0
38,Пирот,433.0
39,Стара Пазова,425.0
40,Љубовија,411.0
41,Зајечар,401.0
42,Вршац,395.0
43,Сјеница,377.0
44,Неготин,367.0
45,Велика Плана,355.0
46,Ћуприја,353.0
47,Аранђеловац,342.0
48,Петровац на Млави,316.0
49,Алексинац,311.0
50,Бачка Топола,304.0
51,Смедеревска Паланка,299.0
52,Кула,287.0
53,Кањижа,283.0
54,Крупањ,277.0
55,Врбас,276.0
56,Рашка,274.0
56,Инђија,274.0
58,Горњи Милановац,252.0
59,Чајетина,245.0
60,Трстеник,244.0
61,Жабари,243.0
62,Сента,237.0
63,Апатин,233.0
63,Врњачка Бања,233.0
63,Прокупље,233.0
66,Темерин,214.0
67,Бечеј,210.0
68,Деспотовац,198.0
68,Александровац,198.0
70,Бабушница,194.0
71,Свилајнац,193.0
72,Лебане,186.0
72,Ада,186.0
74,Димитровград,171.0
75,Власотинце,169.0
76,Варварин,168.0
76,Велико Градиште,168.0
76,Оџаци,168.0
79,Жабаљ,164.0
80,Бела Црква,160.0
81,Беочин,159.0
81,Ковин,159.0
83,Уб,158.0
84,Кучево,155.0
85,Топола,148.0
86,Ковачица,147.0
87,Ивањица,145.0
87,Коцељева,145.0
89,Алибунар,143.0
90,Пожега,139.0
91,Мајданпек,137.0
92,Сурдулица,136.0
92,Нови Бечеј,136.0
94,Владимирци,128.0
95,Нова Варош,126.0
95,Мало Црниће,126.0
97,Мионица,125.0
98,Бач,121.0
99,Мали Иђош,119.0
99,Владичин Хан,119.0
101,Баточина,105.0
102,Куршумлија,104.0
102,Лучани,104.0
104,Ириг,102.0
104,Србобран,102.0
106,Бољевац,96.0
106,Нова Црња,96.0
108,Чока,95.0
109,Сечањ,93.0
109,Бачки Петровац,93.0
111,Нови Кнежевац,91.0
112,Пећинци,90.0
113,Брус,86.0
113,Сокобања,86.0
115,Књажевац,85.0
115,Ариље,85.0
117,Тител,84.0
117,Мерошина,84.0
119,Житиште,83.0
120,Осечина,79.0
121,Рековац,78.0
122,Кнић,77.0
123,Дољевац,74.0
124,Житорађа,72.0
125,Жагубица,71.0
126,Рача,69.0
126,Ћићевац,69.0
128,Бела Паланка,68.0
129,Босилеград,67.0
130,Голубац,65.0
131,Лапово,62.0
131,Љиг,62.0
131,Медвеђа,62.0
134,Пландиште,60.0
135,Бојник,59.0
136,Лајковац,57.0
137,Сремски Карловци,56.0
138,Блаце,52.0
139,Сврљиг,51.0
140,Косјерић,49.0
141,Трговиште,45.0
142,Ражањ,44.0
143,Опово,39.0
144,Гаџин Хан,29.0
145,Црна Трава,2.0
