COVID19 самоизолације,2020-04-09,
COVID-19 статистике изолације,Број самоизолованих,
Ранк,Територија,Вредност
1,Град Београд,16717.0
2,Нови Сад ,3788.0
3,Лозница,3731.0
4,Град Ниш,2298.0
5,Лесковац ,1892.0
6,Прешево,1732.0
7,Нови Пазар,1653.0
8,Прибој,1538.0
9,Суботица,1477.0
10,Шабац,1347.0
11,Крагујевац,1285.0
12,Врање,1280.0
13,Крушевац,1237.0
14,Бујановац,1156.0
15,Сремска Митровица,1133.0
16,Бачка Паланка,1025.0
17,Бајина Башта,940.0
18,Панчево,885.0
19,Пријепоље,870.0
20,Ваљево,853.0
21,Сомбор,779.0
22,Чачак,766.0
23,Мали Зворник,765.0
24,Тутин,752.0
25,Краљево,750.0
26,Смедерево,737.0
27,Зрењанин,725.0
28,Бор,699.0
29,Богатић,639.0
30,Јагодина,636.0
31,Ужице,601.0
32,Шид,587.0
33,Рума,528.0
34,Кладово,516.0
35,Кикинда,500.0
36,Пожаревац,495.0
37,Ћуприја,492.0
38,Параћин,487.0
39,Пирот,479.0
40,Стара Пазова,466.0
41,Вршац,443.0
42,Зајечар,427.0
43,Љубовија,418.0
44,Неготин,371.0
45,Велика Плана,358.0
46,Смедеревска Паланка,341.0
47,Кула,340.0
48,Сјеница,339.0
49,Алексинац,333.0
50,Аранђеловац,310.0
51,Бачка Топола,287.0
52,Крупањ,286.0
53,Кањижа,285.0
54,Инђија,277.0
55,Петровац на Млави,260.0
56,Трстеник,254.0
57,Апатин,250.0
58,Бабушница,247.0
58,Уб,247.0
60,Прокупље,245.0
61,Горњи Милановац,243.0
62,Врбас,241.0
63,Врњачка Бања,222.0
64,Лебане,215.0
65,Темерин,205.0
66,Александровац,204.0
67,Сента,201.0
68,Власотинце,197.0
69,Сурдулица,189.0
70,Чајетина,187.0
70,Рашка,187.0
72,Варварин,180.0
72,Бечеј,180.0
74,Свилајнац,172.0
74,Деспотовац,172.0
76,Ковачица,163.0
77,Димитровград,162.0
78,Беочин,161.0
78,Жабаљ,161.0
80,Ада,155.0
81,Бела Црква,154.0
82,Мајданпек,151.0
83,Нова Варош,149.0
84,Оџаци,146.0
85,Жабари,143.0
85,Мионица,143.0
87,Велико Градиште,140.0
88,Ковин,136.0
89,Алибунар,134.0
90,Владичин Хан,132.0
90,Пожега,132.0
92,Књажевац,131.0
93,Топола,127.0
94,Бач,121.0
95,Кучево,118.0
96,Нови Бечеј,116.0
97,Владимирци,114.0
98,Ириг,107.0
99,Ивањица,106.0
100,Мали Иђош,103.0
101,Пећинци,100.0
102,Бачки Петровац,97.0
103,Сремски Карловци,96.0
104,Бољевац,94.0
104,Нова Црња,94.0
106,Ариље,91.0
106,Србобран,91.0
106,Ћићевац,91.0
109,Коцељева,90.0
109,Мало Црниће,90.0
109,Сокобања,90.0
112,Лучани,89.0
113,Брус,87.0
113,Дољевац,87.0
115,Чока,86.0
115,Осечина,86.0
117,Баточина,81.0
117,Куршумлија,81.0
119,Тител,80.0
120,Бојник,78.0
120,Нови Кнежевац,78.0
122,Босилеград,77.0
123,Лајковац,76.0
123,Рековац,76.0
123,Мерошина,76.0
126,Житиште,75.0
126,Житорађа,75.0
128,Бела Паланка,73.0
129,Лапово,71.0
130,Жагубица,67.0
130,Сечањ,67.0
132,Рача,66.0
132,Љиг,66.0
134,Сврљиг,60.0
135,Медвеђа,59.0
136,Пландиште,55.0
137,Голубац,53.0
137,Кнић,53.0
139,Косјерић,49.0
139,Блаце,49.0
139,Ражањ,49.0
142,Трговиште,41.0
143,Опово,40.0
144,Гаџин Хан,29.0
145,Црна Трава,2.0
