COVID19 самоизолације,2020-04-28,
COVID-19 статистике изолације,Број самоизолованих,
Ранк,Територија,Вредност
1,Град Београд,1801.0
2,Град Ниш,1221.0
3,Крушевац,376.0
4,Лесковац ,313.0
5,Нови Сад ,286.0
6,Алексинац,270.0
7,Крагујевац,214.0
8,Нови Пазар,189.0
9,Ваљево,185.0
10,Ћуприја,184.0
11,Шабац,176.0
11,Параћин,176.0
13,Смедерево,174.0
13,Панчево,174.0
15,Лозница,164.0
16,Смедеревска Паланка,154.0
17,Блаце,149.0
18,Прокупље,148.0
19,Власотинце,126.0
20,Бор,123.0
21,Суботица,120.0
22,Вршац,111.0
23,Јагодина,105.0
24,Велика Плана,97.0
25,Зајечар,95.0
26,Дољевац,93.0
27,Краљево,87.0
28,Чачак,81.0
29,Ужице,80.0
29,Сомбор,80.0
29,Пирот,80.0
32,Мерошина,72.0
33,Зрењанин,67.0
34,Пожаревац,66.0
35,Бајина Башта,63.0
36,Деспотовац,62.0
37,Кула,61.0
38,Житорађа,60.0
39,Сремска Митровица,59.0
40,Врање,57.0
40,Куршумлија,57.0
42,Сурдулица,56.0
43,Александровац,55.0
43,Кладово,55.0
43,Рашка,55.0
46,Горњи Милановац,54.0
46,Ариље,54.0
48,Стара Пазова,52.0
49,Љиг,50.0
50,Сокобања,49.0
51,Бабушница,47.0
52,Рума,46.0
53,Кикинда,45.0
54,Лебане,41.0
54,Врњачка Бања,41.0
56,Бујановац,40.0
56,Аранђеловац,40.0
58,Бољевац,39.0
58,Кањижа,39.0
60,Пожега,38.0
60,Уб,38.0
60,Владимирци,38.0
63,Бачка Паланка,37.0
63,Ражањ,37.0
63,Алибунар,37.0
66,Сврљиг,36.0
66,Прешево,36.0
66,Пријепоље,36.0
69,Лајковац,35.0
69,Бојник,35.0
69,Прибој,35.0
69,Нова Варош,35.0
69,Књажевац,35.0
69,Владичин Хан,35.0
69,Варварин,35.0
69,Врбас,35.0
77,Темерин,32.0
78,Свилајнац,31.0
79,Жабаљ,30.0
80,Мајданпек,29.0
80,Ковачица,29.0
82,Инђија,27.0
82,Апатин,27.0
82,Мали Зворник,27.0
85,Беочин,26.0
85,Неготин,26.0
85,Сјеница,26.0
85,Трстеник,26.0
85,Шид,26.0
90,Србобран,25.0
91,Бачка Топола,24.0
91,Нови Бечеј,24.0
91,Бела Црква,24.0
94,Мионица,23.0
95,Тител,22.0
95,Бечеј,22.0
95,Ада,22.0
98,Тутин,21.0
98,Ћићевац,21.0
100,Бела Паланка,20.0
101,Кнић,19.0
102,Богатић,17.0
102,Лучани,17.0
102,Велико Градиште,17.0
105,Гаџин Хан,16.0
105,Ковин,16.0
105,Жабари,16.0
108,Топола,15.0
108,Петровац на Млави,15.0
110,Сента,14.0
110,Бач,14.0
112,Опово,13.0
113,Косовска Митровица,12.0
113,Ириг,12.0
115,Оџаци,11.0
115,Брус,11.0
115,Пландиште,11.0
115,Пећинци,11.0
115,Мали Иђош,11.0
120,Рача,10.0
120,Чајетина,10.0
120,Лепосавић,10.0
123,Рековац,9.0
123,Коцељева,9.0
123,Нови Кнежевац,9.0
126,Звечан,8.0
126,Бачки Петровац,8.0
126,Зубин Поток,8.0
126,Осечина,8.0
126,Косјерић,8.0
126,Босилеград,8.0
132,Липљан,7.0
132,Баточина,7.0
132,Житиште,7.0
132,Жагубица,7.0
136,Љубовија,6.0
136,Мало Црниће,6.0
136,Крупањ,6.0
139,Лапово,5.0
139,Чока,5.0
139,Ивањица,5.0
142,Гњилане,4.0
142,Димитровград,4.0
142,Сечањ,4.0
142,Приштина,4.0
142,Пећ,4.0
147,Нова Црња,3.0
147,Кучево,3.0
147,Сремски Карловци,3.0
150,Косово Поље,2.0
150,Голубац,2.0
150,Трговиште,2.0
150,Медвеђа,2.0
150,Урошевац,2.0
155,Косовска Каменица,1.0
155,Подујево,1.0
155,Штимље,1.0
155,Штрпце,1.0
155,Црна Трава,1.0
155,Клина,1.0
161,Глоговац,0.0
161,Призрен,0.0
161,Вучитрн,0.0
161,Србица,0.0
161,Сува Река,0.0
161,Витина,0.0
161,Гора,0.0
161,Исток,0.0
161,Качаник,0.0
161,Ђаковица,0.0
161,Дечани,0.0
161,Ново Брдо,0.0
161,Обилић,0.0
161,Ораховац,0.0
