COVID19 самоизолације,2020-04-21
COVID-19 статистике изолације,Број самоизолованих,
Ранк,Територија,Вредност
1,Град Београд,3415.0
2,Град Ниш,1436.0
3,Лесковац ,1141.0
4,Нови Сад ,773.0
5,Крушевац,727.0
6,Крагујевац,605.0
7,Ваљево,462.0
8,Шабац,440.0
9,Нови Пазар,386.0
10,Ћуприја,358.0
11,Панчево,352.0
12,Алексинац,325.0
13,Бор,290.0
14,Смедерево,286.0
15,Суботица,275.0
16,Лозница,266.0
17,Параћин,265.0
18,Краљево,261.0
19,Чачак,251.0
20,Сомбор,242.0
21,Јагодина,241.0
22,Зрењанин,240.0
23,Прокупље,225.0
24,Врање,211.0
25,Вршац,203.0
26,Смедеревска Паланка,201.0
27,Ужице,190.0
28,Власотинце,187.0
29,Кикинда,177.0
30,Кладово,173.0
30,Рашка,173.0
32,Рума,172.0
33,Блаце,157.0
34,Бачка Паланка,150.0
35,Кула,149.0
36,Горњи Милановац,148.0
37,Пирот,147.0
38,Дољевац,139.0
39,Уб,137.0
40,Варварин,135.0
41,Пожаревац,134.0
42,Зајечар,130.0
43,Пријепоље,125.0
44,Бабушница,122.0
45,Сремска Митровица,117.0
46,Лебане,111.0
47,Велика Плана,107.0
48,Сурдулица,105.0
49,Александровац,104.0
50,Аранђеловац,102.0
51,Куршумлија,97.0
52,Стара Пазова,93.0
53,Бајина Башта,87.0
54,Мионица,80.0
55,Трстеник,76.0
56,Књажевац,75.0
57,Нови Бечеј,74.0
58,Пожега,70.0
58,Бујановац,70.0
60,Прибој,69.0
61,Апатин,67.0
61,Ковачица,67.0
63,Чајетина,63.0
63,Врбас,63.0
65,Врњачка Бања,62.0
66,Прешево,61.0
67,Мерошина,60.0
67,Србобран,60.0
69,Бојник,59.0
69,Шид,59.0
71,Житорађа,58.0
72,Лајковац,54.0
72,Инђија,54.0
72,Сјеница,54.0
72,Нова Варош,54.0
76,Ириг,51.0
76,Деспотовац,51.0
76,Сврљиг,51.0
79,Бачка Топола,50.0
79,Топола,50.0
81,Мајданпек,49.0
82,Жабаљ,48.0
83,Темерин,47.0
84,Тутин,46.0
85,Бољевац,45.0
85,Бела Црква,45.0
85,Неготин,45.0
85,Ћићевац,45.0
89,Мали Зворник,44.0
90,Бечеј,42.0
90,Ковин,42.0
90,Рача,42.0
93,Кањижа,41.0
94,Алибунар,39.0
95,Брус,37.0
95,Свилајнац,37.0
97,Владичин Хан,36.0
97,Петровац на Млави,36.0
99,Крупањ,35.0
100,Бач,34.0
101,Сремски Карловци,33.0
101,Осечина,33.0
103,Оџаци,32.0
103,Сокобања,32.0
103,Сента,32.0
103,Пећинци,32.0
107,Ариље,31.0
107,Љиг,31.0
109,Жагубица,30.0
109,Ражањ,30.0
109,Коцељева,30.0
112,Лапово,29.0
112,Сечањ,29.0
114,Тител,27.0
114,Богатић,27.0
116,Нова Црња,25.0
116,Косовска Митровица,25.0
118,Беочин,24.0
118,Ивањица,24.0
120,Бела Паланка,23.0
121,Гаџин Хан,22.0
121,Владимирци,22.0
123,Баточина,21.0
123,Мали Иђош,21.0
123,Бачки Петровац,21.0
123,Кнић,21.0
123,Житиште,21.0
128,Ада,20.0
128,Лучани,20.0
130,Чока,18.0
130,Босилеград,18.0
132,Опово,17.0
133,Жабари,15.0
133,Нови Кнежевац,15.0
135,Љубовија,14.0
135,Косјерић,14.0
137,Мало Црниће,13.0
138,Зубин Поток,12.0
138,Гњилане,12.0
138,Димитровград,12.0
138,Велико Градиште,12.0
138,Медвеђа,12.0
138,Рековац,12.0
144,Звечан,11.0
144,Кучево,11.0
146,Пландиште,10.0
147,Лепосавић,7.0
147,Трговиште,7.0
149,Липљан,6.0
150,Приштина,5.0
150,Косовска Каменица,5.0
150,Голубац,5.0
153,Пећ,4.0
154,Штрпце,3.0
155,Исток,2.0
155,Клина,2.0
155,Косово Поље,2.0
158,Штимље,1.0
158,Витина,1.0
158,Урошевац,1.0
158,Црна Трава,1.0
162,Ораховац,0.0
162,Дечани,0.0
162,Подујево,0.0
162,Призрен,0.0
162,Качаник,0.0
162,Србица,0.0
162,Сува Река,0.0
162,Вучитрн,0.0
162,Гора,0.0
162,Глоговац,0.0
162,Ђаковица,0.0
162,Ново Брдо,0.0
162,Обилић,0.0
