COVID19 самоизолације,2020-04-14
COVID-19 статистике изолације,Број самоизолованих,
Ранк,Територија,Вредност
1,Град Београд,5211.0
2,Град Ниш,1425.0
3,Лесковац ,1273.0
4,Нови Сад ,1159.0
5,Крушевац,723.0
6,Крагујевац,657.0
7,Ваљево,610.0
8,Шабац,472.0
9,Нови Пазар,435.0
10,Панчево,415.0
11,Суботица,402.0
12,Врање,349.0
13,Зрењанин,348.0
14,Бор,347.0
15,Ћуприја,343.0
16,Краљево,331.0
17,Сомбор,325.0
18,Лозница,318.0
19,Чачак,316.0
20,Јагодина,313.0
21,Смедерево,273.0
22,Вршац,249.0
23,Кикинда,240.0
24,Рума,239.0
25,Пријепоље,232.0
26,Параћин,230.0
27,Ужице,209.0
28,Прокупље,204.0
29,Зајечар,201.0
30,Власотинце,197.0
31,Кула,191.0
32,Бачка Паланка,188.0
33,Пирот,185.0
34,Смедеревска Паланка,169.0
35,Сремска Митровица,166.0
35,Пожаревац,166.0
37,Бабушница,164.0
38,Лебане,161.0
39,Алексинац,156.0
40,Велика Плана,147.0
40,Рашка,147.0
42,Уб,143.0
43,Аранђеловац,140.0
44,Варварин,137.0
45,Стара Пазова,132.0
46,Кладово,128.0
47,Бујановац,125.0
48,Бајина Башта,121.0
49,Прешево,115.0
50,Тутин,111.0
51,Трстеник,108.0
52,Књажевац,107.0
53,Сурдулица,103.0
53,Бачка Топола,103.0
55,Кањижа,102.0
56,Александровац,99.0
57,Сјеница,95.0
58,Прибој,94.0
59,Врбас,92.0
60,Апатин,88.0
60,Инђија,88.0
62,Нови Бечеј,87.0
63,Чајетина,85.0
63,Неготин,85.0
65,Горњи Милановац,82.0
66,Врњачка Бања,81.0
67,Шид,80.0
68,Сента,78.0
69,Пожега,75.0
70,Куршумлија,74.0
71,Петровац на Млави,73.0
72,Дољевац,72.0
72,Топола,72.0
74,Темерин,70.0
74,Свилајнац,70.0
76,Алибунар,67.0
77,Мајданпек,66.0
77,Мионица,66.0
79,Ириг,65.0
79,Бечеј,65.0
81,Жабаљ,64.0
81,Богатић,64.0
83,Ковачица,61.0
84,Нова Варош,59.0
85,Бела Црква,58.0
86,Деспотовац,55.0
86,Бољевац,55.0
86,Ковин,55.0
86,Владичин Хан,55.0
90,Лучани,54.0
90,Мерошина,54.0
92,Крупањ,52.0
93,Бојник,51.0
94,Ћићевац,50.0
94,Оџаци,50.0
96,Нова Црња,49.0
96,Србобран,49.0
98,Бела Паланка,48.0
99,Мали Зворник,46.0
100,Блаце,45.0
100,Сремски Карловци,45.0
102,Нови Кнежевац,43.0
103,Мали Иђош,42.0
103,Бач,42.0
103,Ивањица,42.0
103,Лапово,42.0
107,Сечањ,41.0
108,Беочин,40.0
109,Брус,39.0
110,Лајковац,37.0
111,Жабари,35.0
111,Ада,35.0
111,Димитровград,35.0
111,Тител,35.0
115,Рача,34.0
115,Чока,34.0
115,Коцељева,34.0
118,Рековац,33.0
118,Сврљиг,33.0
118,Житорађа,33.0
118,Житиште,33.0
118,Баточина,33.0
123,Сокобања,32.0
123,Пећинци,32.0
125,Ариље,31.0
126,Велико Градиште,30.0
126,Осечина,30.0
128,Босилеград,28.0
129,Бачки Петровац,27.0
130,Ражањ,25.0
131,Жагубица,24.0
131,Владимирци,24.0
133,Кучево,23.0
133,Кнић,23.0
135,Гаџин Хан,21.0
135,Мало Црниће,21.0
137,Љубовија,20.0
137,Љиг,20.0
139,Опово,19.0
140,Косјерић,17.0
140,Голубац,17.0
142,Медвеђа,16.0
143,Пландиште,14.0
144,Трговиште,4.0
145,Црна Трава,2.0
