COVID19 самоизолације,2020-03-30,
COVID-19 статистике изолације,Број самоизолованих,
Ранк,Територија,Вредност
1,Град Београд,14991.0
2,Лозница,3740.0
3,Нови Сад ,3708.0
4,Град Ниш,2205.0
5,Прибој,1820.0
6,Суботица,1720.0
7,Прешево,1711.0
8,Нови Пазар,1702.0
9,Крагујевац,1366.0
10,Лесковац ,1315.0
11,Шабац,1272.0
12,Врање,1146.0
13,Бујановац,1116.0
14,Сремска Митровица,1114.0
15,Бачка Паланка,1031.0
16,Крушевац,974.0
17,Бајина Башта,904.0
18,Чачак,901.0
19,Тутин,850.0
20,Панчево,847.0
21,Пријепоље,813.0
22,Краљево,812.0
23,Зрењанин,786.0
24,Ваљево,747.0
24,Сомбор,747.0
26,Мали Зворник,746.0
27,Кикинда,673.0
28,Богатић,663.0
29,Пожаревац,661.0
30,Смедерево,650.0
31,Шид,597.0
32,Јагодина,554.0
33,Ужице,535.0
34,Бор,524.0
35,Рума,519.0
36,Кладово,481.0
37,Параћин,420.0
38,Стара Пазова,412.0
39,Пирот,409.0
40,Љубовија,406.0
41,Зајечар,368.0
42,Вршац,366.0
43,Сјеница,362.0
44,Неготин,342.0
45,Велика Плана,332.0
46,Аранђеловац,331.0
47,Петровац на Млави,307.0
48,Алексинац,297.0
49,Смедеревска Паланка,287.0
50,Ћуприја,279.0
51,Крупањ,274.0
51,Бачка Топола,274.0
53,Кањижа,266.0
54,Инђија,263.0
55,Кула,261.0
56,Рашка,256.0
57,Врбас,251.0
58,Жабари,240.0
58,Горњи Милановац,240.0
60,Трстеник,235.0
61,Сента,231.0
62,Апатин,225.0
63,Прокупље,219.0
64,Врњачка Бања,213.0
65,Бечеј,200.0
65,Чајетина,200.0
67,Темерин,197.0
68,Бабушница,193.0
68,Александровац,193.0
70,Свилајнац,192.0
71,Деспотовац,189.0
72,Ада,180.0
73,Димитровград,169.0
74,Велико Градиште,166.0
75,Оџаци,165.0
76,Лебане,163.0
77,Бела Црква,158.0
78,Власотинце,157.0
79,Ковин,156.0
80,Жабаљ,155.0
81,Кучево,153.0
82,Беочин,150.0
83,Коцељева,145.0
84,Уб,144.0
84,Топола,144.0
86,Алибунар,143.0
86,Ковачица,143.0
88,Ивањица,142.0
89,Пожега,136.0
90,Варварин,135.0
91,Владимирци,128.0
92,Мајданпек,125.0
93,Нови Бечеј,124.0
94,Мало Црниће,121.0
95,Нова Варош,120.0
96,Сурдулица,118.0
97,Бач,117.0
98,Мали Иђош,116.0
99,Владичин Хан,104.0
99,Ириг,104.0
101,Лучани,101.0
101,Баточина,101.0
103,Нова Црња,96.0
104,Србобран,94.0
105,Бачки Петровац,92.0
106,Бољевац,91.0
106,Чока,91.0
108,Сечањ,90.0
108,Пећинци,90.0
110,Нови Кнежевац,86.0
111,Брус,84.0
112,Тител,83.0
112,Ариље,83.0
112,Мерошина,83.0
115,Житиште,82.0
115,Мионица,82.0
117,Књажевац,81.0
117,Куршумлија,81.0
119,Сокобања,80.0
120,Рековац,75.0
121,Осечина,72.0
122,Кнић,70.0
122,Дољевац,70.0
124,Рача,69.0
125,Житорађа,68.0
126,Жагубица,67.0
126,Ћићевац,67.0
128,Босилеград,64.0
129,Бела Паланка,63.0
129,Голубац,63.0
131,Лапово,60.0
131,Медвеђа,60.0
133,Љиг,57.0
134,Сремски Карловци,56.0
134,Пландиште,56.0
136,Лајковац,55.0
137,Косјерић,50.0
138,Бојник,48.0
138,Блаце,48.0
140,Сврљиг,46.0
141,Ражањ,44.0
142,Трговиште,40.0
143,Опово,38.0
144,Гаџин Хан,29.0
145,Црна Трава,1.0
