COVID19 самоизолације,2020-04-16
COVID-19 статистике изолације,Број самоизолованих,
Ранк,Територија,Вредност
1,Град Београд,3729.0
2,Град Ниш,1373.0
3,Лесковац ,1167.0
4,Нови Сад ,869.0
5,Крушевац,700.0
6,Крагујевац,542.0
7,Ваљево,471.0
8,Шабац,422.0
9,Панчево,331.0
10,Ћуприја,312.0
11,Нови Пазар,298.0
12,Суботица,297.0
13,Зрењанин,290.0
14,Чачак,274.0
15,Бор,272.0
16,Лозница,258.0
16,Краљево,258.0
18,Алексинац,255.0
19,Смедерево,254.0
20,Врање,251.0
21,Сомбор,245.0
22,Јагодина,241.0
23,Вршац,226.0
24,Власотинце,214.0
25,Рума,213.0
26,Параћин,211.0
27,Кикинда,209.0
28,Ужице,197.0
29,Прокупље,187.0
30,Бабушница,164.0
30,Пирот,164.0
32,Кула,161.0
33,Смедеревска Паланка,158.0
34,Зајечар,155.0
35,Пријепоље,154.0
36,Бачка Паланка,145.0
37,Лебане,143.0
38,Пожаревац,132.0
39,Рашка,131.0
40,Варварин,127.0
41,Уб,125.0
42,Горњи Милановац,121.0
43,Сремска Митровица,117.0
44,Дољевац,103.0
45,Аранђеловац,99.0
46,Велика Плана,97.0
47,Књажевац,96.0
48,Кладово,92.0
49,Сурдулица,87.0
50,Стара Пазова,86.0
51,Александровац,85.0
52,Мионица,83.0
53,Бајина Башта,81.0
54,Пожега,77.0
55,Куршумлија,76.0
55,Трстеник,76.0
57,Врбас,75.0
58,Прибој,74.0
59,Нови Бечеј,73.0
59,Апатин,73.0
61,Чајетина,65.0
61,Бачка Топола,65.0
63,Бујановац,63.0
64,Темерин,62.0
64,Кањижа,62.0
66,Тутин,59.0
67,Сјеница,58.0
68,Србобран,57.0
69,Неготин,56.0
69,Инђија,56.0
69,Жабаљ,56.0
69,Ковачица,56.0
73,Мајданпек,55.0
73,Бојник,55.0
73,Ириг,55.0
73,Шид,55.0
77,Нова Варош,51.0
78,Врњачка Бања,50.0
79,Бела Црква,49.0
79,Мерошина,49.0
81,Сента,47.0
82,Алибунар,46.0
82,Ћићевац,46.0
82,Нова Црња,46.0
85,Прешево,45.0
85,Топола,45.0
85,Бољевац,45.0
88,Блаце,44.0
88,Крупањ,44.0
90,Лучани,43.0
90,Бечеј,43.0
92,Брус,42.0
93,Ковин,41.0
94,Лајковац,40.0
95,Нови Кнежевац,39.0
95,Владичин Хан,39.0
97,Сремски Карловци,38.0
98,Свилајнац,37.0
99,Деспотовац,35.0
99,Богатић,35.0
99,Ариље,35.0
102,Ивањица,33.0
103,Тител,32.0
104,Бела Паланка,31.0
104,Пећинци,31.0
104,Чока,31.0
104,Мали Иђош,31.0
104,Оџаци,31.0
109,Житиште,30.0
109,Баточина,30.0
109,Бач,30.0
109,Рача,30.0
109,Ражањ,30.0
109,Сечањ,30.0
115,Мали Зворник,29.0
115,Лапово,29.0
115,Коцељева,29.0
118,Петровац на Млави,28.0
119,Житорађа,27.0
120,Ада,26.0
120,Осечина,26.0
122,Владимирци,25.0
123,Димитровград,24.0
123,Сврљиг,24.0
125,Беочин,23.0
126,Сокобања,21.0
126,Жагубица,21.0
128,Жабари,20.0
129,Гаџин Хан,19.0
129,Кнић,19.0
129,Бачки Петровац,19.0
129,Босилеград,19.0
133,Љиг,18.0
134,Косјерић,16.0
135,Рековац,14.0
135,Мало Црниће,14.0
137,Кучево,13.0
137,Медвеђа,13.0
137,Љубовија,13.0
140,Велико Градиште,11.0
140,Опово,11.0
142,Пландиште,10.0
143,Голубац,6.0
144,Трговиште,3.0
145,Црна Трава,2.0
