COVID19 самоизолације,2020-05-01,
COVID-19 статистике изолације,Број самоизолованих,
Ранк,Територија,Вредност
1,Град Београд,1462.0
2,Град Ниш,1188.0
3,Крушевац,341.0
4,Лесковац ,291.0
5,Алексинац,248.0
6,Нови Сад ,220.0
7,Бор,169.0
8,Смедерево,165.0
9,Крагујевац,162.0
10,Ћуприја,161.0
11,Панчево,153.0
12,Власотинце,149.0
12,Лозница,149.0
14,Ваљево,141.0
15,Прокупље,136.0
16,Суботица,133.0
16,Вршац,133.0
18,Нови Пазар,127.0
19,Смедеревска Паланка,125.0
20,Шабац,123.0
21,Зајечар,110.0
22,Параћин,109.0
23,Јагодина,101.0
24,Сомбор,94.0
25,Ужице,93.0
26,Дољевац,90.0
27,Мерошина,83.0
28,Краљево,78.0
29,Чачак,76.0
29,Пирот,76.0
31,Велика Плана,69.0
32,Неготин,68.0
33,Врање,67.0
34,Ариље,66.0
35,Кикинда,65.0
36,Житорађа,64.0
37,Деспотовац,61.0
38,Пожаревац,60.0
38,Пожега,60.0
40,Александровац,59.0
40,Блаце,59.0
40,Зрењанин,59.0
43,Кладово,58.0
44,Бајина Башта,57.0
45,Врбас,56.0
46,Бољевац,54.0
46,Куршумлија,54.0
48,Сокобања,53.0
49,Владимирци,51.0
50,Сремска Митровица,50.0
51,Сурдулица,49.0
52,Кула,46.0
53,Стара Пазова,45.0
54,Рашка,44.0
55,Љиг,41.0
55,Лајковац,41.0
57,Лебане,40.0
58,Рума,39.0
59,Прешево,38.0
59,Бујановац,38.0
61,Бабушница,37.0
61,Чајетина,37.0
63,Алибунар,36.0
63,Жабаљ,36.0
65,Сврљиг,35.0
66,Свилајнац,34.0
66,Уб,34.0
68,Нови Кнежевац,33.0
68,Темерин,33.0
70,Књажевац,32.0
70,Бачка Паланка,32.0
72,Сјеница,31.0
72,Владичин Хан,31.0
74,Апатин,29.0
75,Ковачица,28.0
75,Ковин,28.0
77,Бела Црква,27.0
77,Ражањ,27.0
79,Прибој,26.0
79,Велико Градиште,26.0
81,Горњи Милановац,25.0
81,Аранђеловац,25.0
81,Бојник,25.0
81,Тител,25.0
81,Нова Варош,25.0
86,Шид,24.0
86,Бечеј,24.0
86,Тутин,24.0
89,Бачка Топола,23.0
89,Мали Зворник,23.0
89,Пријепоље,23.0
89,Трстеник,23.0
93,Беочин,22.0
93,Варварин,22.0
93,Врњачка Бања,22.0
93,Ириг,22.0
97,Бач,21.0
97,Нови Бечеј,21.0
97,Косјерић,21.0
100,Ћићевац,20.0
100,Ада,20.0
102,Инђија,19.0
103,Мионица,18.0
103,Мајданпек,18.0
103,Богатић,18.0
103,Кањижа,18.0
107,Гаџин Хан,16.0
108,Петровац на Млави,15.0
109,Лучани,14.0
109,Жабари,14.0
109,Пландиште,14.0
109,Мали Иђош,14.0
113,Опово,13.0
113,Сента,13.0
115,Србобран,12.0
116,Косовска Митровица,11.0
116,Бела Паланка,11.0
118,Бачки Петровац,10.0
119,Оџаци,9.0
119,Лепосавић,9.0
119,Осечина,9.0
122,Звечан,8.0
122,Крупањ,8.0
122,Ивањица,8.0
122,Пећинци,8.0
122,Рековац,8.0
122,Баточина,8.0
122,Зубин Поток,8.0
129,Коцељева,7.0
129,Љубовија,7.0
129,Липљан,7.0
132,Нова Црња,6.0
132,Кнић,6.0
132,Топола,6.0
132,Рача,6.0
132,Брус,6.0
137,Жагубица,5.0
137,Сечањ,5.0
137,Сремски Карловци,5.0
137,Кучево,5.0
137,Гњилане,5.0
142,Мало Црниће,4.0
142,Босилеград,4.0
142,Житиште,4.0
142,Медвеђа,4.0
146,Приштина,3.0
146,Пећ,3.0
146,Лапово,3.0
146,Трговиште,3.0
150,Косово Поље,2.0
150,Голубац,2.0
150,Урошевац,2.0
150,Чока,2.0
154,Подујево,1.0
154,Димитровград,1.0
154,Косовска Каменица,1.0
154,Клина,1.0
154,Штрпце,1.0
159,Сува Река,0.0
159,Штимље,0.0
159,Витина,0.0
159,Гора,0.0
159,Вучитрн,0.0
159,Глоговац,0.0
159,Дечани,0.0
159,Ђаковица,0.0
159,Црна Трава,0.0
159,Исток,0.0
159,Качаник,0.0
159,Ново Брдо,0.0
159,Обилић,0.0
159,Ораховац,0.0
159,Призрен,0.0
159,Србица,0.0
