COVID19 самоизолације,2020-04-17
COVID-19 статистике изолације,Број самоизолованих,
Ранк,Територија,Вредност
1,Град Београд,3423.0
2,Град Ниш,1167.0
3,Лесковац ,1150.0
4,Нови Сад ,781.0
5,Крушевац,733.0
6,Крагујевац,532.0
7,Ваљево,478.0
8,Шабац,427.0
9,Ћуприја,333.0
10,Панчево,311.0
11,Бор,304.0
12,Нови Пазар,297.0
13,Смедерево,266.0
14,Чачак,264.0
15,Зрењанин,262.0
16,Суботица,257.0
17,Краљево,248.0
18,Сомбор,240.0
19,Јагодина,239.0
20,Врање,236.0
21,Алексинац,235.0
22,Параћин,231.0
22,Лозница,231.0
24,Вршац,219.0
25,Рума,206.0
26,Кикинда,196.0
27,Власотинце,192.0
28,Прокупље,187.0
29,Смедеревска Паланка,186.0
30,Ужице,182.0
31,Кладово,168.0
32,Кула,161.0
32,Пирот,161.0
34,Рашка,156.0
35,Зајечар,153.0
36,Бачка Паланка,148.0
37,Варварин,135.0
38,Горњи Милановац,133.0
39,Пријепоље,132.0
39,Блаце,132.0
41,Бабушница,124.0
42,Пожаревац,123.0
43,Уб,118.0
44,Сремска Митровица,114.0
45,Лебане,113.0
46,Аранђеловац,105.0
47,Велика Плана,102.0
48,Дољевац,100.0
49,Књажевац,96.0
50,Куршумлија,95.0
51,Мионица,88.0
52,Сурдулица,84.0
52,Стара Пазова,84.0
54,Пожега,75.0
55,Бајина Башта,71.0
55,Трстеник,71.0
57,Нови Бечеј,69.0
58,Врњачка Бања,66.0
59,Александровац,65.0
60,Врбас,64.0
60,Бујановац,64.0
60,Чајетина,64.0
63,Апатин,62.0
64,Мајданпек,60.0
64,Сјеница,60.0
64,Бојник,60.0
67,Ковачица,59.0
68,Жабаљ,54.0
69,Ириг,53.0
70,Шид,52.0
70,Прибој,52.0
72,Лајковац,51.0
73,Србобран,50.0
73,Бољевац,50.0
73,Бачка Топола,50.0
73,Инђија,50.0
77,Темерин,49.0
78,Бела Црква,48.0
78,Мерошина,48.0
80,Ћићевац,46.0
80,Топола,46.0
82,Неготин,44.0
83,Рача,43.0
84,Свилајнац,42.0
84,Прешево,42.0
84,Нова Варош,42.0
84,Житорађа,42.0
88,Ковин,38.0
88,Тутин,38.0
90,Брус,37.0
91,Бела Паланка,36.0
91,Сремски Карловци,36.0
91,Бечеј,36.0
91,Кањижа,36.0
95,Деспотовац,35.0
96,Ариље,34.0
97,Сента,33.0
98,Сврљиг,32.0
98,Крупањ,32.0
98,Алибунар,32.0
101,Баточина,31.0
101,Владичин Хан,31.0
103,Петровац на Млави,30.0
103,Лапово,30.0
103,Нова Црња,30.0
106,Оџаци,29.0
106,Осечина,29.0
106,Лучани,29.0
106,Сечањ,29.0
106,Мали Зворник,29.0
106,Пећинци,29.0
112,Сокобања,28.0
112,Бач,28.0
112,Коцељева,28.0
115,Тител,27.0
115,Ивањица,27.0
115,Богатић,27.0
118,Беочин,23.0
118,Владимирци,23.0
118,Ражањ,23.0
121,Косовска Митровица,22.0
122,Гаџин Хан,21.0
122,Димитровград,21.0
122,Ада,21.0
122,Житиште,21.0
122,Мали Иђош,21.0
122,Босилеград,21.0
128,Жагубица,19.0
129,Чока,18.0
129,Бачки Петровац,18.0
129,Кнић,18.0
132,Љиг,15.0
133,Косјерић,14.0
134,Жабари,13.0
134,Нови Кнежевац,13.0
134,Мало Црниће,13.0
134,Рековац,13.0
138,Кучево,12.0
138,Опово,12.0
138,Велико Градиште,12.0
141,Медвеђа,11.0
141,Љубовија,11.0
143,Гњилане,10.0
143,Звечан,10.0
143,Пландиште,10.0
146,Липљан,6.0
146,Лепосавић,6.0
146,Зубин Поток,6.0
149,Голубац,5.0
149,Косовска Каменица,5.0
151,Приштина,3.0
151,Штрпце,3.0
151,Трговиште,3.0
154,Црна Трава,2.0
154,Клина,2.0
154,Исток,2.0
154,Пећ,2.0
158,Штимље,1.0
158,Урошевац,1.0
158,Призрен,1.0
158,Витина,1.0
162,Сува Река,0.0
162,Вучитрн,0.0
162,Глоговац,0.0
162,Дечани,0.0
162,Ђаковица,0.0
162,Качаник,0.0
162,Косово Поље,0.0
162,Ново Брдо,0.0
162,Обилић,0.0
162,Ораховац,0.0
162,Подујево,0.0
162,Србица,0.0
162,Гора,0.0
