COVID19 самоизолације,2020-04-22,
COVID-19 статистике изолације,Број самоизолованих,
Ранк,Територија,Вредност
1,Град Београд,3330.0
2,Град Ниш,1494.0
3,Лесковац ,1008.0
4,Нови Сад ,764.0
5,Крушевац,728.0
6,Крагујевац,580.0
7,Шабац,447.0
8,Ваљево,435.0
9,Нови Пазар,376.0
10,Алексинац,359.0
11,Панчево,354.0
12,Ћуприја,352.0
13,Бор,312.0
14,Смедерево,291.0
15,Лозница,281.0
16,Суботица,279.0
17,Параћин,274.0
18,Краљево,252.0
19,Јагодина,241.0
20,Сомбор,236.0
21,Чачак,235.0
21,Прокупље,235.0
23,Зрењанин,232.0
24,Смедеревска Паланка,218.0
25,Вршац,205.0
26,Врање,204.0
27,Власотинце,198.0
28,Ужице,189.0
29,Кикинда,179.0
30,Рашка,173.0
31,Блаце,160.0
32,Рума,159.0
33,Горњи Милановац,156.0
33,Кула,156.0
35,Кладово,151.0
36,Дољевац,146.0
37,Бачка Паланка,142.0
38,Пирот,135.0
39,Уб,133.0
40,Варварин,130.0
41,Бабушница,129.0
42,Пожаревац,123.0
43,Куршумлија,122.0
43,Зајечар,122.0
45,Велика Плана,119.0
46,Сремска Митровица,115.0
47,Сурдулица,114.0
48,Лебане,107.0
49,Пријепоље,106.0
50,Аранђеловац,105.0
51,Александровац,97.0
52,Стара Пазова,94.0
53,Бајина Башта,85.0
54,Мионица,76.0
55,Апатин,73.0
55,Трстеник,73.0
57,Нови Бечеј,72.0
58,Пожега,70.0
58,Бујановац,70.0
60,Прибој,69.0
61,Књажевац,68.0
62,Житорађа,67.0
63,Ковачица,66.0
64,Чајетина,64.0
65,Врбас,63.0
66,Прешево,60.0
67,Србобран,59.0
67,Мерошина,59.0
67,Бојник,59.0
67,Врњачка Бања,59.0
67,Шид,59.0
72,Деспотовац,57.0
73,Инђија,54.0
73,Лајковац,54.0
75,Нова Варош,53.0
76,Сврљиг,51.0
77,Ириг,50.0
77,Топола,50.0
79,Сјеница,49.0
79,Темерин,49.0
81,Жабаљ,48.0
82,Мајданпек,47.0
82,Сокобања,47.0
84,Ковин,46.0
84,Мали Зворник,46.0
84,Рача,46.0
87,Бела Црква,45.0
87,Свилајнац,45.0
87,Бачка Топола,45.0
90,Ћићевац,44.0
90,Кањижа,44.0
90,Неготин,44.0
93,Петровац на Млави,39.0
93,Алибунар,39.0
95,Бечеј,38.0
95,Владичин Хан,38.0
97,Брус,37.0
98,Крупањ,35.0
99,Сента,34.0
100,Сремски Карловци,33.0
100,Осечина,33.0
100,Оџаци,33.0
100,Жагубица,33.0
100,Тутин,33.0
105,Пећинци,32.0
105,Бач,32.0
105,Бољевац,32.0
108,Ариље,31.0
109,Лапово,30.0
109,Коцељева,30.0
109,Ражањ,30.0
112,Богатић,28.0
112,Сечањ,28.0
112,Љиг,28.0
115,Бела Паланка,27.0
116,Беочин,26.0
116,Нова Црња,26.0
116,Тител,26.0
119,Косовска Митровица,25.0
120,Владимирци,24.0
121,Бачки Петровац,23.0
122,Ивањица,22.0
122,Ада,22.0
122,Кнић,22.0
125,Мали Иђош,21.0
126,Жабари,19.0
126,Житиште,19.0
126,Опово,19.0
126,Баточина,19.0
126,Гаџин Хан,19.0
131,Велико Градиште,18.0
132,Лучани,17.0
132,Чока,17.0
134,Рековац,16.0
134,Босилеград,16.0
136,Љубовија,14.0
136,Косјерић,14.0
138,Нови Кнежевац,13.0
138,Мало Црниће,13.0
140,Медвеђа,12.0
140,Зубин Поток,12.0
140,Димитровград,12.0
143,Гњилане,11.0
143,Звечан,11.0
143,Кучево,11.0
146,Пландиште,8.0
147,Лепосавић,7.0
147,Трговиште,7.0
149,Липљан,6.0
150,Голубац,5.0
150,Косовска Каменица,5.0
152,Пећ,4.0
152,Приштина,4.0
154,Штрпце,3.0
155,Клина,2.0
155,Косово Поље,2.0
155,Исток,2.0
158,Штимље,1.0
158,Црна Трава,1.0
158,Урошевац,1.0
158,Витина,1.0
162,Србица,0.0
162,Гора,0.0
162,Вучитрн,0.0
162,Глоговац,0.0
162,Дечани,0.0
162,Ђаковица,0.0
162,Качаник,0.0
162,Ново Брдо,0.0
162,Обилић,0.0
162,Ораховац,0.0
162,Подујево,0.0
162,Призрен,0.0
162,Сува Река,0.0
