COVID19 самоизолације,2020-04-18
COVID-19 статистике изолације,Број самоизолованих,
Ранк,Територија,Вредност
1,Град Београд,3460.0
2,Град Ниш,1241.0
3,Лесковац ,1143.0
4,Нови Сад ,790.0
5,Крушевац,749.0
6,Крагујевац,552.0
7,Ваљево,451.0
8,Шабац,437.0
9,Нови Пазар,346.0
10,Ћуприја,335.0
11,Панчево,319.0
12,Бор,301.0
13,Смедерево,268.0
14,Суботица,266.0
15,Чачак,265.0
16,Краљево,263.0
16,Зрењанин,263.0
18,Алексинац,255.0
19,Лозница,250.0
20,Сомбор,244.0
21,Јагодина,242.0
22,Параћин,234.0
23,Врање,231.0
24,Вршац,219.0
25,Прокупље,209.0
26,Рума,202.0
27,Ужице,199.0
28,Кикинда,189.0
29,Смедеревска Паланка,188.0
30,Власотинце,182.0
31,Кладово,181.0
32,Рашка,163.0
33,Кула,161.0
34,Пирот,155.0
35,Бачка Паланка,150.0
36,Зајечар,148.0
37,Блаце,146.0
38,Горњи Милановац,143.0
39,Пријепоље,142.0
40,Варварин,137.0
41,Пожаревац,125.0
42,Бабушница,122.0
43,Сремска Митровица,119.0
44,Уб,118.0
45,Дољевац,117.0
46,Аранђеловац,114.0
47,Лебане,113.0
48,Књажевац,112.0
49,Велика Плана,105.0
50,Куршумлија,95.0
50,Александровац,95.0
50,Сурдулица,95.0
53,Стара Пазова,89.0
54,Мионица,88.0
55,Бајина Башта,77.0
56,Пожега,76.0
57,Трстеник,75.0
58,Нови Бечеј,70.0
59,Врњачка Бања,69.0
60,Бујановац,67.0
61,Чајетина,65.0
62,Апатин,64.0
62,Врбас,64.0
64,Бојник,59.0
64,Мајданпек,59.0
66,Сјеница,58.0
66,Ковачица,58.0
68,Прибој,56.0
68,Инђија,56.0
70,Србобран,55.0
71,Ириг,54.0
72,Жабаљ,53.0
72,Шид,53.0
72,Лајковац,53.0
72,Прешево,53.0
76,Бољевац,51.0
77,Темерин,49.0
77,Мерошина,49.0
79,Бачка Топола,47.0
80,Нова Варош,46.0
80,Топола,46.0
80,Ћићевац,46.0
80,Бела Црква,46.0
84,Неготин,44.0
85,Житорађа,43.0
86,Тутин,42.0
86,Свилајнац,42.0
88,Кањижа,40.0
88,Рача,40.0
90,Ковин,38.0
90,Брус,38.0
92,Сремски Карловци,37.0
93,Бечеј,36.0
93,Ђаковица,36.0
95,Бела Паланка,34.0
96,Ариље,33.0
96,Сента,33.0
96,Крупањ,33.0
96,Алибунар,33.0
100,Владичин Хан,32.0
101,Сврљиг,31.0
101,Оџаци,31.0
101,Баточина,31.0
104,Бач,30.0
104,Пећинци,30.0
104,Мали Зворник,30.0
104,Лучани,30.0
104,Петровац на Млави,30.0
104,Нова Црња,30.0
110,Лапово,29.0
110,Осечина,29.0
110,Сечањ,29.0
113,Тител,28.0
114,Богатић,27.0
114,Коцељева,27.0
116,Ивањица,25.0
116,Владимирци,25.0
118,Беочин,24.0
118,Сокобања,24.0
120,Ражањ,23.0
121,Косовска Митровица,22.0
122,Гаџин Хан,21.0
122,Ада,21.0
122,Мали Иђош,21.0
125,Димитровград,20.0
125,Житиште,20.0
125,Кнић,20.0
128,Жагубица,19.0
129,Чока,18.0
129,Бачки Петровац,18.0
131,Љиг,17.0
132,Босилеград,16.0
133,Косјерић,14.0
134,Жабари,13.0
134,Нови Кнежевац,13.0
136,Рековац,12.0
136,Кучево,12.0
136,Велико Градиште,12.0
136,Опово,12.0
140,Медвеђа,11.0
140,Мало Црниће,11.0
140,Љубовија,11.0
143,Звечан,10.0
143,Пландиште,10.0
143,Гњилане,10.0
146,Липљан,6.0
146,Зубин Поток,6.0
146,Лепосавић,6.0
149,Косовска Каменица,5.0
149,Голубац,5.0
151,Трговиште,3.0
151,Пећ,3.0
151,Приштина,3.0
151,Штрпце,3.0
155,Клина,2.0
155,Исток,2.0
157,Штимље,1.0
157,Црна Трава,1.0
157,Призрен,1.0
157,Витина,1.0
157,Урошевац,1.0
162,Сува Река,0.0
162,Деспотовац,0.0
162,Вучитрн,0.0
162,Глоговац,0.0
162,Дечани,0.0
162,Качаник,0.0
162,Косово Поље,0.0
162,Ново Брдо,0.0
162,Обилић,0.0
162,Ораховац,0.0
162,Подујево,0.0
162,Србица,0.0
162,Гора,0.0
