COVID19 самоизолације,2020-04-26,
COVID-19 статистике изолације,Број самоизолованих,
Ранк,Територија,Вредност
1,Град Београд,1757.0
2,Град Ниш,1134.0
3,Крушевац,404.0
4,Алексинац,309.0
5,Нови Сад ,292.0
6,Нови Пазар,252.0
7,Лесковац ,241.0
8,Крагујевац,233.0
9,Шабац,231.0
10,Лозница,200.0
11,Ваљево,192.0
12,Ћуприја,185.0
13,Панчево,169.0
14,Параћин,166.0
15,Смедерево,165.0
16,Прокупље,151.0
16,Блаце,151.0
18,Смедеревска Паланка,133.0
19,Бор,128.0
20,Суботица,125.0
21,Зајечар,108.0
21,Јагодина,108.0
23,Дољевац,107.0
24,Ужице,101.0
25,Краљево,99.0
26,Вршац,90.0
27,Сомбор,88.0
28,Зрењанин,83.0
29,Велика Плана,82.0
30,Чачак,78.0
31,Куршумлија,76.0
32,Власотинце,74.0
33,Пожаревац,72.0
34,Кула,68.0
35,Пирот,67.0
36,Деспотовац,65.0
37,Рума,61.0
37,Александровац,61.0
39,Сремска Митровица,60.0
40,Мерошина,58.0
40,Бајина Башта,58.0
42,Ариље,57.0
42,Кладово,57.0
44,Врање,55.0
45,Сурдулица,53.0
46,Житорађа,51.0
47,Кикинда,50.0
48,Горњи Милановац,49.0
49,Стара Пазова,48.0
50,Кањижа,44.0
50,Сокобања,44.0
50,Љиг,44.0
53,Аранђеловац,43.0
54,Књажевац,42.0
54,Варварин,42.0
56,Сврљиг,41.0
56,Уб,41.0
56,Рашка,41.0
59,Бачка Паланка,40.0
59,Владимирци,40.0
61,Бољевац,38.0
62,Бујановац,37.0
63,Прибој,36.0
63,Лајковац,36.0
65,Нова Варош,35.0
66,Темерин,34.0
67,Трстеник,32.0
67,Сјеница,32.0
67,Пожега,32.0
67,Врбас,32.0
71,Ражањ,31.0
71,Жабаљ,31.0
71,Пријепоље,31.0
71,Прешево,31.0
75,Владичин Хан,30.0
75,Врњачка Бања,30.0
75,Бабушница,30.0
78,Свилајнац,29.0
78,Алибунар,29.0
80,Србобран,28.0
80,Шид,28.0
82,Лебане,27.0
82,Мали Зворник,27.0
82,Инђија,27.0
85,Бачка Топола,26.0
85,Апатин,26.0
85,Неготин,26.0
88,Беочин,25.0
88,Бојник,25.0
88,Ковин,25.0
91,Мајданпек,23.0
92,Ковачица,22.0
93,Нови Бечеј,21.0
93,Тутин,21.0
95,Мионица,20.0
95,Бечеј,20.0
95,Бела Црква,20.0
98,Ћићевац,19.0
98,Сента,19.0
98,Бела Паланка,19.0
101,Ада,18.0
102,Жабари,17.0
102,Пећинци,17.0
102,Гаџин Хан,17.0
105,Чајетина,16.0
105,Жагубица,16.0
105,Ириг,16.0
105,Лучани,16.0
109,Кнић,15.0
109,Брус,15.0
109,Петровац на Млави,15.0
109,Осечина,15.0
109,Косовска Митровица,15.0
114,Тител,14.0
114,Топола,14.0
116,Богатић,13.0
116,Бач,13.0
116,Велико Градиште,13.0
119,Мали Иђош,12.0
119,Рача,12.0
119,Оџаци,12.0
122,Опово,10.0
122,Нови Кнежевац,10.0
122,Звечан,10.0
122,Рековац,10.0
126,Коцељева,9.0
126,Лапово,9.0
126,Бачки Петровац,9.0
126,Зубин Поток,9.0
130,Баточина,8.0
130,Житиште,8.0
132,Љубовија,7.0
132,Липљан,7.0
132,Мало Црниће,7.0
132,Крупањ,7.0
132,Босилеград,7.0
137,Лепосавић,6.0
137,Сечањ,6.0
137,Пландиште,6.0
140,Нова Црња,5.0
140,Димитровград,5.0
140,Трговиште,5.0
140,Ивањица,5.0
140,Гњилане,5.0
145,Приштина,4.0
145,Кучево,4.0
147,Сремски Карловци,3.0
147,Косјерић,3.0
147,Голубац,3.0
147,Чока,3.0
147,Пећ,3.0
152,Косово Поље,2.0
152,Урошевац,2.0
154,Подујево,1.0
154,Штрпце,1.0
154,Косовска Каменица,1.0
154,Штимље,1.0
154,Клина,1.0
159,Ораховац,0.0
159,Медвеђа,0.0
159,Призрен,0.0
159,Витина,0.0
159,Србица,0.0
159,Сува Река,0.0
159,Црна Трава,0.0
159,Гора,0.0
159,Дечани,0.0
159,Ђаковица,0.0
159,Исток,0.0
159,Качаник,0.0
159,Глоговац,0.0
159,Вучитрн,0.0
159,Ново Брдо,0.0
159,Обилић,0.0
