COVID19 самоизолације,2020-05-04,
COVID-19 статистике изолације,Број самоизолованих,
Ранк,Територија,Вредност
1,Град Београд,1223.0
2,Град Ниш,974.0
3,Крушевац,310.0
4,Лесковац ,300.0
5,Алексинац,243.0
6,Нови Сад ,215.0
7,Власотинце,170.0
8,Лозница,160.0
9,Бор,149.0
10,Вршац,136.0
11,Прокупље,135.0
12,Нови Пазар,133.0
13,Крагујевац,128.0
14,Ћуприја,125.0
15,Смедерево,123.0
16,Панчево,121.0
17,Суботица,120.0
18,Шабац,118.0
19,Смедеревска Паланка,109.0
20,Ваљево,105.0
21,Зајечар,102.0
22,Параћин,95.0
23,Јагодина,91.0
24,Сомбор,90.0
25,Ужице,89.0
26,Дољевац,84.0
27,Мерошина,83.0
28,Пирот,78.0
29,Врање,69.0
30,Краљево,68.0
31,Ариље,66.0
32,Кикинда,62.0
33,Пожаревац,61.0
34,Пожега,60.0
34,Велика Плана,60.0
34,Неготин,60.0
37,Житорађа,59.0
37,Зрењанин,59.0
39,Кладово,58.0
40,Сокобања,57.0
41,Куршумлија,56.0
41,Деспотовац,56.0
43,Врбас,55.0
44,Чачак,54.0
45,Лебане,53.0
46,Сурдулица,51.0
46,Владимирци,51.0
46,Блаце,51.0
49,Бајина Башта,50.0
49,Александровац,50.0
51,Сремска Митровица,48.0
52,Бујановац,43.0
53,Бабушница,42.0
54,Прешево,41.0
55,Бољевац,40.0
56,Стара Пазова,39.0
56,Рашка,39.0
56,Апатин,39.0
59,Кула,37.0
60,Алибунар,36.0
60,Чајетина,36.0
62,Лајковац,35.0
62,Тутин,35.0
64,Књажевац,34.0
64,Љиг,34.0
64,Нови Кнежевац,34.0
67,Темерин,33.0
67,Рума,33.0
67,Владичин Хан,33.0
67,Тител,33.0
71,Бачка Паланка,31.0
71,Бела Црква,31.0
71,Свилајнац,31.0
74,Сјеница,30.0
75,Ражањ,29.0
76,Велико Градиште,27.0
77,Сврљиг,26.0
77,Нови Бечеј,26.0
79,Беочин,25.0
79,Варварин,25.0
79,Ивањица,25.0
79,Бечеј,25.0
79,Жабаљ,25.0
84,Мионица,24.0
85,Бојник,23.0
86,Уб,22.0
86,Кањижа,22.0
86,Горњи Милановац,22.0
86,Ириг,22.0
86,Ковин,22.0
91,Бачка Топола,21.0
91,Косјерић,21.0
93,Ада,20.0
93,Шид,20.0
93,Аранђеловац,20.0
93,Ковачица,20.0
93,Пријепоље,20.0
98,Ћићевац,19.0
98,Трстеник,19.0
100,Мајданпек,18.0
101,Инђија,17.0
101,Бач,17.0
103,Врњачка Бања,16.0
103,Прибој,16.0
103,Нова Варош,16.0
103,Богатић,16.0
107,Пландиште,15.0
108,Гаџин Хан,14.0
108,Жабари,14.0
108,Мали Иђош,14.0
111,Петровац на Млави,13.0
111,Сента,13.0
111,Опово,13.0
111,Бела Паланка,13.0
111,Мали Зворник,13.0
116,Лучани,11.0
116,Бачки Петровац,11.0
118,Србобран,10.0
118,Нова Црња,10.0
118,Оџаци,10.0
121,Пећинци,8.0
121,Кучево,8.0
123,Липљан,7.0
123,Лепосавић,7.0
123,Крупањ,7.0
126,Зубин Поток,6.0
126,Гњилане,6.0
126,Жагубица,6.0
126,Рековац,6.0
126,Топола,6.0
131,Брус,5.0
131,Кнић,5.0
131,Мало Црниће,5.0
131,Сечањ,5.0
131,Баточина,5.0
131,Коцељева,5.0
137,Осечина,4.0
137,Медвеђа,4.0
137,Звечан,4.0
137,Рача,4.0
141,Босилеград,3.0
141,Сремски Карловци,3.0
141,Трговиште,3.0
141,Голубац,3.0
141,Приштина,3.0
141,Косовска Митровица,3.0
147,Пећ,2.0
147,Чока,2.0
147,Урошевац,2.0
147,Љубовија,2.0
147,Димитровград,2.0
147,Житиште,2.0
147,Лапово,2.0
154,Косово Поље,1.0
154,Косовска Каменица,1.0
154,Подујево,1.0
154,Клина,1.0
158,Србица,0.0
158,Сува Река,0.0
158,Гора,0.0
158,Штимље,0.0
158,Штрпце,0.0
158,Вучитрн,0.0
158,Витина,0.0
158,Глоговац,0.0
158,Дечани,0.0
158,Ђаковица,0.0
158,Исток,0.0
158,Качаник,0.0
158,Ново Брдо,0.0
158,Обилић,0.0
158,Ораховац,0.0
158,Призрен,0.0
158,Црна Трава,0.0
