COVID19 самоизолације,2020-03-31,
COVID-19 статистике изолације,Број самоизолованих,
Ранк,Територија,Вредност
1,Град Београд,15140.0
2,Лозница,3744.0
3,Нови Сад ,3703.0
4,Град Ниш,2211.0
5,Прибој,1820.0
6,Суботица,1717.0
7,Прешево,1711.0
8,Нови Пазар,1706.0
9,Крагујевац,1366.0
10,Лесковац ,1316.0
11,Шабац,1276.0
12,Врање,1148.0
13,Сремска Митровица,1118.0
14,Бујановац,1116.0
15,Бачка Паланка,1032.0
16,Крушевац,980.0
17,Бајина Башта,905.0
18,Чачак,902.0
19,Панчево,853.0
20,Тутин,850.0
21,Зрењанин,817.0
22,Краљево,812.0
22,Пријепоље,812.0
24,Ваљево,763.0
25,Сомбор,758.0
26,Мали Зворник,747.0
27,Кикинда,675.0
28,Пожаревац,665.0
29,Богатић,664.0
30,Смедерево,661.0
31,Шид,599.0
32,Јагодина,551.0
33,Ужице,536.0
34,Рума,528.0
35,Бор,524.0
36,Кладово,489.0
37,Параћин,422.0
38,Стара Пазова,415.0
39,Пирот,412.0
40,Љубовија,407.0
41,Зајечар,369.0
42,Вршац,365.0
43,Сјеница,363.0
44,Неготин,342.0
45,Велика Плана,337.0
46,Аранђеловац,331.0
47,Петровац на Млави,307.0
48,Алексинац,298.0
49,Смедеревска Паланка,289.0
50,Бачка Топола,287.0
51,Ћуприја,279.0
52,Крупањ,276.0
53,Кула,272.0
54,Кањижа,267.0
55,Инђија,266.0
56,Рашка,258.0
57,Врбас,251.0
58,Горњи Милановац,242.0
59,Жабари,239.0
60,Трстеник,236.0
61,Сента,235.0
62,Прокупље,225.0
62,Апатин,225.0
64,Врњачка Бања,215.0
65,Чајетина,202.0
66,Бечеј,200.0
67,Темерин,197.0
68,Александровац,194.0
68,Бабушница,194.0
70,Свилајнац,193.0
71,Деспотовац,190.0
72,Ада,180.0
73,Димитровград,169.0
74,Велико Градиште,166.0
75,Оџаци,165.0
76,Лебане,162.0
77,Бела Црква,158.0
78,Власотинце,157.0
79,Ковин,156.0
79,Жабаљ,156.0
81,Беочин,153.0
81,Кучево,153.0
83,Коцељева,145.0
84,Ковачица,144.0
84,Уб,144.0
84,Топола,144.0
87,Алибунар,143.0
88,Ивањица,142.0
89,Варварин,139.0
90,Пожега,136.0
91,Владимирци,127.0
92,Мајданпек,126.0
93,Нови Бечеј,124.0
94,Мало Црниће,121.0
95,Нова Варош,120.0
96,Сурдулица,119.0
97,Бач,117.0
98,Мали Иђош,116.0
99,Ириг,105.0
99,Владичин Хан,105.0
101,Лучани,103.0
102,Баточина,102.0
103,Србобран,96.0
103,Нова Црња,96.0
105,Бачки Петровац,92.0
105,Чока,92.0
107,Пећинци,90.0
107,Сечањ,90.0
109,Бољевац,88.0
110,Нови Кнежевац,86.0
111,Брус,84.0
111,Мерошина,84.0
113,Тител,83.0
113,Ариље,83.0
113,Житиште,83.0
116,Мионица,82.0
117,Куршумлија,81.0
117,Сокобања,81.0
117,Књажевац,81.0
120,Рековац,76.0
121,Осечина,72.0
122,Кнић,71.0
123,Дољевац,70.0
124,Рача,69.0
125,Жагубица,68.0
125,Ћићевац,68.0
125,Житорађа,68.0
128,Босилеград,65.0
129,Бела Паланка,63.0
129,Голубац,63.0
131,Лапово,61.0
132,Медвеђа,60.0
133,Љиг,57.0
134,Сремски Карловци,56.0
134,Пландиште,56.0
136,Лајковац,55.0
137,Косјерић,50.0
138,Бојник,48.0
138,Блаце,48.0
140,Сврљиг,46.0
141,Ражањ,44.0
142,Трговиште,40.0
143,Опово,38.0
144,Гаџин Хан,29.0
145,Црна Трава,1.0
